PeriodId,AuthorshipRec-20188,RevOwnRec-20189,cHRev-20195,LearnRec-20199,RetentionRec-20200,TurnoverRec-10164,WhoDo-20194,AuthorshipRec++-10155,RevOwnRec++-10156,cHRev++-10157,LearnRec++-10158,RetentionRec++-10159,TurnoverRec++-10176,WhoDo++-10161,FarAwareRec-10169,Haorded2Rec-10179,Haorded3Rec-10180,Haorded4Rec-10181
1,-6.164383562,1.02739726,-5.136986301,-7.534246575,2.397260274,3.767123288,-6.849315068,22.60273973,32.19178082,25,20.54794521,33.21917808,33.56164384,25,7.191780822,17.46575342,13.01369863,11.64383562
2,-2.429149798,-2.024291498,-0.809716599,-8.906882591,6.882591093,6.072874494,-2.024291498,17.40890688,20.64777328,19.83805668,12.14574899,31.17408907,31.98380567,19.02834008,13.76518219,20.64777328,18.21862348,17.00404858
3,-3.5,-2,-1,-13.5,5.5,4.5,-4.5,19,23,20.5,9.5,29.5,29.5,15.5,9.5,21,18.5,17
4,-5.882352941,0.346020761,-6.574394464,-17.30103806,5.882352941,4.844290657,-4.152249135,15.57093426,24.56747405,13.49480969,8.30449827,32.1799308,31.14186851,16.9550173,11.41868512,19.72318339,16.26297578,15.57093426
5,-4.047217538,1.011804384,1.180438449,-6.408094435,9.780775717,7.251264755,-3.70994941,6.913996627,15.34569983,12.31028668,4.890387858,21.75379427,18.38111298,8.26306914,9.949409781,13.32209106,11.29848229,9.780775717
6,-3.673469388,2.448979592,-0.272108844,-8.163265306,8.571428571,7.891156463,-7.619047619,6.394557823,14.14965986,10.20408163,2.993197279,18.23129252,18.0952381,3.401360544,10.88435374,12.92517007,11.83673469,10.74829932
7,-1.330798479,1.520912548,-0.950570342,-8.55513308,5.513307985,4.182509506,-5.133079848,7.034220532,10.45627376,7.034220532,1.330798479,15.20912548,13.878327,2.851711027,6.273764259,9.69581749,7.794676806,6.273764259
8,-2.103559871,0.485436893,0.485436893,-9.223300971,5.663430421,4.045307443,-6.472491909,10.51779935,14.72491909,11.00323625,3.721682848,19.25566343,17.96116505,6.957928803,7.766990291,12.62135922,8.090614887,8.090614887
9,-1.741293532,0.995024876,-1.243781095,-11.94029851,6.094527363,5.597014925,-9.2039801,9.825870647,15.54726368,9.825870647,2.23880597,20.02487562,19.40298507,4.353233831,10.94527363,15.17412935,12.18905473,11.44278607
10,-2.334152334,2.088452088,-1.842751843,-7.248157248,5.15970516,4.422604423,-7.493857494,6.265356265,12.53071253,6.265356265,2.334152334,14.74201474,14.74201474,1.474201474,7.862407862,10.56511057,7.985257985,7.493857494
11,-0.722543353,2.601156069,-0.433526012,-6.647398844,6.358381503,6.069364162,-4.913294798,6.936416185,11.12716763,8.526011561,4.046242775,15.60693642,15.1734104,3.468208092,9.104046243,12.28323699,8.815028902,8.526011561
12,0.322061192,3.220611916,0.644122383,-4.347826087,4.99194847,4.508856683,-4.830917874,6.441223833,10.14492754,6.92431562,2.898550725,11.5942029,10.95008052,2.576489533,6.602254428,8.212560386,6.602254428,6.441223833
13,0.139275766,5.431754875,1.114206128,-8.635097493,7.660167131,5.710306407,-6.685236769,11.69916435,18.94150418,11.55988858,4.456824513,21.16991643,19.77715877,3.760445682,9.888579387,16.85236769,13.5097493,11.97771588
14,0,3.435114504,-0.954198473,-10.8778626,8.58778626,7.442748092,-8.396946565,12.21374046,18.89312977,12.40458015,4.961832061,24.23664122,24.04580153,5.534351145,14.69465649,17.7480916,13.93129771,12.97709924
15,0.682593857,6.655290102,-0.511945392,-9.044368601,10.92150171,10.92150171,-10.06825939,12.96928328,20.4778157,10.92150171,5.460750853,25.59726962,25.42662116,3.242320819,17.23549488,18.94197952,16.55290102,15.6996587
16,-1.512859304,3.78214826,-0.907715582,-11.04387292,7.26172466,5.446293495,-12.10287443,10.89258699,16.94402421,9.984871407,4.236006051,22.23903177,20.8774584,0.453857791,13.01059002,17.397882,14.67473525,14.06959153
Median,-1.922426701,1.804682318,-0.858716091,-8.770990042,6.226454433,5.52165421,-6.578864339,10.70519317,16.24564394,10.96236898,4.346415282,21.46185535,19.59007192,4.056839757,9.918994584,16.01324852,12.60137668,11.54331084
Average,-2.14361558,1.939113289,-1.075843193,-9.336052707,6.701680578,5.792076031,-6.509736994,11.41792482,17.48063287,12.23731796,5.879214013,22.23337265,21.55616823,7.676283454,10.38084182,15.28603163,12.45475537,11.54626356
