PeriodId,AuthorshipRec-20188,RevOwnRec-20189,cHRev-20195,LearnRec-20199,RetentionRec-20200,TurnoverRec-10164,WhoDo-20194,AuthorshipRec++-10155,RevOwnRec++-10156,cHRev++-10157,LearnRec++-10158,RetentionRec++-10159,TurnoverRec++-10176,WhoDo++-10161,FarAwareRec-10169,Haorded2Rec-10179,Haorded3Rec-10180,Haorded4Rec-10181
1,-6.479611412,-3.241668234,-4.989076363,-11.34767317,-2.839002819,-4.845025847,-4.117382984,7.851235715,8.18489939,7.936326613,4.914753868,8.90247949,8.525626979,7.701551005,-3.954997862,6.051883401,4.928466232,4.738056543
2,5.202619161,-2.140968972,2.835372093,-10.58072845,3.300349818,-0.412777642,3.566983515,15.97492048,7.266813185,9.054269803,3.963832317,9.180077664,6.428754653,13.9186811,-0.372458285,3.449611652,1.387187217,1.098874926
3,0.946691869,-0.077234879,1.268001755,-7.242885106,6.161813451,1.337748847,-0.05966008,8.027138966,7.572622603,5.432138565,1.538178668,10.99588125,8.879525331,6.256455048,0.264410768,1.956999579,1.677760735,-0.222672124
4,-0.330783509,-0.595661011,-1.881992074,-13.9079578,2.3994071,-0.141288665,-2.314154493,6.626698797,7.056919743,6.501867,2.203838265,6.732835575,6.140594952,5.058866761,-0.498738132,3.881297442,3.411862567,2.165385556
5,-2.918754214,-1.866542285,-2.425916151,-7.384081067,1.4270989,0.029366721,-3.05741074,2.287740428,3.683343627,3.229525126,1.63282773,4.448276049,4.632740675,2.098196038,0.747299277,2.58718877,2.148003151,1.574797358
6,-0.790567191,-1.026949664,-0.544974409,-6.074850911,-0.223265097,-0.890373699,-2.909880049,2.680811171,2.080657304,2.211657916,0.807110545,2.668136506,2.453072552,1.605419496,-0.837433959,0.444484761,0.087442367,-0.115971733
7,-0.592972932,-1.097158635,-0.50616999,-6.565797578,0.812010633,-2.124272616,-2.342931882,2.238409604,2.476119514,2.194443393,0.726428781,2.499338538,2.29535121,1.548774605,-1.013130087,0.671201293,-0.282337875,-0.702692999
8,0.159736327,-0.993891347,-0.575027316,-6.744286702,0.184938824,-2.687032209,-1.924119268,2.443001427,2.292340937,2.460811328,0.737193319,3.307898406,2.463438528,1.959526305,-1.71546903,0.570744917,-0.625726549,-0.870206803
9,-0.178408686,-0.546434377,0.617794056,-6.865135591,1.128508371,-3.267907658,-2.762165148,2.853673959,2.990673618,2.655865794,0.555668588,2.469223476,1.862948799,1.826282281,-2.338940616,0.212720387,-0.929336304,-1.371730286
10,-2.005765027,-1.387124871,-0.811500777,-6.592622333,-1.521732232,-4.706723678,-3.499943329,1.86902821,2.70121043,2.216301608,0.992459374,1.525688566,1.433506387,1.277530643,-2.84151367,-0.80293012,-1.358234336,-1.789005139
11,-0.279511609,-0.378190694,-0.165799365,-3.060231029,-0.223584128,-2.235739588,-0.918128804,1.251247037,1.721544695,1.349400268,0.487726579,1.113693539,0.616657026,1.421668389,-1.380178239,0.182700619,-0.571120823,-0.926462193
12,-0.278311799,0.299828308,0.224156354,-2.807177896,0.006989109,-1.124297654,-1.215414372,0.792321505,1.117386424,1.142172864,0.517423967,1.124349972,1.199200944,0.369185179,-0.384030337,0.683843915,0.103748497,0.023649337
13,0.012826765,-0.089446689,-0.162872281,-4.548590187,-0.244722924,-1.712164346,-1.679814147,1.666719023,2.452862467,2.029181833,0.844354536,1.722126319,1.482481872,1.354701428,-1.391491873,-0.311821196,-0.875744068,-1.057631767
14,0.007005081,0.343131018,0.63981392,-4.529736671,2.139794704,-1.543371123,-1.422916019,3.132025669,3.566881404,3.244131519,1.239006898,3.440297925,2.50351268,2.706424,-0.063313744,0.913061718,0.283584064,0.132445695
15,0.700430951,1.477097706,-0.104349582,-4.988631662,1.053096647,-1.487744944,-1.694221667,1.946677238,2.694868958,2.853371062,1.225770418,2.686652191,2.172724334,1.564645963,-0.658375869,0.727549803,0.008843651,-0.326727095
16,-1.304796653,-1.012795342,-1.487020956,-7.909126939,-0.403082231,-2.72659981,-3.18509522,2.234593481,2.514882648,2.123784784,0.885437,2.371727838,1.767055062,1.684148261,-1.323375139,0.591662523,-0.132993973,-0.318308007
Median,-0.278911704,-0.794776179,-0.335984678,-6.668454517,0.498474729,-1.627767735,-2.119136881,2.365370928,2.698039694,2.558338561,0.938948187,2.677394348,2.374211881,1.755215271,-0.925282023,0.677522604,0.048143009,-0.270490066
Average,-0.508135805,-0.770875623,-0.504347568,-6.946844568,0.822413633,-1.783637744,-1.846015918,3.992265169,3.773376684,3.539703092,1.454500678,4.074292707,3.428574499,3.272003531,-1.11010855,1.363137467,0.578837784,0.126987579
