PeriodId,AuthorshipRec-20188,RevOwnRec-20189,cHRev-20195,LearnRec-20199,RetentionRec-20200,TurnoverRec-10164,WhoDo-20194,AuthorshipRec++-10155,RevOwnRec++-10156,cHRev++-10157,LearnRec++-10158,RetentionRec++-10159,TurnoverRec++-10176,WhoDo++-10161,FarAwareRec-10169,Haorded2Rec-10179,Haorded3Rec-10180,Haorded4Rec-10181
1,150,120,240,220,-20,-70,-30,-90,-90,-90,-90,100,100,100,-80,-80,-80,-80
2,3.333333333,-3.666666667,1,19,-2,-4,-2.666666667,-15,-86.33333333,-86.33333333,-93.66666667,-91.33333333,-99.33333333,-8.666666667,-18,-84.33333333,-82.66666667,-82.66666667
3,4.848484848,-4.545454545,-0.909090909,22.42424242,-1.818181818,-3.636363636,-3.636363636,-24.54545455,-87.57575758,-87.57575758,-93.63636364,-91.81818182,-99.09090909,-16.96969697,-16.96969697,-85.45454545,-85.15151515,-85.15151515
4,15.8045977,6.034482759,6.32183908,20.40229885,1.149425287,-2.298850575,8.908045977,-28.73563218,-89.08045977,-89.08045977,-88.2183908,-92.81609195,-99.71264368,-21.83908046,-26.43678161,-79.59770115,-78.73563218,-78.73563218
5,18.49865952,4.825737265,13.40482574,26.80965147,-0.268096515,-1.608579088,20.91152815,-38.87399464,-78.82037534,-79.35656836,-74.26273458,-91.95710456,-98.39142091,-23.32439678,-23.5924933,-80.69705094,-79.62466488,-79.62466488
6,17.38035264,33.50125945,11.83879093,33.75314861,-1.259445844,-2.518891688,26.19647355,-36.77581864,-24.1813602,-75.56675063,-69.77329975,-87.15365239,-93.45088161,-23.17380353,-22.16624685,-76.5743073,-75.56675063,-75.56675063
7,11.13801453,-6.053268765,6.779661017,20.5811138,-4.600484262,-7.748184019,22.76029056,-37.53026634,-80.62953995,-78.4503632,-73.36561743,-87.65133172,-93.70460048,-27.36077482,-24.93946731,-78.69249395,-77.72397094,-75.30266344
8,4.633204633,-12.54826255,11.003861,27.99227799,-17.95366795,-14.28571429,10.61776062,-37.64478764,-74.32432432,-77.7992278,-74.32432432,-89.38223938,-94.20849421,-32.04633205,-38.996139,-75.86872587,-74.13127413,-73.16602317
9,4.684317719,-12.62729124,6.924643585,4.276985743,-18.3299389,-13.23828921,10.99796334,-40.12219959,-82.07739308,-81.87372709,-74.33808554,-87.78004073,-92.87169043,-26.88391039,-37.47454175,-74.33808554,-72.09775967,-71.6904277
10,13.98467433,27.96934866,22.60536398,32.75862069,-13.2183908,-17.81609195,8.429118774,-38.12260536,-71.83908046,-34.48275862,-30.84291188,-62.83524904,-67.24137931,-36.7816092,-35.05747126,-54.98084291,-51.72413793,-51.34099617
11,15.46052632,36.51315789,13.98026316,30.75657895,-12.00657895,-16.77631579,7.730263158,-32.73026316,-40.13157895,-39.63815789,-32.56578947,-60.19736842,-63.98026316,-40.78947368,-34.53947368,-51.80921053,-47.69736842,-47.53289474
12,6.834030683,19.10739191,10.73919107,19.80474198,-4.881450488,0,10.041841,-34.0306834,-68.47977685,-38.63319386,-29.0097629,-52.16178522,-53.83542538,-32.77545328,-23.0125523,-38.35425384,-34.30962343,-32.21757322
13,10.64690027,19.00269542,12.66846361,46.90026954,-5.929919137,-2.69541779,18.05929919,-33.15363881,-66.84636119,-39.21832884,-28.43665768,-54.71698113,-56.19946092,-31.13207547,-23.0458221,-40.70080863,-35.04043127,-31.80592992
14,8.413793103,29.24137931,11.31034483,28.4137931,-17.10344828,-11.44827586,14.75862069,-32.27586207,-39.86206897,-40,-27.31034483,-55.44827586,-57.24137931,-31.5862069,-24.27586207,-41.79310345,-36.4137931,-35.44827586
15,4.291287386,28.34850455,7.542262679,19.89596879,-18.72561769,-14.30429129,8.322496749,-31.98959688,-41.0923277,-39.53185956,-32.63979194,-58.25747724,-60.59817945,-35.63068921,-26.6579974,-44.73342003,-40.0520156,-39.14174252
16,8.496732026,29.1503268,3.267973856,29.80392157,-13.20261438,-8.366013072,8.496732026,-40.13071895,-46.2745098,-43.39869281,-33.20261438,-58.30065359,-61.04575163,-43.92156863,-25.62091503,-41.96078431,-36.07843137,-34.37908497
Median,9.571816148,19.05504366,10.87152604,27.40096473,-8.968249042,-8.057098546,9.474943491,-35.40325102,-73.08170239,-76.68298921,-71.56945859,-74.99445072,-80.05653487,-29.24642515,-25.28019117,-75.1034057,-73.1145169,-72.42822543
Average,18.65305681,19.64083377,23.6548996,37.72335085,-9.384275608,-11.92132989,8.745462718,-36.97884514,-66.72176547,-63.80869871,-59.09958474,-63.8631104,-68.18161331,-20.80510863,-30.04909129,-64.3680417,-61.68837721,-60.86067758
