PeriodId,AuthorshipRec-21098,RevOwnRec-21100,cHRev-21101,LearnRec-21102,RetentionRec-21099,TurnoverRec-11083,WhoDo-21103,AuthorshipRec++-11085,RevOwnRec++-11086,cHRev++-11088,LearnRec++-11089,RetentionRec++-11090,TurnoverRec++-11084,WhoDo++-11092,FarAwareRec-11081,Hoarded2Rec-11098,Hoarded3Rec-11097,Hoarded4Rec-11096
1,-8.024691358,-3.395061728,-8.950617284,-12.03703704,0,-1.234567901,-6.481481481,14.19753086,20.0617284,13.88888889,10.49382716,22.5308642,21.60493827,16.66666667,3.395061728,12.65432099,10.49382716,9.567901235
2,-2.262443439,-0.226244344,-2.941176471,-9.049773756,2.941176471,3.846153846,-4.524886878,19.45701357,24.2081448,18.77828054,13.80090498,25.33936652,26.01809955,17.64705882,9.728506787,19.68325792,16.5158371,14.70588235
3,-4.715127701,0.196463654,-1.964636542,-11.39489194,5.697445972,5.697445972,-9.233791749,12.57367387,23.37917485,15.71709234,11.78781925,27.8978389,27.50491159,11.00196464,11.19842829,20.62868369,16.3064833,14.93123772
4,-7.643312102,-2.45677889,-3.821656051,-16.46951774,4.185623294,4.367606915,-16.74249318,7.552320291,20.10919017,11.55595996,4.731574158,26.20564149,24.84076433,3.184713376,11.64695177,17.19745223,13.19381256,11.55595996
5,-5.668016194,-0.674763833,-2.159244265,-9.986504723,4.453441296,4.588394062,-10.52631579,9.311740891,18.89338731,13.76518219,6.477732794,22.80701754,22.80701754,6.072874494,10.79622132,16.46423752,15.38461538,14.03508772
6,-6.388642413,-0.709849157,-3.992901508,-13.39840284,5.590062112,3.460514641,-14.108252,8.42945874,15.97160603,11.18012422,4.347826087,23.77994676,21.38420586,3.283052351,8.873114463,12.95474712,11.00266193,10.55900621
7,0.791139241,4.430379747,1.424050633,-6.487341772,8.702531646,7.594936709,-4.588607595,8.860759494,13.44936709,11.39240506,3.32278481,17.87974684,16.4556962,4.430379747,9.493670886,12.5,11.70886076,10.60126582
8,-4.978165939,-2.358078603,-2.008733624,-17.03056769,3.493449782,2.183406114,-17.55458515,11.9650655,17.90393013,15.37117904,4.454148472,26.28820961,21.92139738,1.834061135,6.812227074,16.069869,12.57641921,10.91703057
9,-2.42248062,0.484496124,0.484496124,-12.59689922,5.717054264,3.779069767,-11.53100775,12.30620155,16.86046512,15.40697674,3.488372093,21.80232558,18.79844961,4.069767442,7.558139535,10.5620155,9.108527132,7.751937984
10,-2.95389049,0.864553314,-1.008645533,-10.15850144,6.051873199,4.178674352,-10.95100865,9.870317003,12.68011527,10.95100865,3.097982709,19.45244957,16.78674352,3.314121037,8.645533141,10.66282421,9.221902017,8.357348703
11,-2.835921675,2.093180284,-0.87778528,-8.035111411,4.321404456,1.89061445,-6.887238352,8.237677245,12.42403781,9.318028359,2.700877785,15.19243754,12.82916948,3.983794733,5.806887238,7.157326131,6.076975017,5.401755571
12,-1.243781095,4.850746269,-1.243781095,-8.208955224,8.582089552,7.213930348,-7.338308458,9.328358209,15.42288557,8.582089552,2.114427861,19.40298507,17.66169154,3.233830846,11.8159204,12.43781095,11.31840796,10.94527363
13,-3.384094755,4.060913706,0.676818951,-6.937394247,7.952622673,5.922165821,-9.306260575,5.922165821,14.04399323,11.6751269,2.876480541,18.78172589,16.41285956,1.52284264,11.6751269,11.50592217,10.82910321,10.65989848
14,-3.406113537,0.349344978,-1.397379913,-8.296943231,4.80349345,3.668122271,-8.034934498,4.890829694,9.43231441,7.248908297,1.834061135,14.3231441,13.18777293,1.746724891,7.860262009,8.995633188,7.68558952,7.074235808
15,-1.595092025,4.049079755,-0.981595092,-9.570552147,6.380368098,5.889570552,-10.9202454,8.343558282,14.35582822,9.325153374,3.190184049,17.66871166,16.93251534,1.717791411,11.41104294,10.30674847,8.834355828,8.834355828
16,-4.914933837,3.969754253,-1.512287335,-11.53119093,6.238185255,5.860113422,-11.72022684,7.939508507,16.06805293,10.96408318,2.268431002,19.0926276,17.9584121,1.134215501,10.77504726,11.53119093,10.39697543,10.20793951
17,-1.89701897,3.52303523,0,-7.859078591,5.284552846,4.742547425,-8.401084011,7.723577236,13.5501355,9.891598916,2.7100271,15.71815718,15.04065041,2.16802168,9.078590786,10.97560976,9.078590786,8.807588076
Median,-3.384094755,0.484496124,-1.397379913,-9.986504723,5.590062112,4.367606915,-9.306260575,8.860759494,15.97160603,11.39240506,3.32278481,19.45244957,17.9584121,3.283052351,9.493670886,12.43781095,10.82910321,10.55900621
Average,-3.73779923,1.120657103,-1.780886723,-10.53227435,5.317374963,4.332276398,-9.932395785,9.818220987,16.40084452,12.05953448,4.923380117,20.83312918,19.30266442,5.118345965,9.210043091,13.0757441,11.16076143,10.28904148
