PeriodId,AuthorshipRec-21098,RevOwnRec-21100,cHRev-21101,LearnRec-21102,RetentionRec-21099,TurnoverRec-11083,WhoDo-21103,AuthorshipRec++-11085,RevOwnRec++-11086,cHRev++-11088,LearnRec++-11089,RetentionRec++-11090,TurnoverRec++-11084,WhoDo++-11092,FarAwareRec-11081,Hoarded2Rec-11098,Hoarded3Rec-11097,Hoarded4Rec-11096
1,17.27561065,18.0033324,16.3427262,1.268796208,15.24350083,10.10042457,17.60952163,26.54933668,23.92880977,23.26361071,12.94661384,24.43434846,20.41796459,25.6876168,11.99923574,19.8119052,19.32396409,19.04542281
2,4.332834304,-0.925422507,-0.524121135,-13.61840261,2.861377744,2.901444244,-2.12886644,13.62510817,10.36374061,11.54402533,5.257871256,13.05725597,13.62419126,9.722238993,7.749233014,11.98736921,11.77781213,11.0755202
3,2.136571527,-1.199528477,-0.481156758,-15.14393548,3.831806525,-1.187650926,-2.467855564,7.038484724,8.231349839,7.349640549,2.769419259,7.971202501,5.84708032,6.753399472,-0.609701475,2.977694109,2.141758447,1.503003753
4,-1.136556767,-0.366808326,-0.651609226,-12.92385111,2.608066158,0.774958238,-3.939260858,4.516469203,5.041954803,4.73483622,1.983246629,4.573347402,4.729357084,4.289550653,1.763203262,3.122989532,2.41999518,2.302494977
5,-0.539489353,-0.934719211,-0.861059958,-9.68224709,1.139707363,-1.043451022,-3.406023926,5.165895434,5.63578804,4.939861884,2.816707483,6.060067268,4.92236456,4.59582068,0.425004196,2.866415994,2.465052514,2.201676569
6,-2.288386197,-2.401425348,-1.183957254,-15.18327718,1.608837953,-0.419216151,-6.630546806,4.182841815,5.514356248,4.41621551,1.049826823,5.802423428,5.352764077,2.798562165,0.061765646,2.59307975,1.346031639,1.225694702
7,-0.834767711,-0.279369962,-0.901500636,-10.90986332,0.962285131,-1.333123537,-3.609208021,3.472665327,4.128449511,2.792501742,0.508660559,4.266977528,3.687989341,2.135165515,-0.104535992,1.787409085,1.367406217,1.210941107
8,-1.384266711,1.102282231,-0.354640423,-14.47385487,3.380232065,0.019355955,-6.074637944,5.005286277,6.047424467,4.761994845,1.158193902,6.701504873,5.74677189,2.813955041,0.6823785,3.677662705,2.72999415,2.374400644
9,-1.387925079,0.362490777,0.071301289,-10.78727735,2.336628549,-0.920130794,-5.205934358,3.386907266,5.159697407,4.575453198,1.158829815,5.594458539,4.558961013,2.84604411,-0.159815348,2.408408951,1.982980686,1.391883423
10,-1.238826771,1.618153375,0.596675744,-8.837010191,2.741925122,0.042104981,-2.770936637,4.120365893,5.702186308,4.251600251,1.277616553,5.864772873,4.788251934,2.946018607,1.555743996,2.47895712,1.868322098,1.435261427
11,-1.126574506,0.464594902,-0.887792491,-7.483034553,0.994869045,-0.817745841,-2.931609703,3.331594188,3.354433834,3.12214566,0.921155065,3.702169195,3.114712748,1.971711983,-0.292565249,1.49631789,1.209618924,0.838254071
12,-0.552060769,1.224242223,-0.473426876,-9.362389492,1.696118643,-0.809617729,-2.459398748,3.001732243,4.965806572,3.36350121,0.949632226,4.879445818,4.994558367,2.423505126,-0.154766724,3.178173874,2.287333614,1.607452801
13,-0.614540333,1.073859235,-0.500413046,-7.858496981,0.670745584,-1.733387951,-1.374287418,2.309285315,3.368412592,2.757715313,0.901855759,3.270509908,3.154552513,2.526713661,-1.981822676,1.057057816,0.485694966,0.182980708
14,-0.868481506,0.065457806,-0.620283584,-6.961085703,0.244030285,-1.213002874,-3.346411517,1.85532211,2.451974053,2.532707605,0.661218902,2.550059802,1.986264444,1.220311027,0.003245756,1.076202312,0.727315453,0.681836174
15,0.054462898,1.463922767,0.398507781,-7.013406109,1.890516671,0.568878841,-2.049863668,3.155952771,3.592149929,3.211509818,0.678880213,3.603851698,3.378724708,2.047394553,0.974765078,2.260625076,1.953204441,1.416278432
16,1.841513912,2.832498935,2.583971331,-5.133081847,3.97481565,0.474600461,-0.84496199,4.023442828,4.718025096,4.11355427,2.417313633,5.080813838,4.384944403,2.599665233,1.576268223,2.754089641,2.345345934,1.893894576
17,-0.666555137,1.197983203,-0.70897196,-8.886722572,1.066812156,-0.954605592,-4.109464819,2.847095862,3.640952223,2.69003814,0.578948733,4.301336697,3.943922341,1.241032225,0.229937666,1.463271159,1.044963591,0.47578559
Median,-0.666555137,0.464594902,-0.500413046,-9.362389492,1.890516671,-0.809617729,-2.931609703,4.023442828,5.041954803,4.251600251,1.158193902,5.080813838,4.729357084,2.798562165,0.229937666,2.59307975,1.982980686,1.435261427
Average,0.764856615,1.37067906,0.696720529,-9.587596485,2.779545616,0.261754993,-2.102338047,5.740458006,6.226206547,5.55417131,2.237411215,6.571443871,5.80196327,4.624629755,1.395151389,3.941037025,3.380987887,2.991928351
