PeriodId,AuthorshipRec-21098,RevOwnRec-21100,cHRev-21101,LearnRec-21102,RetentionRec-21099,TurnoverRec-11083,WhoDo-21103,AuthorshipRec++-11085,RevOwnRec++-11086,cHRev++-11088,LearnRec++-11089,RetentionRec++-11090,TurnoverRec++-11084,WhoDo++-11092,FarAwareRec-11081,Hoarded2Rec-11098,Hoarded3Rec-11097,Hoarded4Rec-11096
1,100,208,220,120,40,48,144,-80,-92,-32,-32,-36,-36,-84,8,-24,-24,-12
2,-33.59375,-12.5,-14.84375,8.59375,-49.21875,-47.65625,-34.375,-96.875,-98.4375,-75.78125,-70.3125,-98.4375,-98.4375,-97.65625,-64.84375,-90.625,-90.625,-85.15625
3,-2.702702703,9.90990991,7.207207207,-0.900900901,-20.72072072,-35.13513514,-5.405405405,-91.89189189,-92.79279279,-84.68468468,-72.07207207,-87.38738739,-88.28828829,-92.79279279,-49.54954955,-75.67567568,-70.27027027,-64.86486486
4,27.17391304,92.93478261,14.67391304,22.2826087,-34.23913043,-35.32608696,17.93478261,-73.36956522,-75.54347826,-69.02173913,-53.80434783,-82.60869565,-78.80434783,-77.7173913,-47.82608696,-71.73913043,-65.76086957,-64.67391304
5,68.62745098,71.89542484,45.09803922,60.13071895,41.83006536,4.575163399,58.82352941,-73.85620915,-77.77777778,-67.32026144,-58.16993464,-69.28104575,-70.58823529,-75.16339869,-13.7254902,-59.47712418,-41.83006536,-37.90849673
6,47.90697674,4.651162791,22.79069767,31.1627907,-26.04651163,-29.30232558,75.34883721,-70.23255814,-69.76744186,-62.79069767,-70.69767442,-86.97674419,-88.37209302,-73.02325581,-40.46511628,-81.39534884,-74.88372093,-72.09302326
7,10.03236246,-17.79935275,-16.50485437,18.77022654,-46.60194175,-48.54368932,40.45307443,-79.61165049,-76.69902913,-77.02265372,-72.49190939,-91.26213592,-91.26213592,-80.90614887,-57.60517799,-81.87702265,-77.34627832,-75.08090615
8,13.38797814,-4.098360656,-9.016393443,-1.912568306,-21.03825137,-27.32240437,44.53551913,-65.84699454,-70.21857923,-65.57377049,-76.77595628,-80.6010929,-81.69398907,-62.84153005,-32.78688525,-75.68306011,-74.86338798,-72.13114754
9,4.347826087,-18.20652174,-16.57608696,18.47826087,-27.98913043,-35.05434783,40.76086957,-70.92391304,-75.27173913,-67.11956522,-68.75,-83.15217391,-84.23913043,-67.39130435,-44.02173913,-77.7173913,-75.27173913,-72.82608696
10,14.35768262,-2.770780856,-3.526448363,29.97481108,-13.60201511,-20.1511335,29.47103275,-71.28463476,-76.07052897,-69.01763224,-73.04785894,-83.8790932,-84.13098237,-68.5138539,-47.6070529,-77.07808564,-75.31486146,-73.55163728
11,20.24647887,-23.23943662,-5.985915493,9.154929577,-26.23239437,-35.21126761,35.03521127,-75,-81.16197183,-68.66197183,-73.06338028,-94.36619718,-94.71830986,-79.57746479,-55.1056338,-87.14788732,-84.85915493,-82.3943662
12,7.862068966,-5.24137931,-3.310344828,6.620689655,-30.06896552,-34.20689655,23.31034483,-79.17241379,-71.03448276,-69.10344828,-69.51724138,-93.24137931,-92.96551724,-70.20689655,-58.48275862,-85.65517241,-82.62068966,-81.10344828
13,7.304347826,4.347826087,-4,5.652173913,-10.34782609,-14.43478261,20.60869565,-58.86956522,-67.91304348,-62.95652174,-65.56521739,-84,-82.52173913,-56.86956522,-40,-72.60869565,-69.04347826,-63.91304348
14,10.53604436,-7.116451017,3.049907579,12.84658041,-25.50831793,-30.59149723,29.75970425,-63.40110906,-69.50092421,-56.65434381,-59.24214418,-83.1792976,-82.90203327,-50.09242144,-45.74861368,-73.012939,-69.50092421,-67.37523105
15,6.483600305,-6.102212052,2.212051869,6.331045004,-24.94279176,-32.49427918,26.77345538,-53.77574371,-61.32723112,-55.07246377,-52.09763539,-81.00686499,-83.67658276,-41.7238749,-54.91990847,-67.65827613,-64.37833715,-62.92906178
16,12.80388979,-9.724473258,2.431118314,17.34197731,-23.90599676,-34.27876823,28.44408428,-59.88654781,-65.47811994,-54.78119935,-49.75688817,-82.73905997,-82.90113452,-44.48946515,-61.83144246,-70.50243112,-67.82820097,-67.09886548
17,-2.327221439,-7.54583921,0.846262341,5.077574048,-15.30324401,-23.55430183,18.75881523,-58.32157969,-57.05218618,-55.3596615,-50.49365303,-52.32722144,-67.48942172,-48.23695346,-39.21015515,-55.57122708,-52.46826516,-51.26939351
Median,10.53604436,-5.24137931,0.846262341,12.84658041,-24.94279176,-32.49427918,29.47103275,-71.28463476,-75.27173913,-67.11956522,-68.75,-83.1792976,-83.67658276,-70.20689655,-47.6070529,-75.67567568,-70.27027027,-67.37523105
Average,18.37923212,16.31731169,14.38502375,21.74145103,-18.46681897,-25.33458838,34.95515003,-71.90113979,-75.1792251,-64.28952146,-62.81520079,-80.61446408,-81.70537887,-68.89426866,-43.86643297,-72.20143927,-68.28619079,-65.08057268
