PeriodId,AuthorshipRec-21098,RevOwnRec-21100,cHRev-21101,LearnRec-21102,RetentionRec-21099,TurnoverRec-11083,WhoDo-21103,AuthorshipRec++-11085,RevOwnRec++-11086,cHRev++-11088,LearnRec++-11089,RetentionRec++-11090,TurnoverRec++-11084,WhoDo++-11092,FarAwareRec-11081,Hoarded2Rec-11098,Hoarded3Rec-11097,Hoarded4Rec-11096
1,0,0,0,0,0,0,0,26.68918919,27.36486486,28.04054054,26.68918919,26.68918919,26.68918919,26.68918919,5.743243243,16.89189189,14.52702703,13.51351351
2,0,0,0,0,0,0,0,28.60411899,28.37528604,28.60411899,28.60411899,28.60411899,28.60411899,28.60411899,4.118993135,18.76430206,14.64530892,12.35697941
3,0,0,0,0,0,0,0,31.08695652,31.30434783,31.30434783,31.30434783,30.86956522,31.30434783,30.86956522,3.913043478,19.7826087,14.13043478,11.73913043
4,0,0,0,0,0,0,0,33.22072072,33.33333333,33.33333333,33.22072072,33.22072072,33.10810811,33.22072072,7.094594595,19.14414414,12.5,9.121621622
5,0,0,0,0,0,0,0,23.95833333,23.828125,23.95833333,23.95833333,23.95833333,23.95833333,23.828125,2.734375,13.28125,10.41666667,8.59375
6,0,0,0,0,0,0,0,22.070626,22.15088283,22.23113965,22.15088283,22.070626,22.23113965,22.070626,3.370786517,10.27287319,6.741573034,5.457463884
7,0,0,0,0,0,0,0,13.30326945,13.41600902,13.41600902,13.30326945,13.30326945,13.30326945,13.30326945,1.691093574,7.10259301,5.975197294,4.847801578
8,0,0,0,0,0,0,0,26.73611111,26.5625,26.64930556,26.64930556,26.5625,26.5625,26.73611111,2.430555556,16.49305556,12.32638889,9.375
9,0,0,0,0,0,0,0,18.99224806,18.91472868,18.99224806,18.91472868,18.91472868,18.91472868,18.99224806,2.558139535,9.84496124,7.054263566,5.11627907
10,0,0,0,0,0,0,0,14.3525741,14.3525741,14.40457618,14.3525741,14.30057202,14.30057202,14.40457618,2.132085283,6.708268331,3.952158086,2.548101924
11,0,0,0,0,0,0,0,12.25439504,12.20268873,12.25439504,12.20268873,12.15098242,12.15098242,12.25439504,1.861427094,5.37745605,3.619441572,2.843846949
12,0,0,0,0,0,0,0,16.24513619,16.05058366,16.24513619,16.05058366,16.05058366,16.05058366,16.34241245,2.042801556,7.782101167,5.544747082,4.474708171
13,0,0,0,0,0,0,0,13.5883905,13.32453826,13.45646438,13.45646438,13.32453826,13.32453826,13.45646438,2.110817942,6.068601583,3.693931398,3.298153034
14,0,0,0,0,0,0,0,13.04681504,13.04681504,13.04681504,13.20030698,13.04681504,13.04681504,13.04681504,1.227935533,5.679201842,2.839600921,1.995395242
15,0,0,0,0,0,0,0,14.93644068,14.83050847,14.93644068,14.83050847,14.72457627,14.72457627,15.04237288,3.813559322,6.461864407,4.237288136,3.495762712
16,0,0,0,0,0,0,0,14.11764706,14.24836601,14.37908497,14.24836601,14.24836601,14.24836601,14.37908497,2.352941176,7.058823529,4.836601307,3.39869281
17,0,0,0,0,0,0,0,13.76146789,13.87614679,13.87614679,13.87614679,13.76146789,13.76146789,13.99082569,1.949541284,6.30733945,4.013761468,3.555045872
18,0,0,0,0,0,0,0,12.41776316,12.5,12.5,12.66447368,12.41776316,12.41776316,12.58223684,1.069078947,5.509868421,3.865131579,2.631578947
19,0,0,0,0,0,0,0,11.57684631,11.57684631,11.77644711,11.77644711,11.57684631,11.57684631,11.57684631,1.397205589,7.385229541,3.79241517,3.193612774
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,17.69337904,17.68266552,17.76301693,17.70944933,17.62909792,17.6451682,17.72551961,2.54981787,9.160059996,6.315620313,4.922862653
