PeriodId,AuthorshipRec-123,RevOwnRec-124,cHRev-122,LearnRec-126,RetentionRec-125,TurnoverRec-114,WhoDo-130,AuthorshipRec++-108,RevOwnRec++-109,cHRev++-110,LearnRec++-111,RetentionRec++-112,TurnoverRec++-113,WhoDo++-106,FarAwareRec-116,Hoarded2Rec-119,Hoarded3Rec-118,Hoarded4Rec-117
1,0,0.933125972,0.155520995,-8.864696734,0.933125972,2.021772939,-4.510108865,14.93001555,18.81804044,16.17418351,9.020217729,18.66251944,18.66251944,12.59720062,3.110419907,13.06376361,8.864696734,7.465007776
2,-0.851581509,-0.608272506,-1.459854015,-11.07055961,1.338199513,1.824817518,-7.299270073,14.47688564,16.66666667,14.35523114,5.231143552,17.51824818,17.51824818,7.177615572,4.744525547,12.04379562,8.515815085,7.055961071
3,0.763358779,-1.85387132,-0.436205016,-9.160305344,4.580152672,3.380588877,-7.524536532,13.304253,15.9214831,12.86804798,4.580152672,17.66630316,17.01199564,5.34351145,6.543075245,11.55943293,9.705561614,8.724100327
4,1.180124224,5.217391304,-1.180124224,-7.826086957,6.397515528,6.149068323,-8.198757764,10.43478261,13.85093168,7.763975155,2.670807453,16.08695652,15.65217391,1.925465839,8.633540373,12.29813665,10.43478261,9.751552795
5,0.902527076,6.257521059,1.263537906,-4.392298436,7.460890493,7.099879663,-6.016847172,7.280385078,11.67268351,7.942238267,2.10589651,13.71841155,13.29723225,0.36101083,9.205776173,10.77015644,10.16847172,9.80746089
6,1.206272618,6.755126659,0.120627262,-3.739445115,8.021712907,6.212303981,-5.669481303,7.056694813,12.66586248,6.15199035,2.171290712,13.69119421,11.94209891,0.482509047,6.091676719,8.142340169,6.936067551,6.031363088
7,-0.975243811,5.851462866,-1.575393848,-6.001500375,8.027006752,6.151537884,-6.451612903,6.376594149,13.12828207,5.026256564,1.650412603,15.2288072,12.60315079,0.825206302,5.176294074,8.32708177,6.976744186,5.92648162
8,-3.113207547,9.433962264,0,-6.509433962,13.39622642,5.754716981,-8.018867925,4.811320755,18.11320755,8.20754717,1.603773585,17.35849057,12.64150943,0.377358491,8.113207547,8.962264151,8.301886792,8.20754717
9,-1.33744856,8.847736626,0.411522634,-6.172839506,18.20987654,12.24279835,-8.950617284,7.613168724,18.00411523,8.847736626,3.395061728,25.82304527,21.91358025,0.823045267,16.04938272,18.00411523,16.87242798,16.46090535
10,0.721649485,12.78350515,1.134020619,-10.51546392,22.16494845,16.90721649,-12.68041237,11.34020619,25.15463918,12.88659794,2.371134021,32.16494845,27.73195876,0.309278351,20.6185567,23.40206186,22.37113402,21.44329897
11,-2.700490998,4.991816694,-3.436988543,-12.11129296,11.04746318,8.592471358,-13.17512275,8.592471358,18.08510638,8.101472995,1.636661211,25.85924714,20.21276596,0,8.428805237,13.99345336,11.94762684,10.72013093
12,-0.833333333,2.719298246,-1.666666667,-4.605263158,5.701754386,7.236842105,-5.48245614,4.122807018,8.728070175,3.552631579,1.00877193,12.01754386,10.87719298,0.087719298,2.763157895,6.403508772,5.350877193,4.342105263
13,-1.806118688,1.769259123,-2.395871729,-5.270917803,4.349428677,7.040176926,-5.823811279,3.943973461,7.593070402,3.13306303,0.737191301,11.57390343,10.83671213,0.184297825,2.948765205,6.782159971,5.307777368,4.423147807
14,-2.287581699,1.225490196,-1.879084967,-4.656862745,4.003267974,6.290849673,-5.024509804,2.369281046,6.535947712,2.777777778,0.449346405,9.681372549,8.905228758,0.081699346,2.696078431,4.820261438,4.125816993,3.18627451
15,-2.052159042,0.940572894,-1.410859342,-3.078238563,3.03548525,4.275331338,-3.548525011,1.410859342,4.446344592,1.710132535,0.470286447,7.738349722,6.327490381,0,1.068832835,3.676784951,2.565198803,2.052159042
16,-2.933057281,-0.793650794,-1.897860594,-3.381642512,2.346445825,2.7605245,-3.623188406,0.655624569,3.140096618,1.587301587,0.310559006,6.314699793,4.796411318,0.069013112,-0.034506556,2.2084196,1.000690131,0.207039337
17,-2.480683205,0.081333876,-1.342008947,-3.416022773,2.684017893,3.497356649,-3.822692151,1.179341196,3.944692965,2.155347702,0.447336316,6.140707605,5.734038227,0.040666938,1.179341196,4.107360716,3.090687271,2.602684018
18,-2.697841727,2.338129496,-1.558752998,-3.717026379,5.51558753,4.736211031,-3.956834532,1.079136691,6.055155875,2.158273381,0.419664269,9.472422062,8.513189448,0.119904077,5.51558753,6.354916067,5.935251799,5.935251799
19,-2.01394268,1.704105345,-0.774593338,-3.795507359,7.358636716,6.42912471,-4.105344694,1.859024012,5.112316034,2.633617351,0.154918668,10.92176607,10.3020914,0,7.823392719,7.978311387,7.203718048,7.04879938
Median,-1.33744856,2.338129496,-1.342008947,-5.270917803,5.701754386,6.151537884,-5.823811279,6.376594149,12.66586248,6.15199035,1.636661211,13.71841155,12.60315079,0.309278351,5.51558753,8.32708177,7.203718048,7.04879938
Average,-1.121513574,3.610212798,-0.943633411,-6.22554759,7.187986457,6.242294174,-6.520157735,6.465096063,11.98087961,6.738601192,2.128138217,15.13889141,13.44629411,1.62134223,6.351363658,9.626227614,8.193433302,7.44164585
