PeriodId,AuthorshipRec-123,RevOwnRec-124,cHRev-122,LearnRec-126,RetentionRec-125,TurnoverRec-114,WhoDo-130,AuthorshipRec++-108,RevOwnRec++-109,cHRev++-110,LearnRec++-111,RetentionRec++-112,TurnoverRec++-113,WhoDo++-106,FarAwareRec-116,Hoarded2Rec-119,Hoarded3Rec-118,Hoarded4Rec-117
1,2.674734334,0.672437772,2.869456289,-9.421346683,3.641582525,1.49607136,-0.245964763,5.783819323,5.721356463,5.653694484,2.791738295,6.137130879,4.872413649,5.136376666,1.395556946,3.796158602,2.564872544,2.265149147
2,1.69747643,-1.626688471,0.467858067,-8.362728763,2.482048481,0.048385145,-2.920070501,5.562144899,5.029290911,4.882526456,2.354250351,6.001439141,5.651626303,4.102304819,1.756719566,4.744533239,4.231636965,3.760228165
3,-0.487040669,-0.533717303,-0.826770476,-7.367985392,1.666061739,-1.575630493,-2.033882878,4.421019096,5.392820057,4.040486871,2.394623127,5.241930569,4.488258304,3.541187775,-1.174710957,2.575386091,1.671624559,1.43923435
4,0.769338131,1.077059087,0.153014696,-4.870488145,1.716281834,-1.266987971,-0.119400235,4.129827311,4.421209457,3.756158958,2.101089317,4.162765761,3.679361145,3.788070956,-0.923203429,1.693786143,1.089430165,0.448743841
5,-0.052504034,0.103274013,-0.263256011,-3.999814801,0.900330285,-2.036066038,-1.853082808,3.286121335,3.068455646,2.919610909,1.428735258,3.157702922,2.423682054,2.204906099,-1.530711348,0.30510384,-0.376918928,-0.777100615
6,-0.40069535,0.582269226,-0.19851213,-3.47161036,0.954282136,-1.486556495,-1.066110729,1.748539721,2.704774608,1.726154403,0.882912095,2.165620504,1.870845572,1.309125066,-0.66367615,1.005913887,0.462409728,0.096145691
7,-0.021611179,0.641532155,0.237699809,-4.03573586,0.775277328,-2.182064969,-1.524754152,2.616004598,2.67565909,2.539131753,0.842526371,2.531263259,1.930104975,1.743421642,-0.722142357,0.626155895,-0.038619488,-0.264020131
8,-0.618478778,0.556737471,-0.235017366,-5.913718609,0.907252125,-3.599099038,-2.910570141,2.592570316,2.876851481,2.682411863,0.557015781,2.328189823,1.578244775,1.263319894,-2.601786148,-0.09490803,-0.908145824,-1.367851918
9,-0.334411085,0.404091976,0.123503494,-4.647363098,0.581046674,-2.410596678,-1.941568569,2.788766025,2.946927319,3.100629585,0.90000466,2.743681276,1.994103788,2.058791838,-1.77487014,0.350251729,-0.541362674,-1.03224216
10,-1.20101166,-0.584178648,-0.708935246,-6.641616733,-0.376379701,-3.168047266,-3.586612331,3.082063785,2.928128747,2.928953282,1.278652788,3.140409295,2.233048949,1.467235618,-2.515429634,0.198134469,-0.913110042,-1.415541938
11,0.032395963,0.851275933,-0.026779241,-6.332516025,1.022723802,-3.381307174,-3.165604432,3.128794052,2.821420197,2.91484238,0.988095781,3.008013318,1.990622129,1.512864532,-1.684066522,0.135792851,-0.433532563,-1.202742126
12,0.323997628,0.533989285,1.301977067,-3.63465397,0.444980248,-2.469051101,-2.104045166,2.57079074,2.606212028,3.235451501,0.991462008,2.805945598,2.240961817,1.592481239,0.467213002,1.291050645,1.001255247,0.848619163
13,-0.034965066,0.127083333,0.820732675,-3.693763326,0.236610111,-1.569167636,-1.850308273,2.09014903,2.102521289,2.845254797,0.524011382,2.846209782,2.340141063,0.958078016,0.919088992,1.456139613,1.267861751,1.085647256
14,0.03005258,0.071430171,0.528836694,-2.718834522,0.292804181,-1.636384636,-1.211889066,1.664408498,1.394919087,1.891553828,0.63499323,2.372223679,1.916507377,1.02093145,0.777942913,1.178945978,1.090561401,0.985862874
15,-0.370615022,-0.330684395,-0.063581794,-2.391163624,-0.867238666,-1.869159418,-1.447967313,1.18130087,1.292599364,1.740262697,0.64348609,1.456712489,1.250478432,0.806152547,0.363212147,0.678884159,0.446183065,0.211707909
16,0.043669766,0.120781032,0.279023283,-2.020678329,-0.453640273,-1.608469469,-0.798988855,1.496195664,1.452309439,1.322509459,0.377755055,1.435467098,0.959881007,0.862092624,0.152879065,0.446152227,0.365740443,0.399535483
17,0.1362641,0.700278354,0.624591269,-1.332032517,-0.059550365,-0.833270603,-0.456224823,1.334922592,1.474216109,1.644075926,0.445917295,1.182622762,1.138780071,0.869345521,0.733661321,0.873075703,0.700494819,0.709163569
18,-0.915953368,-0.446947909,-0.554987717,-2.732871933,-0.989436751,-1.703625304,-2.150181582,1.161636019,1.62370069,1.372743181,0.626017636,0.843319543,0.780902502,0.553665608,-0.21830947,0.195678976,0.075079675,0.046047469
19,-0.39896246,-0.105227814,-0.350673967,-2.568290607,-0.513569844,-1.102422104,-1.285296995,1.017708629,1.150353492,1.043546716,0.491856991,1.223643726,1.328889974,0.622976287,0.339913875,0.872796884,0.621153826,0.568431187
Median,-0.034965066,0.127083333,0.123503494,-3.999814801,0.581046674,-1.636384636,-1.850308273,2.592570316,2.704774608,2.845254797,0.882912095,2.743681276,1.990622129,1.467235618,-0.21830947,0.872796884,0.462409728,0.399535483
Average,0.045877909,0.148147119,0.219904179,-4.534590174,0.650603467,-1.702813152,-1.719606506,2.718778027,2.825459236,2.749473634,1.118691764,2.883383759,2.35099231,1.863859379,-0.363300965,1.175212258,0.651400772,0.358158801
