PeriodId,AuthorshipRec-123,RevOwnRec-124,cHRev-122,LearnRec-126,RetentionRec-125,TurnoverRec-114,WhoDo-130,AuthorshipRec++-108,RevOwnRec++-109,cHRev++-110,LearnRec++-111,RetentionRec++-112,TurnoverRec++-113,WhoDo++-106,FarAwareRec-116,Hoarded2Rec-119,Hoarded3Rec-118,Hoarded4Rec-117
1,300,100,200,2000,100,100,300,100,100,100,0,100,100,100,100,100,100,100
2,34.7826087,30.43478261,17.39130435,91.30434783,30.43478261,-8.695652174,126.0869565,100,100,100,100,100,100,-95.65217391,-91.30434783,-17.39130435,-17.39130435,-17.39130435
3,-9.090909091,189.0909091,-18.18181818,5.454545455,5.454545455,-38.18181818,78.18181818,-85.45454545,-83.63636364,-85.45454545,-81.81818182,-94.54545455,-94.54545455,-67.27272727,-67.27272727,-60,-47.27272727,-50.90909091
4,-13.23529412,100,205.8823529,138.2352941,-20.58823529,-57.35294118,295.5882353,-95.58823529,100,-92.64705882,-92.64705882,100,100,-89.70588235,-83.82352941,-92.64705882,-88.23529412,-82.35294118
5,18.60465116,-10.75581395,-20.34883721,-17.73255814,-24.41860465,-39.24418605,30.23255814,-55.81395349,-96.51162791,-97.38372093,-95.34883721,-97.96511628,-97.96511628,-52.3255814,-57.84883721,-96.51162791,-94.76744186,-94.47674419
6,17.52988048,2.390438247,-14.34262948,9.960159363,-12.35059761,-21.11553785,31.07569721,-68.92430279,-95.61752988,-94.82071713,-92.03187251,-96.41434263,-96.41434263,-64.54183267,-59.76095618,-70.51792829,-69.72111554,-68.92430279
7,5.970149254,-2.985074627,-15.67164179,73.50746269,-17.91044776,-29.10447761,68.28358209,-70.89552239,-95.52238806,-63.80597015,-66.41791045,-95.89552239,-96.26865672,-63.80597015,-68.28358209,-72.01492537,-71.64179104,-71.26865672
8,58.13953488,32.55813953,-20.93023256,160.4651163,-39.53488372,-39.53488372,134.8837209,-79.06976744,-86.04651163,-81.39534884,-67.44186047,-83.72093023,-86.04651163,-55.81395349,-48.8372093,-74.41860465,-72.09302326,-69.76744186
9,61.9047619,3.968253968,-18.25396825,66.66666667,-19.84126984,-21.42857143,184.1269841,-92.06349206,-93.65079365,-88.0952381,-42.06349206,-93.65079365,-93.65079365,-72.22222222,-73.01587302,-88.88888889,-88.88888889,-44.44444444
10,13.5678392,3.51758794,-11.05527638,45.22613065,-12.06030151,-15.07537688,49.24623116,-59.29648241,-92.46231156,-92.46231156,-60.30150754,-92.46231156,-92.46231156,-52.7638191,-46.23115578,-89.94974874,-89.44723618,-60.8040201
11,12.21374046,-5.72519084,-10.6870229,47.70992366,-14.1221374,-17.55725191,76.33587786,-56.10687023,-81.29770992,-77.48091603,-75.95419847,-81.29770992,-81.29770992,-42.7480916,-42.7480916,-77.48091603,-76.71755725,-55.34351145
12,-1.438848921,-6.115107914,-13.30935252,38.1294964,-14.02877698,-17.26618705,41.72661871,-53.23741007,-85.61151079,-82.01438849,-57.1942446,-86.33093525,-86.33093525,-42.44604317,-44.24460432,-83.81294964,-83.09352518,-62.94964029
13,23.25581395,-12.09302326,25.11627907,55.81395349,-21.86046512,-26.04651163,75.34883721,-79.06976744,-92.09302326,-84.18604651,-54.88372093,-93.02325581,-93.02325581,-68.8372093,-66.51162791,-86.51162791,-86.04651163,-59.06976744
14,-3.691275168,-9.060402685,-6.375838926,51.34228188,-16.77852349,-19.46308725,46.97986577,-56.7114094,-87.58389262,-78.8590604,-36.91275168,-89.93288591,-89.59731544,-43.2885906,-46.97986577,-84.56375839,-84.22818792,-65.10067114
15,-16.77018634,-17.39130435,-17.70186335,38.81987578,-27.63975155,-24.8447205,34.16149068,-58.07453416,-84.47204969,-56.83229814,-28.57142857,-86.33540373,-85.71428571,-25.77639752,-49.37888199,-80.43478261,-80.43478261,-63.66459627
16,-14.52702703,-19.25675676,-13.51351351,57.09459459,-25.67567568,-23.31081081,39.18918919,-54.39189189,-76.35135135,-46.28378378,-54.72972973,-81.08108108,-81.08108108,-34.12162162,-40.87837838,-72.97297297,-72.63513514,-63.17567568
17,-28.07881773,-36.45320197,-25.36945813,42.85714286,-44.82758621,-42.36453202,47.53694581,-64.03940887,-81.03448276,-57.8817734,-38.1773399,-84.48275862,-84.48275862,-27.83251232,-60.83743842,-79.80295567,-78.81773399,-72.16748768
18,12.26851852,-36.57407407,-29.62962963,37.96296296,-46.06481481,-41.66666667,69.67592593,-42.59259259,-82.87037037,-56.48148148,-29.39814815,-86.57407407,-86.57407407,-24.53703704,-63.42592593,-81.48148148,-80.55555556,-74.76851852
19,35.28225806,-39.31451613,-24.19354839,34.47580645,-42.13709677,-30.44354839,60.48387097,-25.40322581,-78.62903226,-56.65322581,-34.87903226,-68.34677419,-79.43548387,-24.59677419,-53.42741935,-74.7983871,-72.17741935,-66.73387097
Median,12.26851852,-5.72519084,-14.34262948,47.70992366,-19.84126984,-24.8447205,68.28358209,-58.07453416,-84.47204969,-78.8590604,-54.88372093,-86.33540373,-86.33093525,-52.3255814,-57.84883721,-79.80295567,-78.81773399,-63.66459627
Average,26.6677578,14.01240236,9.938173955,156.6996423,-13.89209686,-21.72088217,94.16549504,-47.19649536,-57.54689207,-57.51252026,-47.83006922,-58.52943947,-59.20474141,-44.64676,-50.77949746,-67.58946941,-66.00869638,-54.911194
