PeriodId,AuthorshipRec-120,RevOwnRec-119,cHRev-116,LearnRec-118,RetentionRec-117,TurnoverRec-109,WhoDo-123,AuthorshipRec++-102,RevOwnRec++-103,cHRev++-104,LearnRec++-107,RetentionRec++-106,TurnoverRec++-108,WhoDo++-99,FarAwareRec-111,Hoarded2Rec-112,Hoarded3Rec-113,Hoarded4Rec-114
4,-6.097560976,0.609756098,-6.707317073,-14.63414634,9.756097561,8.536585366,-8.536585366,29.26829268,34.75609756,29.26829268,20.12195122,48.7804878,48.7804878,24.3902439,20.73170732,37.19512195,33.53658537,29.87804878
5,-9.012131716,10.05199307,-5.025996534,-13.17157712,11.09185442,9.532062392,-14.73136915,20.45060659,34.48873484,24.43674177,17.50433276,42.80762565,39.68804159,16.81109185,13.17157712,27.3830156,24.43674177,20.27729636
6,-7.516339869,7.843137255,-0.980392157,-14.37908497,7.843137255,2.614379085,-10.13071895,16.33986928,30.06535948,22.54901961,10.78431373,31.37254902,23.85620915,14.70588235,6.209150327,14.37908497,10.45751634,7.843137255
7,-6.561085973,4.07239819,-4.524886878,-15.83710407,10.85972851,4.524886878,-8.597285068,14.9321267,23.52941176,15.15837104,7.013574661,32.57918552,23.52941176,11.76470588,6.108597285,15.61085973,11.31221719,9.728506787
8,-4.090909091,2.954545455,-1.590909091,-12.27272727,7.954545455,3.863636364,-10.45454545,12.04545455,18.86363636,14.09090909,4.772727273,24.54545455,21.36363636,5.909090909,9.090909091,15.68181818,11.81818182,11.36363636
9,-3.153988868,2.968460111,-0.742115028,-11.68831169,8.53432282,7.050092764,-8.348794063,8.905380334,16.69758813,13.72912801,2.968460111,21.15027829,19.29499072,3.710575139,9.833024119,15.21335807,13.17254174,12.61595547
10,-3.75,0.535714286,1.964285714,-14.28571429,6.785714286,5,-12.14285714,10.17857143,17.85714286,16.42857143,2.678571429,22.85714286,21.25,2.678571429,7.678571429,14.10714286,12.14285714,9.285714286
11,-3.190319032,2.750275028,-0.550055006,-11.00110011,4.180418042,5.060506051,-10.0110011,7.590759076,14.85148515,11.88118812,1.320132013,16.83168317,18.04180418,1.210121012,8.360836084,12.32123212,10.0110011,9.130913091
12,-2.378255946,1.585503964,0.453001133,-8.040770102,4.077010193,3.963759909,-7.814269536,7.134767837,10.87202718,8.267270668,1.81200453,13.59003398,13.13703284,1.925254813,6.002265006,8.267270668,6.908267271,6.228765572
13,-5.361930295,3.753351206,-0.268096515,-11.43878463,4.289544236,3.038427167,-11.17068811,5.183199285,14.83467382,10.45576408,1.072386059,16.62198391,14.83467382,0.714924039,6.076854334,10.36639857,7.953529937,7.327971403
14,-2.895553257,4.136504654,0.310237849,-9.410548087,4.033092037,1.240951396,-10.1344364,6.721820062,13.44364012,9.927611169,1.654601861,14.78800414,12.30610134,0.413650465,4.550155119,8.066184074,6.101344364,5.274043433
15,-2,2.266666667,0.533333333,-6,3.333333333,1.733333333,-6.533333333,3.333333333,8.266666667,5.066666667,0.533333333,9.866666667,8.266666667,0.133333333,3.333333333,5.866666667,4.533333333,3.733333333
16,0.484848485,1.454545455,2.545454545,-3.878787879,5.333333333,2.666666667,-4.606060606,4.242424242,6.424242424,6.787878788,0.848484848,10.3030303,8.727272727,0.484848485,4.363636364,6.303030303,5.212121212,4.484848485
17,-3.451251079,-1.035375324,-0.258843831,-8.110440035,3.278688525,2.415875755,-8.369283865,2.84728214,6.643658326,6.902502157,0.603968939,11.82053494,10.61259707,0,4.486626402,5.95340811,4.918032787,4.659188956
18,-2.156334232,-1.527403414,-0.179694519,-5.121293801,2.785265049,1.437556155,-5.660377358,3.234501348,4.402515723,5.121293801,0.898472597,8.715184187,8.086253369,0.539083558,4.402515723,6.289308176,5.121293801,4.761904762
19,-0.39893617,-0.79787234,1.994680851,-6.117021277,4.122340426,0.79787234,-6.382978723,5.186170213,6.117021277,7.446808511,0.79787234,10.7712766,9.441489362,0.664893617,5.585106383,6.64893617,6.117021277,5.718085106
20,-1.466049383,-1.311728395,-0.617283951,-4.320987654,2.314814815,1.311728395,-5.015432099,2.932098765,3.086419753,3.780864198,0.385802469,7.175925926,6.481481481,0.077160494,3.163580247,3.935185185,3.086419753,2.469135802
Median,-3.190319032,2.266666667,-0.268096515,-11.00110011,4.289544236,3.038427167,-8.536585366,7.134767837,14.83467382,10.45576408,1.654601861,16.62198391,14.83467382,1.210121012,6.076854334,10.36639857,7.953529937,7.327971403
Average,-3.705635141,2.371204233,-0.802623362,-9.982847019,5.916072958,3.811077648,-8.743530373,9.44274458,15.60001891,12.42934599,4.457117068,20.26923809,18.09989119,5.066672429,7.244026217,12.56400126,10.40229448,9.104734426
