PeriodId,AuthorshipRec-120,RevOwnRec-119,cHRev-116,LearnRec-118,RetentionRec-117,TurnoverRec-109,WhoDo-123,AuthorshipRec++-102,RevOwnRec++-103,cHRev++-104,LearnRec++-107,RetentionRec++-106,TurnoverRec++-108,WhoDo++-99,FarAwareRec-111,Hoarded2Rec-112,Hoarded3Rec-113,Hoarded4Rec-114
4,26.81302604,18.64065701,22.40425799,-5.071643436,19.56398304,-3.626842789,26.05752314,34.57543461,28.16274175,32.46714398,14.71244226,28.78638044,19.57800157,35.57391468,8.550775478,17.82148453,17.29663817,14.00833271
5,6.846448897,9.222273124,6.720604678,-10.764443,9.49399733,-4.139336473,7.034560553,18.93703859,20.70632576,18.7626427,10.9105036,19.2184163,12.95159647,18.12131959,-2.797976096,6.498160936,5.378600213,1.973542515
6,2.544020299,3.293567339,1.740050982,-12.87302368,3.633206634,-7.730398781,2.600134303,12.56922336,13.56349786,12.42156979,5.777258742,11.80809216,9.146664595,13.54095161,-4.730173549,3.780765677,0.6699902,0.201458453
7,2.894990768,4.741109741,3.029696825,-12.47454736,4.558001375,-6.302967946,-0.031253929,10.26640606,10.19028171,10.0490612,5.046190438,10.67901274,6.522274838,8.737465495,-4.354923605,2.1871142,0.780248117,-0.583877994
8,0.16456969,0.219734656,-0.052002679,-12.90739482,1.262687131,-6.920676489,-2.576569996,8.280233405,8.376794948,9.53455999,3.296343271,8.883282644,6.538448875,6.817027885,-3.895954391,2.967747175,-0.695574057,-1.802931064
9,1.061886897,1.426224234,1.456759124,-8.654742675,-0.573528662,-6.36648787,0.564368029,6.068828843,5.750934029,5.756629154,2.607979246,5.134901451,2.974954408,5.742073529,-6.380968657,0.034958224,-1.860543156,-2.943351985
10,-0.037483221,-0.621376468,0.839278794,-13.62636846,-1.665274006,-3.981814371,-3.931801763,5.384706859,5.604327394,6.566361297,2.428175728,4.785208463,3.668143853,4.468025307,-2.643748736,1.314154736,0.130223592,-0.863026135
11,-2.78580498,-0.080722601,0.120450467,-13.65376363,-3.06870466,-7.40604179,-5.505153287,4.589172701,8.271109439,5.953862746,1.465455658,4.112921298,2.478463981,3.765133456,-5.718286068,0.378393335,-1.02710167,-2.987867421
12,-3.36179234,-3.163835301,-0.354746581,-9.742583464,-3.78539032,-4.242810958,-5.421235893,2.18416602,4.975597759,4.032696122,0.485700156,1.874158332,1.819835923,1.596707449,-3.433392355,0.296409242,-0.461658723,-0.546380137
13,-1.337936377,1.394662025,0.110468796,-9.192375766,-0.530877574,-3.739811523,-3.449839641,3.037014675,5.00656802,3.947957029,1.043740865,3.342493832,2.845504603,2.181625218,-2.371728027,1.027991745,-0.26640339,-0.748610212
14,-1.123661683,0.67093814,0.732382443,-7.563158353,-0.540621095,-3.360632623,-3.513251396,2.923699243,4.390462951,3.60507535,0.876489765,2.934657329,2.537647212,2.165653366,-1.176409496,0.798507759,-0.1738481,-0.601740236
15,-0.448734305,-0.180230693,0.52059247,-3.670495932,-0.848635366,-0.18498644,-0.98568493,1.902020853,1.961647565,2.982839748,1.127800012,1.734657359,1.953488446,2.025143133,-0.248279149,1.115739489,0.183026774,0.022353642
16,0.341057984,-0.606230869,0.146227341,-2.198127177,-0.357789694,-0.970473297,-1.630790315,1.92586997,1.702154354,2.205574069,1.008630427,1.413519745,2.296114569,1.004301787,0.008996516,1.420108847,0.578282049,-0.259298144
17,-0.253268077,0.518794097,0.869040419,-3.221794892,0.218353863,-2.179442175,-0.87173216,1.894419763,2.082621865,2.126055634,0.643873271,1.547117064,1.160124866,1.332325908,-1.593527869,-0.547145195,-0.949669407,-1.074673652
18,0.693357931,0.136812349,1.302574089,-4.029518982,-0.473931388,-2.389532253,-1.530338974,2.074261098,1.3251887,2.917723515,0.784228477,1.360325132,1.39097882,1.443027479,-1.151405457,0.21444559,-0.632168524,-0.7948165
19,0.299859569,-0.629994308,0.536646735,-4.46144874,-0.172059179,-1.023789534,-2.517444292,2.026538712,1.456216302,2.084668036,0.667934208,1.378819746,1.506608442,1.25070814,-1.13773859,0.312309652,-0.363764372,-0.463475133
20,1.40415502,1.443572442,1.527314833,-3.292752197,0.867914487,-1.657503107,-0.715502023,3.074337563,2.358626865,2.772174242,0.712378736,2.106211722,1.833847348,1.553067037,-0.002176141,0.562032029,0.398163411,0.173832691
Median,0.299859569,0.518794097,0.839278794,-8.654742675,-0.357789694,-3.739811523,-1.530338974,3.074337563,5.00656802,4.032696122,1.127800012,3.342493832,2.537647212,2.181625218,-2.371728027,1.027991745,-0.1738481,-0.583877994
Average,1.983217183,2.14270323,2.449976278,-8.082246034,1.622431289,-3.895502848,0.210352202,7.159610137,7.405005722,7.540387918,3.152654404,6.535304456,4.776629342,6.548145357,-1.945700953,2.363716351,1.116731831,0.159380671
