PeriodId,AuthorshipRec-120,RevOwnRec-119,cHRev-116,LearnRec-118,RetentionRec-117,TurnoverRec-109,WhoDo-123,AuthorshipRec++-102,RevOwnRec++-103,cHRev++-104,LearnRec++-107,RetentionRec++-106,TurnoverRec++-108,WhoDo++-99,FarAwareRec-111,Hoarded2Rec-112,Hoarded3Rec-113,Hoarded4Rec-114
4,94.44444444,11.11111111,44.44444444,33.33333333,0,-11.11111111,72.22222222,-66.66666667,-83.33333333,-72.22222222,-72.22222222,-83.33333333,-83.33333333,-77.77777778,-33.33333333,-72.22222222,-55.55555556,-55.55555556
5,27.41935484,-4.838709677,69.35483871,70.96774194,-4.838709677,-6.451612903,25.80645161,-61.29032258,-91.93548387,-74.19354839,-77.41935484,-91.93548387,-93.5483871,-61.29032258,-14.51612903,-80.64516129,-74.19354839,-62.90322581
6,63.56589147,-5.426356589,21.70542636,51.1627907,-25.58139535,-34.88372093,52.71317829,-81.39534884,-93.79844961,-80.62015504,-73.64341085,-96.12403101,-96.89922481,-75.96899225,-44.18604651,-84.49612403,-79.84496124,-79.84496124
7,39.02439024,139.8373984,21.95121951,91.8699187,-20.32520325,-23.57723577,25.20325203,-73.98373984,-73.17073171,-65.04065041,-67.4796748,-79.67479675,-82.11382114,-68.29268293,-35.77235772,-73.98373984,-67.4796748,-62.60162602
8,16.23931624,135.8974359,-19.65811966,54.7008547,-30.76923077,-37.60683761,-10.25641026,-69.23076923,-61.53846154,-70.08547009,-71.79487179,-75.21367521,-76.92307692,-63.24786325,-47.00854701,-70.08547009,-64.95726496,-63.24786325
9,21.81818182,204.5454545,6.363636364,78.18181818,-23.63636364,-19.09090909,9.090909091,-76.36363636,-79.09090909,-77.27272727,-66.36363636,-80.90909091,-81.81818182,-67.27272727,-35.45454545,-72.72727273,-66.36363636,-57.27272727
10,85.9375,-15.625,32.8125,303.125,-17.1875,-12.5,106.25,-62.5,-75,-75,-59.375,-75,-76.5625,-51.5625,-35.9375,-62.5,-53.125,-43.75
11,68.93203883,-10.67961165,37.86407767,210.6796117,-19.41747573,-15.53398058,88.34951456,-59.22330097,-67.96116505,-63.10679612,-41.74757282,-67.96116505,-67.96116505,-52.42718447,-29.12621359,-59.22330097,-53.39805825,-47.57281553
12,73.04347826,342.6086957,16.52173913,103.4782609,-29.56521739,-36.52173913,75.65217391,-77.39130435,-68.69565217,-75.65217391,-63.47826087,-82.60869565,-83.47826087,-57.39130435,-41.73913043,-74.7826087,-62.60869565,-60
13,66.66666667,240,-9.62962963,74.81481481,-40,-42.96296296,72.59259259,-76.2962963,-79.25925926,-82.22222222,-56.2962963,-80.74074074,-83.7037037,-60.74074074,-50.37037037,-74.81481481,-64.44444444,-64.44444444
14,66,195.3333333,-5.333333333,127.3333333,-31.33333333,-36.66666667,86.66666667,-74,-74,-78,-58.66666667,-79.33333333,-82,-62,-43.33333333,-75.33333333,-62.66666667,-62.66666667
15,66.37931034,228.4482759,0,152.5862069,-34.48275862,-39.65517241,84.48275862,-81.03448276,-76.72413793,-83.62068966,-60.34482759,-85.34482759,-87.06896552,-70.68965517,-46.55172414,-81.03448276,-71.55172414,-66.37931034
16,1.973684211,155.9210526,-5.921052632,144.7368421,-42.76315789,-46.05263158,29.60526316,-78.28947368,-76.31578947,-79.60526316,-54.60526316,-85.52631579,-87.5,-68.42105263,-51.97368421,-80.26315789,-75,-68.42105263
17,15.23809524,89.04761905,-21.42857143,94.28571429,-48.0952381,-50.47619048,29.52380952,-74.28571429,-76.66666667,-79.52380952,-45.23809524,-85.71428571,-86.19047619,-66.66666667,-58.0952381,-78.57142857,-72.38095238,-67.61904762
18,28.16091954,120.1149425,-5.172413793,158.045977,-47.70114943,-55.17241379,51.72413793,-74.71264368,-77.5862069,-76.43678161,-43.10344828,-83.90804598,-85.05747126,-63.2183908,-56.32183908,-76.43678161,-70.68965517,-67.81609195
19,9.132420091,76.25570776,-22.83105023,94.06392694,-53.42465753,-56.16438356,37.89954338,-72.14611872,-74.42922374,-76.25570776,-40.1826484,-83.56164384,-84.01826484,-61.18721461,-62.55707763,-78.08219178,-73.97260274,-70.3196347
20,28.0155642,70.42801556,-22.56809339,101.5564202,-53.69649805,-55.25291829,47.85992218,-65.36964981,-78.21011673,-78.21011673,-43.57976654,-87.54863813,-87.93774319,-62.25680934,-61.86770428,-76.6536965,-73.15175097,-69.64980545
Median,39.02439024,120.1149425,0,94.28571429,-30.76923077,-36.66666667,51.72413793,-74,-76.66666667,-76.43678161,-59.375,-83.33333333,-83.7037037,-63.2183908,-44.18604651,-75.33333333,-67.4796748,-63.24786325
Average,45.41125038,116.0576097,8.145624594,114.4072097,-30.75399346,-34.09885217,52.08152856,-72.01055694,-76.9244463,-75.70990201,-58.56123628,-82.61400605,-83.88909269,-64.14187558,-44.00851613,-74.8150463,-67.14024657,-62.94498991
