PeriodId,AuthorshipRec-120,RevOwnRec-119,cHRev-116,LearnRec-118,RetentionRec-117,TurnoverRec-109,WhoDo-123,AuthorshipRec++-102,RevOwnRec++-103,cHRev++-104,LearnRec++-107,RetentionRec++-106,TurnoverRec++-108,WhoDo++-99,FarAwareRec-111,Hoarded2Rec-112,Hoarded3Rec-113,Hoarded4Rec-114
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,40.63926941,42.00913242,42.00913242,40.63926941,40.63926941,40.63926941,40.63926941,5.479452055,27.85388128,20.54794521,16.89497717
5,0,0,0,0,0,0,0,30.87044534,30.97165992,30.97165992,30.87044534,30.87044534,30.87044534,30.76923077,3.744939271,20.85020243,15.58704453,11.43724696
6,0,0,0,0,0,0,0,22.78481013,22.96564195,22.96564195,22.78481013,22.78481013,22.78481013,22.78481013,2.893309222,13.0198915,8.499095841,5.967450271
7,0,0,0,0,0,0,0,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,1.767676768,13.13131313,8.964646465,6.439393939
8,0,0,0,0,0,0,0,20.38834951,20.38834951,20.38834951,20.38834951,20.38834951,20.38834951,20.38834951,1.294498382,11.97411003,8.414239482,6.310679612
9,0,0,0,0,0,0,0,16.42575558,16.42575558,16.42575558,16.42575558,16.42575558,16.42575558,16.42575558,1.314060447,9.855453351,6.701708279,5.913272011
10,0,0,0,0,0,0,0,21.00719424,21.00719424,21.00719424,21.00719424,21.00719424,21.00719424,21.00719424,3.309352518,12.51798561,9.496402878,6.330935252
11,0,0,0,0,0,0,0,19.88764045,19.88764045,19.88764045,19.88764045,19.88764045,19.88764045,19.88764045,2.696629213,11.68539326,8.202247191,6.292134831
12,0,0,0,0,0,0,0,18.15286624,18.15286624,18.15286624,18.15286624,18.15286624,18.15286624,18.31210191,2.070063694,8.757961783,5.732484076,3.98089172
13,0,0,0,0,0,0,0,21.02335929,21.13459399,21.02335929,21.13459399,21.02335929,21.02335929,21.02335929,1.334816463,12.01334816,6.674082314,4.338153504
14,0,0,0,0,0,0,0,20.24291498,20.37786775,20.24291498,20.24291498,20.24291498,20.24291498,20.24291498,2.564102564,10.66126856,6.61268556,4.318488529
15,0,0,0,0,0,0,0,13.68613139,13.68613139,13.68613139,13.68613139,13.68613139,13.68613139,13.68613139,0.729927007,6.751824818,4.379562044,2.737226277
16,0,0,0,0,0,0,0,12.70358306,12.70358306,12.70358306,12.70358306,12.70358306,12.70358306,12.70358306,1.954397394,6.840390879,4.234527687,2.605863192
17,0,0,0,0,0,0,0,15.73770492,15.73770492,15.73770492,15.84699454,15.6284153,15.6284153,15.73770492,1.420765027,6.994535519,4.153005464,3.387978142
18,0,0,0,0,0,0,0,9.857819905,9.763033175,9.763033175,9.763033175,9.763033175,9.763033175,9.857819905,0.473933649,5.118483412,2.843601896,2.180094787
19,0,0,0,0,0,0,0,14.07528642,13.91162029,14.07528642,13.91162029,14.07528642,13.91162029,13.91162029,0.654664484,9.165302782,6.710310966,5.400981997
20,0,0,0,0,0,0,0,10.21400778,10.21400778,10.21400778,10.21400778,10.21400778,10.21400778,10.21400778,1.070038911,4.961089494,3.404669261,2.626459144
21,0,0,0,0,0,0,0,9.381237525,9.381237525,9.381237525,9.381237525,9.381237525,9.381237525,9.381237525,1.19760479,5.089820359,3.79241517,2.49500998
22,0,0,0,0,0,0,0,17.80821918,17.80821918,17.80821918,17.80821918,17.80821918,17.80821918,17.80821918,1.369863014,8.219178082,5.479452055,5.479452055
ReviewerPlusPlus_Lifetime,0,0,0,0,0,0,0,17.66691123,17.70359501,17.69625825,17.66691123,17.65223771,17.64490095,17.65957447,1.834189288,10.16874541,6.896551724,5.047688921
