PeriodId,AuthorshipRec-127,RevOwnRec-124,cHRev-120,LearnRec-123,RetentionRec-122,TurnoverRec-112,WhoDo-121,AuthorshipRec++-107,RevOwnRec++-106,cHRev++-105,LearnRec++-104,RetentionRec++-103,TurnoverRec++-109,WhoDo++-101,FarAwareRec-113,Hoarded2Rec-115,Hoarded3Rec-116,Hoarded4Rec-117
10,0,0,0,0,0,0,0,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,27.27272727,0,9.090909091,0,0
11,0,0,0,-16.66666667,0,0,0,33.33333333,33.33333333,33.33333333,16.66666667,33.33333333,33.33333333,33.33333333,6.666666667,16.66666667,13.33333333,6.666666667
12,8,4,0,-32,4,4,4,36,40,32,4,36,36,36,12,28,24,24
13,0,0,0,0,0,0,0,50,50,50,25,50,50,50,16.66666667,33.33333333,8.333333333,8.333333333
14,3.428571429,4.571428571,-0.571428571,-21.71428571,6.285714286,4,1.714285714,29.14285714,29.14285714,22.28571429,4,31.42857143,29.71428571,26.85714286,14.28571429,17.71428571,13.71428571,12
15,0.714285714,2.5,-1.785714286,-20.35714286,3.214285714,1.785714286,-1.071428571,22.14285714,23.92857143,17.85714286,2.142857143,25,23.57142857,18.92857143,6.071428571,14.28571429,10.71428571,9.285714286
16,1.838235294,1.838235294,0,-19.85294118,4.044117647,2.941176471,-0.735294118,25,24.26470588,20.58823529,3.308823529,26.47058824,24.63235294,22.79411765,7.352941176,11.76470588,6.985294118,5.147058824
17,2.236421725,2.555910543,2.555910543,-18.84984026,4.153354633,1.277955272,-1.597444089,22.04472843,21.4057508,18.84984026,0.958466454,23.32268371,21.72523962,15.65495208,5.111821086,12.4600639,7.348242812,6.709265176
18,1.672240803,4.682274247,3.010033445,-20.73578595,7.692307692,4.013377926,-1.337792642,22.74247492,26.08695652,24.41471572,2.341137124,30.43478261,27.090301,18.06020067,8.361204013,18.39464883,13.37792642,12.37458194
19,4.386951631,4.836895388,2.249718785,-16.19797525,6.861642295,5.961754781,-7.311586052,22.94713161,24.071991,21.82227222,4.724409449,28.00899888,27.2215973,10.46119235,10.34870641,16.19797525,12.26096738,11.13610799
20,0.542635659,2.015503876,-1.937984496,-9.457364341,4.418604651,5.03875969,-5.11627907,11.08527132,13.64341085,10.3875969,2.868217054,16.43410853,16.89922481,6.124031008,6.821705426,10,8.449612403,7.596899225
21,1.456815817,4.682622268,-0.416233091,-7.700312175,4.890738814,5.723204995,-5.619146722,12.90322581,16.44120708,11.23829344,4.786680541,17.37773153,17.58584807,5.93132154,7.49219563,9.8855359,8.116545265,6.971904266
22,1.128668172,1.58013544,-3.16027088,-8.013544018,4.514672686,4.966139955,-6.320541761,15.68848758,16.02708804,10.83521445,5.869074492,19.52595937,19.18735892,6.772009029,6.320541761,9.706546275,7.336343115,6.433408578
23,-0.121359223,3.033980583,-0.849514563,-9.587378641,5.218446602,6.067961165,-9.587378641,12.62135922,17.23300971,11.04368932,5.097087379,20.75242718,20.38834951,4.004854369,7.766990291,12.86407767,9.708737864,8.980582524
