PeriodId,AuthorshipRec-127,RevOwnRec-124,cHRev-120,LearnRec-123,RetentionRec-122,TurnoverRec-112,WhoDo-121,AuthorshipRec++-107,RevOwnRec++-106,cHRev++-105,LearnRec++-104,RetentionRec++-103,TurnoverRec++-109,WhoDo++-101,FarAwareRec-113,Hoarded2Rec-115,Hoarded3Rec-116,Hoarded4Rec-117
10,-1.528782266,-2.351972717,-2.351972717,-22.81413536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.798023386,-1.293427723,4.410001211,-19.82783906,0.190827922,-3.316774949,1.969730456,5.77785801,4.924249308,6.819846829,2.930146884,5.77785801,4.080422112,4.64644073,-2.763706496,2.961688734,1.970084148,0.359304137
12,2.045634999,2.441046681,-1.265634607,-26.6037203,0.841206164,0.295392493,-0.26497621,9.286413158,7.657765809,8.005570409,2.918586993,7.353323072,7.612584566,7.444292017,1.282405549,3.032648055,3.032648055,3.032648055
13,14.568815,1.74775844,6.179574484,-32.08385136,13.95709954,13.95709954,14.568815,14.568815,8.432934473,8.539048378,2.640363643,15.53008214,15.53008214,14.568815,13.95709954,13.28296414,11.70998155,11.70998155
14,5.049593879,1.636162341,2.447096859,-14.24838545,3.16055242,-0.436509171,1.478867685,6.969293577,5.751522117,6.470823388,1.337280501,6.334412857,5.386434603,6.082926313,1.478120424,1.630593641,0.501335412,-0.139308085
15,2.170387598,0.884069145,-0.033752836,-12.52612695,2.019865648,-3.147005334,-0.028577188,3.850550784,3.463975882,3.020919341,0.293059455,3.698158582,2.162996146,3.49039631,-2.191007422,-0.032958907,-1.354049279,-1.591702566
16,0.71992992,-0.928239461,-0.40196714,-14.58758303,1.111290494,-1.939801947,-0.806017228,2.669260563,1.875053608,2.372981908,0.11806727,2.562463172,1.649018985,1.975604896,-1.409222351,-0.321885362,-1.086212311,-1.131221295
17,0.47420498,0.378327219,1.85689262,-13.09650221,2.092561345,-0.318073654,-2.430194719,2.255789686,2.496518993,3.059259049,0.174826095,3.065034207,3.021595886,1.816949438,0.380213647,1.011628271,0.690447732,0.082922445
18,2.588366189,3.722525369,3.129534572,-13.02254909,4.447885352,1.696729882,0.176023444,5.125145089,5.33755093,5.210995554,1.430909763,5.90071651,4.950886271,3.963826498,2.61054944,3.616851146,3.323041546,3.331028508
19,1.9368655,1.664768691,1.548906305,-10.63187588,3.766141603,1.918461232,-0.858396937,3.810653603,3.720270375,3.570609421,0.596521778,5.110895838,5.011988583,2.210163405,3.083036542,3.539186772,2.731383842,2.830676886
20,0.876771474,2.198457478,0.597167055,-6.078894578,3.352408665,2.080064742,-0.525458392,2.566991531,3.466415048,2.721054056,0.246640369,4.24957064,3.351896918,2.072139974,2.377217604,2.945526237,2.586022624,2.538509555
21,0.887222629,1.498906834,0.966479849,-5.39813356,2.532417026,1.43225476,-0.619496739,2.443176868,2.877998628,2.732155458,0.68216538,3.568279158,2.769348568,1.689324465,1.568458309,2.252197667,2.000434836,1.950316258
22,0.545211415,0.742695517,-0.222116537,-6.259934584,1.746740408,0.153542781,-1.336764122,1.965906966,2.052049532,1.539359192,0.245874612,2.84003332,2.852928793,0.966111427,1.170161822,1.899157757,1.465093222,1.296169507
23,0.475020185,1.017405259,-0.371868639,-6.350389886,1.387571164,-0.529467877,-1.29349192,2.518215586,2.022484024,1.303803486,0.764156031,2.326678363,1.949749534,1.279671567,-0.0138089,0.918286002,0.504623021,0.201743234
24,0.615972695,1.446353609,0.103738816,-8.070784991,1.903833542,-0.708830521,-2.143025568,2.807529465,2.981982258,2.833717185,0.290066554,3.384673044,2.804692987,1.814634048,0.33727964,1.417949222,0.966211498,0.75025764
25,-2.912350363,-2.522291902,-3.224780499,-8.552874897,-2.180083757,-3.361988883,-3.86293587,2.207052936,1.879334567,1.816190371,0.617926269,2.303186409,2.12105147,1.530594759,-3.474694106,1.127422521,0.828871282,0.424243872
26,1.04234847,0.97025765,0.206471334,-8.210336022,1.489966054,-2.397176739,-2.488836542,2.600094636,2.179586047,1.797700236,0.416046284,2.254146054,1.376283827,1.591297238,-1.239854305,-0.105850739,-0.562313011,-1.012721217
27,0.118335875,0.356168929,-0.261734674,-8.949044313,0.096820851,-1.732200034,-3.074030087,2.375014618,1.948903809,2.277017767,0.305977118,1.875404217,1.925913385,1.144553898,-1.214720442,0.586278047,0.071763269,-0.178685528
28,0.599967963,1.38392853,0.299686302,-8.692567345,1.750009483,-1.436680284,-1.715733276,2.949489626,3.186616477,2.974706329,0.891274239,3.562400267,2.802974227,2.578892112,-1.276256499,0.869020069,-0.058292454,-0.469798599
29,1.645572669,1.983317503,0.204818858,-7.638342068,1.86233458,-0.794031118,-1.547411097,3.305157422,3.380967776,2.715511552,1.482769005,3.424087759,2.817261674,2.569746736,-0.284475893,0.712462104,-0.183162322,-0.241347436
30,0.122117972,1.657045086,0.055916866,-8.792448582,1.650015195,-1.224086329,-3.350431625,2.292457014,3.104498178,2.459091493,0.525895483,3.193451795,2.495005711,1.438730012,-1.180700838,1.267268139,-0.141805302,-0.201815471
31,0.874239712,2.546492329,0.790276073,-9.549057013,2.832840078,-2.095357891,-2.651508091,3.303726214,4.187590022,3.642080264,1.268758463,4.467106085,3.376367965,2.320748203,-0.914624936,1.282577629,-0.19604692,-0.207148999
32,0.391578623,2.404377783,0.607330753,-9.12175098,2.490659358,-0.947952496,-2.782829523,3.115540142,3.956203825,3.160733379,0.582475024,4.265550517,3.430439481,1.662743105,0.050176422,2.166312619,1.211122147,0.510625016
33,0.826262618,1.464593698,-0.324463656,-11.22565573,1.955611333,-1.612834367,-4.244490705,3.318813522,3.983459816,3.372759313,0.771099395,4.11035467,2.803195474,1.458378268,-1.457599389,0.978679585,0.122518084,-0.504719817
34,2.477897092,3.972842229,1.805421244,-10.19227835,4.364646634,-0.469396384,-2.484811847,4.640701533,5.334154277,4.979815503,0.942844149,5.302019958,4.062549255,2.434688912,0.46454511,2.494580116,1.334774933,0.985615121
35,1.867887218,3.119435628,0.902655156,-8.077841776,3.605013941,-0.78356294,-1.993217925,4.186998273,4.795933814,3.996931409,1.194994076,5.180161385,3.264107552,2.246476376,-0.32328789,2.050930176,1.231768726,0.80598186
Median,0.875505593,1.481750266,0.253078818,-9.335403997,1.929722437,-0.746196731,-1.442087609,3.032514884,3.422471829,2.997812835,0.650045825,3.63321887,2.835095234,2.023872435,-0.00690445,1.350263425,0.759659507,0.280523685
Average,1.587580593,1.236192467,0.678987579,-11.94626551,2.401085963,-0.219930211,-0.858046117,3.881178685,3.653769984,3.515103126,0.91033557,4.293848001,3.600376004,2.884544066,0.423665561,1.983981294,1.257701705,0.966598255
