PeriodId,AuthorshipRec-127,RevOwnRec-124,cHRev-120,LearnRec-123,RetentionRec-122,TurnoverRec-112,WhoDo-121,AuthorshipRec++-107,RevOwnRec++-106,cHRev++-105,LearnRec++-104,RetentionRec++-103,TurnoverRec++-109,WhoDo++-101,FarAwareRec-113,Hoarded2Rec-115,Hoarded3Rec-116,Hoarded4Rec-117
10,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,40,-8,0,4,-20,-16,0,-52,-56,-56,-52,-56,-56,-52,-20,-56,-56,-48
12,37.5,-8.333333333,-4.166666667,75,-25,-25,29.16666667,-58.33333333,-58.33333333,-58.33333333,-50,-58.33333333,-58.33333333,-58.33333333,-33.33333333,-58.33333333,-58.33333333,-54.16666667
13,-37.5,-18.05555556,-11.11111111,40.27777778,-52.77777778,-50,-34.72222222,-62.5,-36.11111111,-43.05555556,-26.38888889,-62.5,-61.11111111,-56.94444444,-54.16666667,-56.94444444,-55.55555556,-55.55555556
14,-13.27433628,-0.884955752,-1.769911504,20.3539823,-26.54867257,-43.36283186,-23.00884956,-28.31858407,-21.23893805,-19.46902655,-25.66371681,-38.9380531,-54.86725664,-51.32743363,-47.78761062,-50.44247788,-49.55752212,-49.55752212
15,12.94117647,105.8823529,20,107.0588235,-24.70588235,-43.52941176,-20,-45.88235294,-14.11764706,-43.52941176,-32.94117647,-51.76470588,-63.52941176,-55.29411765,-54.11764706,-50.58823529,-42.35294118,-42.35294118
16,-2.419354839,121.7741935,16.12903226,137.9032258,-21.77419355,-36.29032258,-9.677419355,-52.41935484,-12.90322581,-47.58064516,-20.16129032,-57.25806452,-61.29032258,-53.22580645,-46.77419355,-45.16129032,-41.12903226,-40.32258065
17,-18.95424837,142.4836601,-1.307189542,145.0980392,-20.91503268,-30.71895425,-6.535947712,-66.66666667,-15.68627451,-62.74509804,-30.06535948,-71.24183007,-74.50980392,-65.35947712,-45.75163399,-52.2875817,-47.05882353,-46.40522876
18,-22.4852071,207.1005917,-13.60946746,136.6863905,-25.44378698,-26.62721893,-10.65088757,-79.8816568,-11.83431953,-78.69822485,-39.05325444,-82.84023669,-84.61538462,-77.5147929,-44.37869822,-58.57988166,-52.07100592,-49.70414201
19,-10.25641026,-21.53846154,-10.76923077,190.7692308,-17.43589744,-14.35897436,-20,-88.20512821,-90.76923077,-89.23076923,-55.38461538,-90.76923077,-89.74358974,-88.71794872,-36.92307692,-60.51282051,-47.17948718,-44.61538462
20,-5.191873589,153.0474041,-1.354401806,111.5124153,-3.837471783,-9.480812641,16.4785553,-84.65011287,-25.05643341,-82.39277652,-37.69751693,-88.48758465,-87.81038375,-65.01128668,-35.66591422,-68.3972912,-56.20767494,-49.88713318
21,82.20338983,109.4915254,-2.881355932,87.11864407,-7.118644068,-8.813559322,53.05084746,-37.96610169,-21.01694915,-68.81355932,-37.11864407,-80.16949153,-79.66101695,-42.88135593,-24.91525424,-62.03389831,-49.49152542,-42.03389831
22,86.82432432,105.7432432,2.364864865,112.5,-3.040540541,-9.966216216,55.57432432,-41.89189189,-25.67567568,-75.16891892,-34.45945946,-85.64189189,-83.27702703,-42.22972973,-25.84459459,-60.30405405,-45.94594595,-39.52702703
23,-2.862985685,120.2453988,7.157464213,109.406953,1.63599182,-8.793456033,4.08997955,-87.11656442,-40.28629857,-79.55010225,-41.51329243,-89.57055215,-89.16155419,-71.57464213,-30.67484663,-64.82617587,-50.71574642,-44.98977505
24,55.72519084,98.47328244,47.83715013,81.93384224,-10.05089059,-16.92111959,41.22137405,-39.94910941,-19.59287532,-43.12977099,-29.6437659,-67.43002545,-68.956743,-40.3307888,-24.17302799,-54.07124682,-45.67430025,-40.71246819
25,-18.12191104,119.1103789,60.13179572,116.8039539,-8.23723229,-16.80395387,0,-77.92421746,-27.01812191,-52.55354201,-35.2553542,-70.84019769,-73.47611203,-68.03953871,-24.38220758,-54.03624382,-43.65733114,-38.55024712
26,58.38837517,96.4332893,48.21664465,105.4161162,-7.661822985,-18.09775429,61.55878468,-42.00792602,-27.47688243,-48.08454425,-31.30779392,-71.07001321,-73.57992074,-36.98811096,-26.55217966,-53.89696169,-43.59313078,-37.78071334
27,55.63829787,81.27659574,43.19148936,99.78723404,-3.29787234,-15.85106383,65.95744681,-42.23404255,-32.0212766,-45.85106383,-27.55319149,-69.68085106,-72.44680851,-32.44680851,-21.91489362,-52.55319149,-42.76595745,-37.44680851
29,32.38993711,38.44339623,8.805031447,60.92767296,-15.48742138,-26.25786164,46.85534591,-40.72327044,-34.19811321,-48.82075472,-30.2672956,-66.66666667,-70.12578616,-33.09748428,-32.70440252,-53.93081761,-46.5408805,-41.43081761
30,31.59463487,38.07749627,10.9538003,71.31147541,-12.81669151,-25.11177347,59.68703428,-38.07749627,-33.75558867,-47.76453055,-24.51564829,-64.60506706,-68.18181818,-26.30402385,-31.07302534,-51.11773472,-43.74068554,-38.74813711
31,31.91659984,38.49238172,8.4202085,76.58380112,-12.34963913,-24.45870088,51.24298316,-42.7425822,-37.6904571,-51.80433039,-27.5862069,-66.72012831,-70.7297514,-31.43544507,-31.9967923,-53.72894948,-45.87008821,-41.13873296
32,35.39215686,46.17647059,20.09803922,76.17647059,-11.76470588,-21.37254902,50.09803922,-53.33333333,-46.56862745,-59.21568627,-35.68627451,-75.09803922,-75.39215686,-40.68627451,-28.43137255,-53.92156863,-42.84313725,-38.52941176
33,27.34952482,28.2998944,16.89545935,70.43294615,-14.04435058,-21.96409715,56.91657867,-43.71700106,-42.44984161,-47.72967265,-30.51742344,-68.10982049,-72.2280887,-30.93980993,-28.51108765,-53.32629356,-44.13938754,-38.54276663
34,20.18181818,-10.90909091,-6.545454545,88.72727273,-22.90909091,-32.72727273,28,-65.81818182,-74,-73.63636364,-39.45454545,-86,-87.27272727,-53.27272727,-42.72727273,-72.90909091,-61.09090909,-57.09090909
35,22.61484099,11.13074205,14.13427562,97.17314488,-20.84805654,-30.56537102,45.40636042,-62.54416961,-56.71378092,-62.36749117,-36.39575972,-78.79858657,-82.50883392,-51.06007067,-40.10600707,-67.13780919,-56.00706714,-50.70671378
Median,22.61484099,46.17647059,7.157464213,88.72727273,-14.04435058,-21.96409715,28,-52,-32.0212766,-52.55354201,-32.94117647,-69.68085106,-72.44680851,-51.32743363,-31.9967923,-54.03624382,-46.5408805,-42.03389831
Average,19.9837576,63.75843602,10.83281865,90.5183765,-15.45718728,-22.92293102,21.62835976,-53.39612312,-34.42060009,-55.42100688,-33.22521896,-67.94137481,-70.3523577,-49.00061805,-33.31622956,-54.6016557,-46.70085875,-42.71182325
