CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,1.0,1.0,1
3.0,17.0,30.0,2.0,20
2.0,2.0,1.0,1.0,2
2.0,1.0,11.0,1.0,36
18.0,1.0,21.0,2.0,2
1.0,5.0,10.0,1.0,9
22.0,9.0,9.0,6.0,9
13.0,5.0,28.0,7.0,1
4.0,5.0,4.0,2.0,5
1.0,6.0,19.0,1.0,1
6.0,1.0,6.0,1.0,29
1.0,8.0,36.0,3.0,144
1.0,10.0,41.0,3.0,2
15.0,1.0,24.0,1.0,185
1.0,1.0,15.0,1.0,2
23.0,99.0,1.0,6.0,253
28.0,50.0,1.0,5.0,1
1.0,3.0,21.0,2.0,1
1.0,1.0,40.0,3.0,1
5.0,1.0,1.0,1.0,22
1.0,25.0,22.0,4.0,17
1.0,25.0,2.0,1.0,3
2.0,5.0,20.0,1.0,1
1.0,1.0,2.0,3.0,25
32.0,2.0,33.0,1.0,1
12.0,5.0,13.0,1.0,19
2.0,38.0,7.0,2.0,1
6.0,11.0,1.0,2.0,41
6.0,1.0,14.0,4.0,4
2.0,2.0,25.0,3.0,2
3.0,1.0,3.0,3.0,2
4.0,4.0,1.0,6.0,1
2.0,9.0,10.0,2.0,1
1.0,15.0,18.0,2.0,11
8.0,1.0,1.0,1.0,2
16.0,1.0,1.0,17.0,1
23.0,10.0,3.0,1.0,1
11.0,1.0,18.0,4.0,9
12.0,4.0,4.0,2.0,1
3.0,6.0,1.0,2.0,1
4.0,2.0,3.0,3.0,1
1.0,1.0,56.0,3.0,17
4.0,2.0,28.0,1.0,88
1.0,3.0,21.0,3.0,1
8.0,32.0,1.0,25.0,2
2.0,5.0,13.0,1.0,16
1.0,4.0,1.0,1.0,1
1.0,79.0,6.0,2.0,3
1.0,44.0,32.0,2.0,1
4.0,1.0,4.0,2.0,1
22.0,4.0,3.0,1.0,2
5.0,3.0,32.0,1.0,98
78.0,22.0,1.0,2.0,86
1.0,8.0,5.0,2.0,1
11.0,11.0,28.0,10.0,2
5.0,1.0,55.0,70.0,128
31.0,7.0,45.0,2.0,224
5.0,1.0,10.0,1.0,2
3.0,4.0,4.0,1.0,1
1.0,8.0,42.0,6.0,8
1.0,1.0,89.0,3.0,56
4.0,7.0,1.0,18.0,26
1.0,13.0,11.0,5.0,8
1.0,14.0,27.0,1.0,10
7.0,1.0,2.0,1.0,50
2.0,1.0,2.0,1.0,3
147.0,2.0,4.0,1.0,18
8.0,1.0,65.0,6.0,4
1.0,3.0,1.0,2.0,66
1.0,1.0,43.0,1.0,6
2.0,14.0,14.0,79.0,2
2.0,4.0,10.0,1.0,1
96.0,2.0,22.0,1.0,1
1.0,1.0,26.0,2.0,1
1.0,1.0,9.0,5.0,1
2.0,3.0,27.0,1.0,5
24.0,2.0,1.0,6.0,1
3.0,3.0,1.0,1.0,4
3.0,3.0,90.0,7.0,5
4.0,4.0,8.0,6.0,1
1.0,2.0,2.0,3.0,5
2.0,1.0,39.0,1.0,1
1.0,2.0,31.0,1.0,8
2.0,1.0,7.0,1.0,2
3.0,4.0,3.0,1.0,2
15.0,2.0,2.0,1.0,3
1.0,12.0,17.0,15.0,4
27.0,7.0,1.0,1.0,1
23.0,1.0,13.0,96.0,73
1.0,68.0,40.0,2.0,1
3.0,25.0,21.0,4.0,7
4.0,3.0,8.0,3.0,7
2.0,1.0,21.0,1.0,6
1.0,2.0,1.0,13.0,1
18.0,4.0,34.0,1.0,1
16.0,1.0,1.0,2.0,8
1.0,1.0,12.0,13.0,4
6.0,3.0,49.0,10.0,45
6.0,8.0,29.0,7.0,3
5.0,13.0,1.0,3.0,1
2.0,3.0,3.0,3.0,244
15.0,4.0,5.0,37.0,1
12.0,2.0,28.0,1.0,106
2.0,2.0,45.0,106.0,1
1.0,5.0,2.0,1.0,3
63.0,1.0,12.0,1.0,1
9.0,1.0,4.0,15.0,3
1.0,20.0,1.0,2.0,152
1.0,1.0,1.0,1.0,1
17.0,1.0,32.0,1.0,117
6.0,32.0,8.0,2.0,6
4.0,8.0,10.0,2.0,1
1.0,1.0,4.0,3.0,9
1.0,1.0,2.0,2.0,47
1.0,1.0,2.0,19.0,92
3.0,1.0,2.0,1.0,53
9.0,1.0,2.0,3.0,18
3.0,2.0,13.0,2.0,1
1.0,2.0,4.0,2.0,8
233.0,1.0,5.0,1.0,67
11.0,4.0,1.0,10.0,1
1.0,1.0,1.0,2.0,1
1.0,20.0,43.0,1.0,36
4.0,2.0,2.0,1.0,3
1.0,3.0,84.0,2.0,2
11.0,7.0,1.0,6.0,1
7.0,2.0,1.0,8.0,1
25.0,2.0,34.0,91.0,8
1.0,6.0,14.0,1.0,70
1.0,14.0,2.0,1.0,2
2.0,14.0,5.0,2.0,12
22.0,8.0,4.0,3.0,2
1.0,1.0,1.0,7.0,1
1.0,1.0,12.0,1.0,6
1.0,5.0,40.0,3.0,1
2.0,1.0,23.0,1.0,2
26.0,3.0,1.0,2.0,1
1.0,11.0,20.0,5.0,8
3.0,1.0,18.0,2.0,17
2.0,5.0,21.0,7.0,6
47.0,1.0,5.0,1.0,1
1.0,99.0,16.0,1.0,7
30.0,51.0,47.0,7.0,1
3.0,1.0,35.0,1.0,1
3.0,1.0,7.0,1.0,1
34.0,1.0,5.0,9.0,31
12.0,1.0,1.0,8.0,2
20.0,1.0,15.0,1.0,14
1.0,11.0,55.0,81.0,5
2.0,2.0,1.0,1.0,6
5.0,16.0,3.0,1.0,2
3.0,12.0,10.0,2.0,1
4.0,6.0,12.0,1.0,84
55.0,1.0,5.0,1.0,28
9.0,3.0,49.0,1.0,2
1.0,16.0,1.0,1.0,23
2.0,1.0,2.0,18.0,1
7.0,3.0,2.0,1.0,3
3.0,40.0,5.0,3.0,1
17.0,1.0,2.0,3.0,26
6.0,10.0,6.0,1.0,1
22.0,15.0,1.0,1.0,148
2.0,4.0,2.0,1.0,1
1.0,4.0,8.0,12.0,4
8.0,1.0,8.0,1.0,6
5.0,1.0,37.0,3.0,48
11.0,2.0,1.0,1.0,2
1.0,1.0,1.0,4.0,1
24.0,1.0,2.0,1.0,1
10.0,1.0,2.0,1.0,167
1.0,2.0,1.0,1.0,65
1.0,7.0,49.0,5.0,10
84.0,3.0,1.0,16.0,3
1.0,2.0,111.0,1.0,33
6.0,8.0,33.0,2.0,91
8.0,17.0,22.0,1.0,13
1.0,4.0,1.0,9.0,2
5.0,4.0,2.0,13.0,2
1.0,4.0,12.0,2.0,63
1.0,12.0,2.0,111.0,9
473.0,2.0,15.0,14.0,58
11.0,1.0,72.0,1.0,2
2.0,3.0,54.0,2.0,5
1.0,9.0,24.0,1.0,1
3.0,5.0,15.0,1.0,1
27.0,53.0,12.0,1.0,1
1.0,51.0,1.0,2.0,2
1.0,79.0,9.0,1.0,2
1.0,11.0,9.0,5.0,262
18.0,1.0,63.0,4.0,1
35.0,1.0,43.0,1.0,61
26.0,16.0,1.0,6.0,25
1.0,1.0,1.0,4.0,2
1.0,2.0,16.0,1.0,4
6.0,3.0,8.0,8.0,1
2.0,8.0,15.0,1.0,24
2.0,24.0,1.0,1.0,146
2.0,1.0,22.0,1.0,1
1.0,4.0,42.0,3.0,1
1.0,1.0,2.0,3.0,237
1.0,7.0,2.0,1.0,5
1.0,2.0,3.0,2.0,20
2.0,1.0,13.0,13.0,100
62.0,1.0,3.0,1.0,175
5.0,163.0,3.0,90.0,67
84.0,50.0,7.0,1.0,6
2.0,1.0,43.0,1.0,2
3.0,19.0,5.0,1.0,19
1.0,2.0,1.0,1.0,72
20.0,2.0,3.0,1.0,6
62.0,3.0,15.0,1.0,34
17.0,1.0,1.0,3.0,1
1.0,1.0,1.0,1.0,2
8.0,3.0,9.0,1.0,1
2.0,1.0,1.0,1.0,1
5.0,43.0,3.0,1.0,2
57.0,21.0,20.0,1.0,4
1.0,2.0,31.0,25.0,2
1.0,23.0,1.0,2.0,12
9.0,1.0,1.0,2.0,1
5.0,33.0,1.0,2.0,9
29.0,1.0,1.0,1.0,2
11.0,3.0,1.0,2.0,25
17.0,11.0,1.0,3.0,110
1.0,1.0,1.0,6.0,2
10.0,1.0,1.0,1.0,7
3.0,10.0,1.0,2.0,2
6.0,46.0,37.0,1.0,1
1.0,1.0,1.0,7.0,2
1.0,9.0,109.0,1.0,8
3.0,4.0,4.0,11.0,22
31.0,21.0,41.0,1.0,4
5.0,2.0,1.0,3.0,2
1.0,2.0,6.0,1.0,23
2.0,37.0,11.0,10.0,4
1.0,2.0,2.0,4.0,1
4.0,51.0,3.0,12.0,13
2.0,28.0,46.0,2.0,1
50.0,3.0,39.0,1.0,1
1.0,7.0,5.0,4.0,1
1.0,1.0,6.0,1.0,13
5.0,1.0,23.0,1.0,9
31.0,1.0,1.0,1.0,17
1.0,1.0,7.0,1.0,15
2.0,1.0,12.0,2.0,1
1.0,8.0,48.0,30.0,2
2.0,2.0,59.0,10.0,1
11.0,1.0,9.0,2.0,38
6.0,1.0,9.0,2.0,1
5.0,1.0,62.0,1.0,3
1.0,2.0,1.0,42.0,29
429.0,11.0,15.0,20.0,1
1.0,3.0,50.0,4.0,1
6.0,15.0,2.0,84.0,81
1.0,62.0,3.0,56.0,5
1.0,9.0,3.0,2.0,43
1.0,1.0,19.0,2.0,6
1.0,1.0,3.0,1.0,13
4.0,8.0,1.0,3.0,1
37.0,2.0,4.0,1.0,1
1.0,6.0,47.0,2.0,5
1.0,82.0,2.0,3.0,164
19.0,38.0,15.0,1.0,62
