,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,3.0,2.0,1.0,35.0,1.0
1,8.0,6.0,126.0,3.0,10.0
2,2.0,23.0,7.0,1.0,8.0
3,6.0,1.0,4.0,1.0,2.0
4,1.0,1.0,1.0,2.0,3.0
5,17.0,1.0,65.0,97.0,2.0
6,3.0,8.0,5.0,38.0,2.0
7,74.0,14.0,29.0,1.0,1.0
8,2.0,10.0,9.0,2.0,1.0
9,3.0,49.0,16.0,1.0,1.0
10,3.0,4.0,1.0,1.0,1.0
11,1.0,23.0,2.0,4.0,4.0
12,1.0,4.0,4.0,1.0,3.0
13,4.0,1.0,5.0,6.0,1.0
14,1.0,10.0,1.0,12.0,1.0
15,6.0,1.0,103.0,1.0,1.0
16,2.0,21.0,1.0,1.0,5.0
17,1.0,1.0,4.0,1.0,1.0
18,2.0,47.0,2.0,2.0,76.0
19,1.0,1.0,2.0,1.0,5.0
20,5.0,6.0,112.0,1.0,1.0
21,6.0,7.0,11.0,2.0,15.0
22,59.0,1.0,24.0,285.0,1.0
23,6.0,1.0,1.0,9.0,1.0
24,1.0,20.0,1.0,8.0,4.0
25,2.0,5.0,24.0,1.0,8.0
26,3.0,3.0,3.0,1.0,3.0
27,1.0,30.0,3.0,1.0,1.0
28,3.0,3.0,2.0,1.0,31.0
29,1.0,20.0,102.0,333.0,2.0
30,1.0,4.0,1.0,24.0,1.0
31,5.0,35.0,60.0,50.0,2.0
32,2.0,1.0,3.0,1.0,1.0
33,1.0,2.0,1.0,1.0,1.0
34,19.0,1.0,10.0,6.0,21.0
35,8.0,4.0,2.0,1.0,3.0
36,3.0,10.0,31.0,2.0,1.0
37,1.0,1.0,8.0,1.0,2.0
38,1.0,5.0,4.0,492.0,1.0
39,1.0,4.0,1.0,2.0,4.0
40,1.0,4.0,5.0,2.0,38.0
41,5.0,2.0,66.0,3.0,2.0
42,9.0,4.0,13.0,255.0,1.0
43,1.0,4.0,16.0,5.0,6.0
44,1.0,1.0,1.0,1.0,3.0
45,5.0,2.0,1.0,34.0,10.0
46,1.0,9.0,11.0,5.0,6.0
47,1.0,4.0,9.0,1.0,2.0
48,2.0,13.0,1.0,1.0,11.0
49,2.0,16.0,2.0,2.0,12.0
50,25.0,4.0,117.0,267.0,1.0
51,5.0,1.0,108.0,85.0,1.0
52,9.0,72.0,13.0,35.0,10.0
53,4.0,1.0,13.0,2.0,18.0
54,1.0,19.0,114.0,5.0,49.0
55,2.0,115.0,20.0,14.0,1.0
56,20.0,4.0,3.0,2.0,1.0
57,1.0,53.0,435.0,1.0,2.0
58,2.0,43.0,1.0,15.0,1.0
59,2.0,74.0,30.0,2.0,2.0
60,1.0,4.0,1.0,1.0,1.0
61,1.0,1.0,7.0,13.0,22.0
62,1.0,1.0,3.0,1.0,6.0
63,1.0,3.0,1.0,18.0,20.0
64,2.0,43.0,30.0,3.0,1.0
65,1.0,39.0,2.0,1.0,1.0
66,1.0,83.0,1.0,7.0,1.0
67,1.0,6.0,6.0,3.0,7.0
68,11.0,10.0,3.0,11.0,86.0
69,19.0,43.0,41.0,3.0,2.0
70,2.0,59.0,17.0,6.0,2.0
71,1.0,1.0,2.0,1.0,3.0
72,3.0,62.0,116.0,1.0,9.0
73,3.0,8.0,10.0,2.0,1.0
74,2.0,8.0,56.0,4.0,7.0
75,9.0,3.0,17.0,8.0,2.0
76,26.0,3.0,32.0,1.0,8.0
77,2.0,1.0,1.0,1.0,3.0
78,1.0,1.0,1.0,3.0,12.0
79,2.0,1.0,48.0,1.0,8.0
80,35.0,1.0,9.0,1.0,2.0
