,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,5.0,2.0,1.0,2.0,1.0
1,3.0,6.0,4.0,33.0,1.0
2,2.0,14.0,137.0,3.0,1.0
3,14.0,15.0,65.0,1.0,8.0
4,61.0,56.0,29.0,1.0,10.0
5,2.0,1.0,2.0,1.0,1.0
6,1.0,6.0,7.0,97.0,3.0
7,1.0,34.0,5.0,36.0,5.0
8,8.0,1.0,124.0,1.0,3.0
9,8.0,19.0,111.0,4.0,2.0
10,1.0,10.0,8.0,1.0,5.0
11,9.0,8.0,3.0,14.0,76.0
12,1.0,3.0,19.0,1.0,1.0
13,2.0,1.0,1.0,7.0,1.0
14,74.0,24.0,1.0,4.0,1.0
15,1.0,1.0,2.0,1.0,8.0
16,13.0,20.0,1.0,1.0,1.0
17,4.0,3.0,6.0,2.0,3.0
18,20.0,5.0,2.0,1.0,1.0
19,1.0,3.0,1.0,1.0,1.0
20,2.0,2.0,1.0,2.0,2.0
21,2.0,4.0,64.0,1.0,2.0
22,2.0,7.0,44.0,2.0,4.0
23,24.0,12.0,24.0,255.0,5.0
24,1.0,11.0,1.0,7.0,1.0
25,3.0,6.0,5.0,92.0,1.0
26,8.0,1.0,1.0,23.0,1.0
27,3.0,1.0,1.0,11.0,1.0
28,1.0,2.0,19.0,1.0,15.0
29,1.0,7.0,12.0,322.0,5.0
30,1.0,1.0,4.0,2.0,11.0
31,1.0,4.0,65.0,1.0,1.0
32,1.0,39.0,3.0,1.0,1.0
33,4.0,1.0,11.0,2.0,33.0
34,1.0,1.0,1.0,481.0,42.0
35,5.0,4.0,19.0,2.0,3.0
36,1.0,6.0,11.0,4.0,22.0
37,1.0,4.0,1.0,54.0,2.0
38,2.0,1.0,1.0,152.0,4.0
39,8.0,1.0,9.0,199.0,1.0
40,1.0,6.0,6.0,1.0,19.0
41,9.0,2.0,108.0,1.0,54.0
42,5.0,13.0,1.0,2.0,1.0
43,6.0,19.0,114.0,7.0,1.0
44,4.0,2.0,11.0,1.0,1.0
45,2.0,21.0,1.0,3.0,3.0
46,2.0,32.0,8.0,35.0,2.0
47,1.0,6.0,30.0,2.0,20.0
48,1.0,75.0,2.0,4.0,10.0
49,2.0,50.0,17.0,1.0,1.0
50,1.0,1.0,3.0,19.0,2.0
51,2.0,11.0,13.0,5.0,1.0
52,4.0,6.0,1.0,1.0,1.0
53,2.0,64.0,3.0,2.0,2.0
54,2.0,15.0,108.0,4.0,1.0
55,1.0,1.0,1.0,6.0,6.0
56,5.0,52.0,2.0,1.0,6.0
57,20.0,80.0,5.0,1.0,1.0
58,2.0,4.0,2.0,1.0,1.0
59,1.0,1.0,22.0,5.0,1.0
60,29.0,29.0,1.0,11.0,9.0
61,1.0,68.0,1.0,29.0,1.0
62,1.0,58.0,24.0,30.0,8.0
63,8.0,1.0,435.0,3.0,4.0
64,1.0,122.0,1.0,3.0,2.0
65,1.0,51.0,60.0,10.0,23.0
66,1.0,8.0,24.0,1.0,1.0
67,1.0,37.0,43.0,4.0,4.0
68,3.0,4.0,7.0,75.0,7.0
69,7.0,4.0,9.0,1.0,9.0
70,1.0,1.0,6.0,1.0,5.0
71,1.0,12.0,1.0,13.0,2.0
72,2.0,1.0,92.0,3.0,25.0
73,3.0,22.0,19.0,1.0,7.0
74,1.0,1.0,97.0,13.0,13.0
75,36.0,12.0,47.0,1.0,1.0
76,1.0,3.0,3.0,6.0,8.0
77,3.0,1.0,121.0,1.0,2.0
78,5.0,48.0,1.0,1.0,3.0
79,2.0,45.0,34.0,1.0,2.0
80,2.0,4.0,158.0,2.0,88.0
81,1.0,2.0,9.0,1.0,8.0
82,2.0,1.0,51.0,1.0,3.0
83,1.0,7.0,3.0,4.0,1.0
84,2.0,1.0,53.0,8.0,2.0
85,1.0,1.0,73.0,1.0,1.0
86,7.0,5.0,15.0,4.0,1.0
87,13.0,13.0,59.0,1.0,3.0
88,2.0,3.0,101.0,2.0,42.0
89,1.0,1.0,18.0,2.0,22.0
90,88.0,48.0,33.0,1.0,1.0
91,14.0,3.0,1.0,5.0,24.0
92,1.0,2.0,42.0,2.0,9.0
93,1.0,7.0,35.0,7.0,223.0
94,26.0,9.0,13.0,14.0,250.0
95,4.0,26.0,39.0,4.0,1.0
96,103.0,2.0,1.0,54.0,9.0
97,17.0,2.0,2.0,1.0,69.0
