,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,6.0,1.0,1.0,1.0,1.0
1,6.0,18.0,1.0,1.0,3.0
2,9.0,16.0,3.0,34.0,12.0
3,3.0,4.0,3.0,2.0,2.0
4,1.0,6.0,10.0,1.0,11.0
5,2.0,19.0,1.0,2.0,1.0
6,71.0,49.0,4.0,1.0,1.0
7,11.0,18.0,4.0,93.0,3.0
8,1.0,7.0,26.0,1.0,5.0
9,47.0,31.0,2.0,2.0,2.0
10,20.0,1.0,66.0,7.0,2.0
11,17.0,10.0,120.0,1.0,2.0
12,2.0,3.0,5.0,2.0,1.0
13,1.0,10.0,104.0,1.0,3.0
14,1.0,2.0,10.0,3.0,1.0
15,2.0,4.0,7.0,7.0,2.0
16,20.0,9.0,11.0,4.0,1.0
17,14.0,1.0,5.0,1.0,1.0
18,2.0,1.0,2.0,1.0,1.0
19,3.0,26.0,1.0,404.0,2.0
20,4.0,4.0,3.0,1.0,77.0
21,2.0,7.0,21.0,2.0,4.0
22,6.0,1.0,95.0,9.0,7.0
23,3.0,12.0,32.0,3.0,2.0
24,2.0,1.0,3.0,183.0,1.0
25,7.0,6.0,6.0,1.0,8.0
26,9.0,5.0,3.0,2.0,2.0
27,2.0,2.0,3.0,1.0,1.0
28,1.0,1.0,3.0,38.0,2.0
29,1.0,1.0,1.0,1.0,2.0
30,3.0,5.0,1.0,2.0,2.0
31,2.0,7.0,24.0,1.0,3.0
32,2.0,9.0,1.0,1.0,6.0
33,2.0,1.0,14.0,10.0,4.0
34,1.0,4.0,55.0,4.0,1.0
35,1.0,7.0,2.0,1.0,1.0
36,2.0,3.0,9.0,1.0,16.0
37,5.0,1.0,2.0,1.0,3.0
38,1.0,2.0,14.0,241.0,2.0
39,5.0,2.0,7.0,1.0,21.0
40,9.0,5.0,12.0,2.0,2.0
41,2.0,25.0,22.0,1.0,1.0
42,1.0,2.0,5.0,1.0,1.0
43,11.0,5.0,6.0,78.0,1.0
44,2.0,1.0,5.0,1.0,7.0
45,5.0,37.0,3.0,2.0,33.0
46,1.0,19.0,4.0,1.0,1.0
47,8.0,1.0,2.0,2.0,5.0
48,8.0,1.0,4.0,1.0,3.0
49,2.0,12.0,4.0,1.0,2.0
50,1.0,6.0,6.0,1.0,1.0
51,1.0,2.0,15.0,50.0,2.0
52,5.0,43.0,7.0,1.0,3.0
53,1.0,47.0,61.0,2.0,2.0
54,1.0,66.0,1.0,1.0,5.0
55,4.0,7.0,10.0,1.0,2.0
56,2.0,2.0,31.0,21.0,4.0
57,1.0,2.0,52.0,1.0,12.0
58,12.0,21.0,9.0,2.0,40.0
59,1.0,61.0,101.0,2.0,4.0
60,12.0,1.0,1.0,2.0,1.0
61,2.0,1.0,2.0,8.0,1.0
62,1.0,2.0,3.0,12.0,4.0
63,2.0,73.0,1.0,1.0,2.0
64,3.0,1.0,1.0,26.0,11.0
65,2.0,34.0,96.0,3.0,11.0
66,1.0,53.0,16.0,24.0,5.0
67,2.0,6.0,112.0,2.0,1.0
68,1.0,12.0,124.0,1.0,2.0
69,9.0,2.0,2.0,2.0,19.0
70,17.0,8.0,3.0,1.0,1.0
71,1.0,50.0,7.0,1.0,1.0
72,4.0,33.0,2.0,2.0,2.0
73,2.0,60.0,81.0,1.0,1.0
74,24.0,102.0,1.0,2.0,2.0
75,4.0,2.0,24.0,1.0,1.0
76,1.0,4.0,4.0,6.0,46.0
77,44.0,4.0,14.0,277.0,3.0
78,2.0,4.0,2.0,1.0,2.0
79,3.0,1.0,15.0,2.0,4.0
80,4.0,1.0,2.0,2.0,1.0
81,6.0,1.0,117.0,7.0,6.0
82,1.0,13.0,4.0,1.0,2.0
83,2.0,1.0,1.0,1.0,6.0
84,1.0,3.0,2.0,4.0,9.0
85,25.0,4.0,1.0,6.0,3.0
86,22.0,1.0,10.0,1.0,4.0
87,10.0,4.0,3.0,2.0,20.0
88,6.0,1.0,3.0,1.0,2.0
89,14.0,3.0,4.0,1.0,39.0
90,9.0,3.0,1.0,1.0,9.0
91,24.0,11.0,4.0,10.0,1.0
92,1.0,2.0,31.0,1.0,1.0
93,3.0,2.0,434.0,1.0,24.0
94,1.0,1.0,1.0,1.0,7.0
95,1.0,9.0,2.0,2.0,12.0
