,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,3.0,6.0,1.0,3.0,10.0
1,8.0,2.0,4.0,1.0,3.0
2,67.0,15.0,117.0,91.0,2.0
3,4.0,9.0,1.0,2.0,3.0
4,2.0,1.0,21.0,1.0,5.0
5,1.0,47.0,65.0,30.0,1.0
6,2.0,14.0,7.0,1.0,1.0
7,3.0,8.0,5.0,1.0,21.0
8,3.0,16.0,8.0,6.0,4.0
9,1.0,1.0,1.0,36.0,10.0
10,5.0,1.0,2.0,2.0,1.0
11,1.0,14.0,14.0,1.0,2.0
12,1.0,37.0,1.0,4.0,10.0
13,46.0,1.0,3.0,9.0,14.0
14,4.0,3.0,95.0,1.0,1.0
15,2.0,19.0,2.0,1.0,1.0
16,1.0,6.0,5.0,1.0,3.0
17,1.0,1.0,3.0,7.0,18.0
18,1.0,1.0,1.0,2.0,1.0
19,39.0,6.0,101.0,434.0,1.0
20,15.0,9.0,3.0,654.0,2.0
21,3.0,29.0,1.0,441.0,2.0
22,2.0,3.0,61.0,128.0,1.0
23,1.0,18.0,1.0,50.0,1.0
24,2.0,2.0,1.0,1.0,1.0
25,2.0,10.0,19.0,1.0,3.0
26,5.0,2.0,55.0,1.0,2.0
27,2.0,1.0,21.0,446.0,2.0
28,2.0,1.0,4.0,2.0,38.0
29,1.0,4.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,8.0
31,3.0,2.0,1.0,2.0,1.0
32,9.0,2.0,27.0,5.0,7.0
33,2.0,2.0,11.0,13.0,6.0
34,4.0,4.0,6.0,451.0,1.0
35,5.0,4.0,10.0,9.0,1.0
36,1.0,4.0,4.0,1.0,1.0
37,1.0,1.0,12.0,1.0,1.0
38,8.0,5.0,11.0,4.0,1.0
39,1.0,5.0,1.0,1.0,9.0
40,4.0,24.0,101.0,6.0,2.0
41,1.0,11.0,1.0,23.0,6.0
42,1.0,5.0,1.0,1.0,1.0
43,2.0,17.0,111.0,3.0,2.0
44,5.0,1.0,1.0,1.0,7.0
45,1.0,4.0,7.0,18.0,37.0
46,31.0,66.0,12.0,1.0,1.0
47,3.0,1.0,2.0,2.0,77.0
48,1.0,1.0,28.0,2.0,8.0
49,8.0,39.0,2.0,4.0,11.0
50,19.0,9.0,13.0,11.0,1.0
51,1.0,12.0,1.0,6.0,31.0
