,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,3.0,1.0,2.0,31.0,1.0
1,8.0,10.0,65.0,1.0,8.0
2,2.0,6.0,40.0,3.0,1.0
3,1.0,14.0,107.0,1.0,77.0
4,67.0,2.0,135.0,1.0,10.0
5,16.0,6.0,1.0,36.0,1.0
6,5.0,1.0,1.0,93.0,5.0
7,2.0,46.0,5.0,4.0,10.0
8,4.0,8.0,4.0,9.0,2.0
9,49.0,6.0,75.0,6.0,1.0
10,2.0,18.0,158.0,1.0,4.0
11,2.0,1.0,1.0,2.0,1.0
12,1.0,1.0,2.0,1.0,3.0
13,3.0,7.0,1.0,2.0,14.0
14,14.0,9.0,8.0,1.0,1.0
15,3.0,17.0,29.0,1.0,8.0
16,1.0,30.0,5.0,1.0,1.0
17,1.0,31.0,1.0,2.0,5.0
18,4.0,2.0,1.0,1.0,1.0
19,1.0,3.0,7.0,1.0,1.0
20,1.0,2.0,10.0,1.0,1.0
21,1.0,3.0,5.0,1.0,2.0
22,9.0,2.0,11.0,422.0,1.0
23,1.0,10.0,12.0,7.0,1.0
24,4.0,1.0,11.0,1.0,3.0
25,1.0,22.0,3.0,1.0,2.0
26,5.0,1.0,115.0,427.0,1.0
27,1.0,1.0,3.0,23.0,3.0
28,1.0,6.0,1.0,1.0,2.0
29,1.0,2.0,1.0,78.0,1.0
30,4.0,2.0,2.0,1.0,4.0
31,2.0,4.0,7.0,2.0,5.0
32,4.0,4.0,23.0,6.0,1.0
33,1.0,1.0,3.0,421.0,38.0
34,1.0,38.0,2.0,5.0,18.0
35,2.0,4.0,3.0,9.0,1.0
36,9.0,1.0,2.0,1.0,6.0
37,18.0,10.0,2.0,50.0,1.0
38,2.0,4.0,6.0,1.0,5.0
39,3.0,17.0,21.0,2.0,2.0
40,2.0,11.0,1.0,2.0,1.0
41,9.0,2.0,3.0,428.0,3.0
42,5.0,67.0,49.0,1.0,1.0
43,1.0,1.0,1.0,1.0,31.0
44,2.0,65.0,108.0,24.0,3.0
45,1.0,18.0,61.0,5.0,2.0
46,2.0,19.0,14.0,1.0,20.0
47,1.0,26.0,1.0,4.0,1.0
48,3.0,1.0,1.0,1.0,2.0
49,2.0,94.0,21.0,2.0,1.0
50,2.0,4.0,18.0,1.0,2.0
51,2.0,46.0,1.0,428.0,5.0
52,1.0,9.0,128.0,2.0,7.0
