,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,3.0,2.0,1.0,33.0,1.0
1,8.0,5.0,140.0,95.0,9.0
2,1.0,14.0,21.0,6.0,8.0
3,5.0,9.0,1.0,2.0,1.0
4,15.0,46.0,7.0,1.0,1.0
5,2.0,1.0,1.0,1.0,4.0
6,2.0,18.0,4.0,1.0,1.0
7,3.0,10.0,3.0,6.0,3.0
8,67.0,1.0,1.0,3.0,10.0
9,1.0,17.0,21.0,2.0,2.0
10,3.0,7.0,1.0,633.0,3.0
11,4.0,1.0,2.0,9.0,6.0
12,2.0,6.0,105.0,37.0,77.0
13,1.0,14.0,1.0,1.0,1.0
14,5.0,1.0,2.0,3.0,1.0
15,1.0,10.0,7.0,1.0,1.0
16,1.0,29.0,2.0,394.0,1.0
17,46.0,3.0,5.0,380.0,5.0
18,2.0,1.0,24.0,1.0,1.0
19,1.0,2.0,1.0,25.0,1.0
20,3.0,4.0,34.0,2.0,20.0
21,9.0,5.0,5.0,1.0,2.0
22,1.0,36.0,65.0,1.0,4.0
23,4.0,2.0,3.0,1.0,1.0
24,1.0,9.0,1.0,2.0,14.0
25,1.0,4.0,12.0,1.0,2.0
26,4.0,1.0,7.0,1.0,1.0
27,8.0,1.0,3.0,16.0,1.0
28,1.0,1.0,3.0,5.0,3.0
29,1.0,1.0,1.0,4.0,1.0
30,1.0,2.0,2.0,1.0,4.0
31,1.0,4.0,6.0,1.0,1.0
32,3.0,1.0,23.0,3.0,3.0
33,1.0,4.0,97.0,26.0,1.0
34,2.0,2.0,2.0,9.0,1.0
35,2.0,19.0,65.0,46.0,2.0
36,1.0,2.0,5.0,397.0,8.0
37,3.0,4.0,118.0,1.0,1.0
38,2.0,3.0,9.0,11.0,1.0
39,5.0,17.0,141.0,1.0,1.0
40,19.0,30.0,161.0,2.0,5.0
41,4.0,4.0,3.0,1.0,28.0
42,2.0,10.0,171.0,1.0,5.0
43,9.0,26.0,54.0,5.0,2.0
44,1.0,12.0,1.0,35.0,1.0
45,1.0,1.0,11.0,1.0,2.0
46,1.0,65.0,103.0,2.0,1.0
47,2.0,42.0,1.0,8.0,2.0
48,1.0,47.0,21.0,6.0,2.0
49,1.0,78.0,1.0,11.0,1.0
50,1.0,1.0,1.0,109.0,1.0
51,2.0,108.0,10.0,3.0,19.0
52,1.0,43.0,30.0,359.0,2.0
53,1.0,6.0,2.0,7.0,1.0
54,2.0,3.0,2.0,5.0,7.0
