,CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
0,4.0,5.0,1.0,4.0,1.0
1,5.0,7.0,1.0,2.0,2.0
2,3.0,23.0,4.0,94.0,10.0
3,69.0,2.0,117.0,32.0,6.0
4,17.0,13.0,1.0,9.0,2.0
5,8.0,48.0,1.0,1.0,8.0
6,9.0,12.0,65.0,2.0,1.0
7,3.0,20.0,27.0,2.0,3.0
8,2.0,2.0,4.0,1.0,2.0
9,1.0,27.0,7.0,37.0,3.0
10,1.0,1.0,5.0,1.0,1.0
11,1.0,27.0,92.0,10.0,1.0
12,4.0,19.0,96.0,1.0,2.0
13,3.0,1.0,1.0,4.0,3.0
14,3.0,1.0,1.0,1.0,5.0
15,1.0,20.0,5.0,1.0,3.0
16,1.0,8.0,20.0,1.0,2.0
17,2.0,6.0,8.0,6.0,4.0
18,2.0,38.0,5.0,1.0,7.0
19,5.0,1.0,2.0,78.0,22.0
20,2.0,20.0,2.0,2.0,5.0
21,3.0,1.0,7.0,2.0,1.0
22,6.0,1.0,8.0,2.0,2.0
23,45.0,30.0,58.0,226.0,79.0
24,2.0,5.0,1.0,1.0,8.0
25,1.0,7.0,38.0,5.0,2.0
26,3.0,3.0,5.0,1.0,1.0
27,3.0,16.0,30.0,1.0,1.0
28,1.0,5.0,4.0,1.0,14.0
29,1.0,1.0,4.0,1.0,1.0
30,5.0,40.0,11.0,1.0,31.0
31,6.0,2.0,11.0,5.0,2.0
32,1.0,19.0,2.0,269.0,2.0
33,6.0,4.0,24.0,50.0,3.0
34,3.0,4.0,2.0,23.0,2.0
35,5.0,1.0,2.0,1.0,13.0
36,1.0,4.0,7.0,3.0,2.0
37,25.0,4.0,14.0,9.0,2.0
38,8.0,1.0,17.0,1.0,1.0
39,1.0,2.0,4.0,3.0,1.0
40,1.0,14.0,16.0,1.0,4.0
41,2.0,31.0,4.0,1.0,1.0
42,3.0,19.0,1.0,17.0,4.0
43,10.0,1.0,11.0,1.0,3.0
44,1.0,26.0,18.0,6.0,6.0
45,1.0,4.0,71.0,1.0,3.0
46,1.0,38.0,2.0,2.0,4.0
47,26.0,4.0,107.0,1.0,7.0
48,3.0,8.0,32.0,2.0,6.0
49,11.0,1.0,6.0,6.0,4.0
50,6.0,59.0,2.0,135.0,46.0
51,3.0,54.0,12.0,1.0,6.0
52,19.0,42.0,117.0,1.0,10.0
53,1.0,65.0,14.0,1.0,6.0
54,19.0,18.0,1.0,2.0,1.0
55,1.0,43.0,3.0,3.0,22.0
56,4.0,1.0,84.0,22.0,49.0
57,1.0,71.0,3.0,3.0,1.0
58,1.0,6.0,4.0,4.0,1.0
59,2.0,1.0,10.0,3.0,1.0
60,5.0,3.0,6.0,2.0,12.0
61,1.0,4.0,24.0,3.0,3.0
62,1.0,1.0,10.0,3.0,1.0
63,2.0,3.0,2.0,1.0,2.0
64,1.0,66.0,1.0,398.0,1.0
65,2.0,5.0,1.0,33.0,3.0
66,27.0,3.0,3.0,3.0,3.0
67,1.0,1.0,85.0,4.0,1.0
68,2.0,8.0,4.0,2.0,6.0
69,2.0,73.0,16.0,1.0,6.0
70,2.0,1.0,36.0,2.0,11.0
71,4.0,9.0,1.0,8.0,1.0
72,1.0,4.0,435.0,34.0,3.0
73,1.0,1.0,1.0,13.0,1.0
74,3.0,8.0,115.0,13.0,2.0
75,1.0,1.0,27.0,169.0,2.0
76,1.0,40.0,52.0,1.0,7.0
77,8.0,9.0,1.0,4.0,22.0
78,10.0,37.0,1.0,2.0,14.0
79,2.0,3.0,1.0,3.0,1.0
80,10.0,52.0,9.0,73.0,3.0
81,10.0,4.0,33.0,1.0,8.0
82,102.0,104.0,87.0,1.0,2.0
83,26.0,10.0,23.0,1.0,2.0
84,2.0,1.0,4.0,21.0,86.0
85,1.0,1.0,121.0,1.0,10.0
86,1.0,7.0,21.0,2.0,1.0
87,7.0,2.0,37.0,2.0,21.0
88,3.0,5.0,6.0,35.0,3.0
89,1.0,1.0,12.0,2.0,2.0
90,2.0,1.0,40.0,19.0,1.0
91,1.0,13.0,5.0,1.0,9.0
92,2.0,50.0,23.0,1.0,1.0
93,1.0,6.0,1.0,1.0,1.0
94,4.0,5.0,76.0,1.0,4.0
95,37.0,1.0,52.0,1.0,8.0
96,20.0,2.0,47.0,1.0,2.0
97,13.0,10.0,1.0,20.0,39.0
98,13.0,4.0,10.0,5.0,1.0
99,156.0,4.0,20.0,5.0,1.0
100,5.0,3.0,13.0,1.0,245.0
101,7.0,48.0,41.0,5.0,1.0
102,90.0,3.0,26.0,4.0,65.0
103,1.0,2.0,59.0,11.0,208.0
104,1.0,9.0,57.0,75.0,26.0
105,1.0,4.0,98.0,1.0,74.0
106,16.0,2.0,15.0,10.0,9.0
107,72.0,12.0,32.0,6.0,7.0
108,3.0,2.0,35.0,1.0,1.0
