CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,2.0,2.0,1.0,19
2.0,15.0,29.0,2.0,37
1.0,2.0,21.0,1.0,2
1.0,4.0,15.0,1.0,14
42.0,7.0,2.0,2.0,7
18.0,5.0,4.0,1.0,2
16.0,3.0,5.0,7.0,4
4.0,6.0,24.0,7.0,29
1.0,1.0,4.0,1.0,170
6.0,37.0,11.0,1.0,2
1.0,16.0,5.0,1.0,175
1.0,1.0,47.0,1.0,1
1.0,101.0,29.0,3.0,274
8.0,54.0,28.0,7.0,1
1.0,1.0,11.0,1.0,1
19.0,2.0,11.0,1.0,22
1.0,1.0,20.0,3.0,13
25.0,1.0,1.0,4.0,1
1.0,14.0,50.0,4.0,17
7.0,34.0,2.0,2.0,16
5.0,6.0,15.0,6.0,1
2.0,1.0,2.0,1.0,42
1.0,1.0,25.0,1.0,5
1.0,5.0,1.0,12.0,1
35.0,1.0,11.0,1.0,2
11.0,27.0,5.0,1.0,1
1.0,8.0,7.0,1.0,7
7.0,1.0,22.0,1.0,2
6.0,2.0,1.0,3.0,1
2.0,1.0,110.0,2.0,1
3.0,1.0,10.0,1.0,7
20.0,6.0,1.0,4.0,1
1.0,9.0,2.0,2.0,1
6.0,1.0,11.0,1.0,7
9.0,1.0,2.0,1.0,100
24.0,3.0,1.0,1.0,1
7.0,1.0,1.0,13.0,1
10.0,3.0,47.0,1.0,14
1.0,4.0,38.0,3.0,1
4.0,1.0,18.0,17.0,2
1.0,1.0,2.0,2.0,1
1.0,1.0,9.0,2.0,1
7.0,3.0,1.0,3.0,1
5.0,38.0,3.0,1.0,81
4.0,3.0,30.0,3.0,110
12.0,4.0,5.0,23.0,1
8.0,94.0,2.0,1.0,1
1.0,55.0,20.0,2.0,141
64.0,1.0,4.0,2.0,271
1.0,3.0,54.0,2.0,2
10.0,1.0,47.0,1.0,6
4.0,3.0,40.0,2.0,48
34.0,20.0,8.0,1.0,26
4.0,8.0,3.0,1.0,7
2.0,27.0,33.0,7.0,9
1.0,1.0,41.0,59.0,36
4.0,9.0,7.0,1.0,1
1.0,4.0,73.0,1.0,14
1.0,4.0,1.0,51.0,3
5.0,1.0,2.0,2.0,63
1.0,7.0,6.0,14.0,5
175.0,12.0,65.0,15.0,2
5.0,12.0,40.0,1.0,1
1.0,1.0,9.0,1.0,1
1.0,1.0,5.0,3.0,5
120.0,2.0,14.0,1.0,1
1.0,1.0,20.0,4.0,4
1.0,1.0,144.0,1.0,4
21.0,9.0,20.0,69.0,1
2.0,3.0,1.0,1.0,3
2.0,2.0,1.0,1.0,1
4.0,1.0,53.0,5.0,6
1.0,1.0,5.0,1.0,2
1.0,3.0,31.0,4.0,2
1.0,1.0,38.0,4.0,1
2.0,3.0,6.0,6.0,3
3.0,3.0,2.0,2.0,1
13.0,3.0,1.0,4.0,72
24.0,2.0,13.0,9.0,1
18.0,1.0,10.0,1.0,4
1.0,2.0,36.0,110.0,5
3.0,1.0,25.0,1.0,5
3.0,2.0,3.0,2.0,1
1.0,2.0,20.0,2.0,1
12.0,1.0,28.0,1.0,7
13.0,13.0,28.0,31.0,4
1.0,5.0,51.0,1.0,38
5.0,1.0,24.0,2.0,1
7.0,81.0,1.0,13.0,1
2.0,43.0,2.0,25.0,208
1.0,3.0,3.0,3.0,1
14.0,1.0,25.0,4.0,188
8.0,1.0,38.0,3.0,1
5.0,2.0,1.0,31.0,2
1.0,3.0,11.0,92.0,3
1.0,3.0,19.0,1.0,167
61.0,9.0,1.0,16.0,1
12.0,17.0,2.0,1.0,214
1.0,3.0,31.0,1.0,4
33.0,5.0,7.0,1.0,8
5.0,1.0,9.0,3.0,43
1.0,5.0,2.0,2.0,85
1.0,1.0,2.0,3.0,44
3.0,12.0,2.0,1.0,17
7.0,29.0,73.0,14.0,1
2.0,7.0,2.0,1.0,8
1.0,1.0,4.0,12.0,54
249.0,1.0,1.0,2.0,1
6.0,1.0,26.0,2.0,1
1.0,1.0,77.0,1.0,29
2.0,1.0,37.0,7.0,3
1.0,2.0,11.0,1.0,2
6.0,1.0,1.0,1.0,1
3.0,3.0,3.0,1.0,7
74.0,1.0,4.0,3.0,59
1.0,17.0,1.0,7.0,1
1.0,1.0,10.0,119.0,20
21.0,3.0,36.0,1.0,1
1.0,5.0,49.0,1.0,1
1.0,2.0,18.0,2.0,5
1.0,1.0,16.0,3.0,1
1.0,6.0,17.0,23.0,2
17.0,14.0,4.0,1.0,1
1.0,10.0,22.0,3.0,8
3.0,3.0,59.0,1.0,14
2.0,3.0,31.0,2.0,5
43.0,1.0,5.0,5.0,1
27.0,5.0,4.0,2.0,5
1.0,3.0,1.0,11.0,2
3.0,10.0,13.0,1.0,1
33.0,1.0,37.0,1.0,26
13.0,5.0,2.0,3.0,1
12.0,1.0,7.0,1.0,8
1.0,146.0,16.0,1.0,5
2.0,52.0,5.0,7.0,6
2.0,1.0,48.0,3.0,1
3.0,1.0,1.0,1.0,1
4.0,1.0,1.0,68.0,77
45.0,9.0,2.0,1.0,1
7.0,1.0,4.0,1.0,25
2.0,17.0,1.0,1.0,22
4.0,20.0,1.0,1.0,1
3.0,12.0,3.0,1.0,3
16.0,1.0,1.0,1.0,22
3.0,1.0,1.0,16.0,148
20.0,11.0,65.0,1.0,1
1.0,1.0,7.0,3.0,4
1.0,3.0,32.0,1.0,6
6.0,25.0,1.0,1.0,42
4.0,1.0,37.0,1.0,2
11.0,7.0,99.0,7.0,1
36.0,19.0,40.0,3.0,154
8.0,4.0,24.0,1.0,53
1.0,3.0,1.0,6.0,10
1.0,1.0,2.0,1.0,2
123.0,1.0,6.0,1.0,32
1.0,1.0,2.0,5.0,81
3.0,1.0,11.0,18.0,10
5.0,1.0,67.0,2.0,2
1.0,1.0,125.0,1.0,2
5.0,6.0,24.0,8.0,53
1.0,3.0,13.0,6.0,8
1.0,1.0,12.0,2.0,49
492.0,7.0,7.0,149.0,2
9.0,18.0,11.0,11.0,4
1.0,4.0,71.0,1.0,1
1.0,4.0,38.0,2.0,2
3.0,2.0,1.0,1.0,2
22.0,12.0,1.0,1.0,244
1.0,1.0,14.0,1.0,194
1.0,1.0,6.0,2.0,22
14.0,2.0,7.0,10.0,2
24.0,9.0,1.0,4.0,3
101.0,4.0,18.0,6.0,19
1.0,48.0,28.0,4.0,170
6.0,43.0,1.0,1.0,1
1.0,74.0,2.0,9.0,303
1.0,3.0,10.0,1.0,5
2.0,1.0,2.0,1.0,19
1.0,1.0,3.0,1.0,94
1.0,16.0,5.0,2.0,177
1.0,1.0,43.0,3.0,61
43.0,3.0,2.0,1.0,6
5.0,6.0,1.0,2.0,1
74.0,21.0,2.0,10.0,19
1.0,4.0,14.0,1.0,66
2.0,1.0,1.0,92.0,5
1.0,7.0,5.0,1.0,32
18.0,2.0,1.0,1.0,1
53.0,1.0,2.0,1.0,2
13.0,235.0,48.0,1.0,1
1.0,64.0,22.0,1.0,1
6.0,1.0,1.0,1.0,2
1.0,15.0,1.0,3.0,2
2.0,1.0,1.0,1.0,1
54.0,1.0,1.0,1.0,11
1.0,1.0,31.0,1.0,9
8.0,3.0,1.0,1.0,2
4.0,1.0,105.0,1.0,23
27.0,3.0,4.0,22.0,99
8.0,1.0,52.0,3.0,2
15.0,39.0,1.0,2.0,7
1.0,20.0,4.0,1.0,1
