CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,2.0,1.0,1.0,25
3.0,17.0,30.0,2.0,2
1.0,2.0,1.0,1.0,38
2.0,1.0,22.0,1.0,2
38.0,1.0,19.0,2.0,22
1.0,4.0,2.0,1.0,9
23.0,8.0,9.0,7.0,2
17.0,5.0,9.0,8.0,1
4.0,5.0,30.0,1.0,6
1.0,6.0,5.0,1.0,1
5.0,1.0,17.0,1.0,29
1.0,11.0,6.0,1.0,178
1.0,10.0,49.0,3.0,2
1.0,1.0,37.0,6.0,189
14.0,1.0,30.0,1.0,2
1.0,104.0,13.0,1.0,278
22.0,46.0,1.0,6.0,1
1.0,2.0,19.0,5.0,1
29.0,2.0,38.0,4.0,22
1.0,2.0,1.0,3.0,17
7.0,20.0,53.0,6.0,1
1.0,82.0,2.0,1.0,1
5.0,6.0,20.0,1.0,24
2.0,1.0,2.0,11.0,1
1.0,2.0,34.0,1.0,17
2.0,5.0,1.0,1.0,1
36.0,1.0,13.0,1.0,48
11.0,36.0,7.0,1.0,6
2.0,9.0,1.0,2.0,2
7.0,1.0,10.0,3.0,2
6.0,2.0,28.0,3.0,1
2.0,1.0,3.0,3.0,1
3.0,2.0,111.0,6.0,10
18.0,7.0,14.0,2.0,2
2.0,12.0,1.0,1.0,1
1.0,1.0,1.0,2.0,1
8.0,1.0,3.0,1.0,9
15.0,10.0,14.0,17.0,1
25.0,1.0,4.0,1.0,1
9.0,3.0,2.0,3.0,1
11.0,5.0,3.0,13.0,14
1.0,2.0,54.0,2.0,114
4.0,2.0,41.0,2.0,1
1.0,3.0,20.0,3.0,2
4.0,38.0,3.0,1.0,16
1.0,5.0,10.0,3.0,1
9.0,4.0,1.0,24.0,3
5.0,91.0,6.0,1.0,1
1.0,51.0,36.0,1.0,1
1.0,1.0,5.0,2.0,2
4.0,3.0,3.0,2.0,90
21.0,1.0,30.0,2.0,114
8.0,3.0,1.0,1.0,1
1.0,24.0,6.0,3.0,1
74.0,8.0,48.0,2.0,146
1.0,41.0,54.0,2.0,277
11.0,1.0,47.0,8.0,2
5.0,7.0,10.0,68.0,1
45.0,4.0,3.0,2.0,8
4.0,7.0,39.0,1.0,56
2.0,1.0,75.0,1.0,26
1.0,6.0,10.0,46.0,8
1.0,12.0,73.0,2.0,9
4.0,14.0,1.0,17.0,46
1.0,1.0,2.0,14.0,3
1.0,1.0,4.0,1.0,17
