CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,2.0,1.0,1.0,22
3.0,14.0,30.0,2.0,2
1.0,2.0,1.0,1.0,37
2.0,1.0,22.0,1.0,2
37.0,1.0,19.0,2.0,18
1.0,4.0,2.0,1.0,9
22.0,7.0,7.0,7.0,2
17.0,5.0,7.0,7.0,1
4.0,5.0,28.0,1.0,5
1.0,6.0,4.0,1.0,1
5.0,1.0,15.0,1.0,29
1.0,11.0,6.0,1.0,172
1.0,10.0,49.0,3.0,2
1.0,1.0,36.0,6.0,181
14.0,102.0,29.0,1.0,1
1.0,43.0,13.0,1.0,276
22.0,2.0,17.0,6.0,1
1.0,2.0,34.0,4.0,1
27.0,2.0,1.0,4.0,22
1.0,17.0,53.0,2.0,16
7.0,83.0,2.0,6.0,1
1.0,6.0,20.0,1.0,1
5.0,1.0,2.0,1.0,21
2.0,2.0,31.0,11.0,1
1.0,5.0,1.0,1.0,17
1.0,1.0,11.0,1.0,1
36.0,34.0,6.0,1.0,47
11.0,9.0,8.0,1.0,5
2.0,1.0,27.0,1.0,2
7.0,2.0,1.0,3.0,2
6.0,1.0,111.0,3.0,1
2.0,2.0,14.0,2.0,1
3.0,6.0,1.0,6.0,8
20.0,11.0,1.0,2.0,2
2.0,1.0,3.0,1.0,1
1.0,1.0,12.0,1.0,1
8.0,10.0,4.0,1.0,9
15.0,1.0,2.0,16.0,1
25.0,3.0,1.0,3.0,1
9.0,4.0,49.0,13.0,1
10.0,2.0,37.0,2.0,11
1.0,2.0,17.0,2.0,109
4.0,3.0,3.0,3.0,1
1.0,37.0,9.0,1.0,2
4.0,3.0,1.0,3.0,16
1.0,3.0,5.0,23.0,1
9.0,91.0,36.0,1.0,2
5.0,48.0,5.0,2.0,1
1.0,1.0,3.0,2.0,1
4.0,3.0,25.0,2.0,2
21.0,1.0,1.0,1.0,89
8.0,3.0,5.0,2.0,109
1.0,22.0,50.0,2.0,1
71.0,8.0,53.0,2.0,1
1.0,42.0,44.0,8.0,143
10.0,1.0,10.0,63.0,276
5.0,7.0,2.0,2.0,2
38.0,4.0,36.0,1.0,7
4.0,6.0,70.0,1.0,51
2.0,1.0,9.0,46.0,26
4.0,6.0,75.0,2.0,8
1.0,12.0,1.0,16.0,9
1.0,14.0,2.0,15.0,44
5.0,1.0,5.0,1.0,3
1.0,1.0,66.0,1.0,15
172.0,2.0,1.0,1.0,4
8.0,1.0,41.0,1.0,69
1.0,1.0,11.0,1.0,5
1.0,1.0,8.0,4.0,2
1.0,13.0,16.0,1.0,1
123.0,2.0,22.0,1.0,1
1.0,2.0,143.0,70.0,5
1.0,1.0,23.0,1.0,1
1.0,3.0,1.0,1.0,4
24.0,2.0,66.0,1.0,5
2.0,3.0,6.0,5.0,1
3.0,3.0,2.0,1.0,4
4.0,3.0,35.0,5.0,1
1.0,2.0,37.0,5.0,7
2.0,1.0,6.0,5.0,2
1.0,2.0,3.0,2.0,2
2.0,1.0,2.0,4.0,1
2.0,2.0,15.0,1.0,4
14.0,2.0,1.0,1.0,1
1.0,1.0,12.0,1.0,74
