CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,4.0,1.0,1
3.0,28.0,37.0,2.0,24
2.0,2.0,1.0,1.0,2
2.0,1.0,17.0,1.0,39
19.0,1.0,21.0,2.0,2
1.0,1.0,3.0,1.0,14
1.0,1.0,14.0,7.0,19
22.0,5.0,2.0,9.0,3
17.0,9.0,19.0,2.0,2
3.0,5.0,32.0,2.0,9
4.0,5.0,7.0,1.0,1
1.0,7.0,21.0,1.0,1
8.0,6.0,2.0,4.0,29
1.0,8.0,11.0,1.0,187
1.0,32.0,48.0,8.0,2
1.0,1.0,58.0,1.0,192
21.0,1.0,32.0,2.0,2
6.0,100.0,18.0,1.0,276
5.0,63.0,2.0,6.0,1
24.0,3.0,1.0,5.0,1
1.0,2.0,25.0,4.0,1
30.0,9.0,40.0,3.0,26
1.0,4.0,3.0,1.0,21
3.0,2.0,32.0,4.0,3
1.0,32.0,7.0,1.0,1
5.0,28.0,21.0,1.0,25
3.0,14.0,2.0,7.0,1
2.0,5.0,44.0,1.0,21
1.0,3.0,1.0,1.0,1
2.0,6.0,17.0,2.0,1
1.0,1.0,1.0,1.0,51
44.0,40.0,7.0,3.0,7
16.0,12.0,1.0,4.0,2
2.0,1.0,15.0,3.0,2
9.0,2.0,29.0,4.0,1
7.0,1.0,5.0,11.0,1
2.0,5.0,1.0,2.0,11
3.0,3.0,52.0,2.0,9
5.0,9.0,19.0,1.0,1
4.0,16.0,1.0,17.0,1
1.0,4.0,1.0,1.0,1
8.0,1.0,3.0,4.0,1
23.0,10.0,9.0,7.0,3
30.0,12.0,24.0,2.0,9
17.0,5.0,8.0,3.0,2
1.0,4.0,3.0,3.0,1
15.0,6.0,7.0,1.0,1
3.0,2.0,62.0,3.0,2
4.0,1.0,1.0,2.0,17
1.0,1.0,36.0,25.0,101
4.0,4.0,24.0,1.0,1
1.0,2.0,2.0,1.0,2
10.0,8.0,8.0,2.0,18
3.0,39.0,17.0,2.0,3
1.0,5.0,2.0,2.0,3
1.0,4.0,18.0,2.0,7
2.0,81.0,43.0,9.0,1
4.0,49.0,8.0,1.0,1
27.0,1.0,1.0,2.0,3
31.0,2.0,3.0,2.0,2
3.0,1.0,37.0,10.0,100
82.0,4.0,1.0,71.0,124
1.0,3.0,1.0,2.0,1
1.0,1.0,14.0,1.0,2
16.0,1.0,45.0,1.0,143
5.0,4.0,75.0,31.0,254
38.0,23.0,49.0,3.0,2
9.0,8.0,12.0,18.0,2
3.0,17.0,9.0,6.0,9
1.0,1.0,44.0,1.0,58
1.0,22.0,89.0,1.0,30
5.0,1.0,1.0,1.0,8
1.0,4.0,11.0,1.0,11
1.0,8.0,43.0,6.0,52
1.0,1.0,2.0,2.0,4
7.0,9.0,2.0,1.0,20
2.0,15.0,16.0,3.0,4
155.0,19.0,68.0,79.0,1
8.0,1.0,1.0,1.0,74
1.0,1.0,1.0,1.0,11
1.0,2.0,51.0,3.0,2
2.0,1.0,22.0,5.0,1
2.0,3.0,10.0,1.0,2
112.0,1.0,24.0,6.0,2
1.0,14.0,29.0,1.0,1
1.0,4.0,2.0,9.0,5
2.0,5.0,73.0,39.0,1
34.0,1.0,35.0,3.0,1
3.0,1.0,1.0,1.0,4
4.0,4.0,1.0,1.0,6
5.0,2.0,92.0,1.0,1
2.0,3.0,13.0,1.0,5
2.0,3.0,2.0,1.0,1
4.0,5.0,39.0,15.0,8
1.0,2.0,35.0,1.0,2
3.0,1.0,11.0,98.0,2
3.0,4.0,6.0,2.0,7
28.0,2.0,3.0,4.0,5
1.0,7.0,17.0,3.0,1
35.0,2.0,4.0,2.0,80
27.0,2.0,18.0,31.0,1
1.0,17.0,47.0,1.0,7
4.0,7.0,25.0,2.0,1
3.0,1.0,8.0,13.0,7
4.0,68.0,25.0,11.0,8
2.0,38.0,1.0,7.0,2
1.0,3.0,38.0,3.0,1
18.0,1.0,1.0,3.0,8
16.0,1.0,21.0,37.0,4
4.0,2.0,55.0,1.0,45
1.0,5.0,31.0,6.0,3
1.0,1.0,1.0,106.0,1
6.0,1.0,3.0,1.0,245
7.0,1.0,6.0,1.0,1
5.0,4.0,29.0,1.0,180
5.0,13.0,46.0,15.0,1
16.0,17.0,2.0,2.0,3
18.0,3.0,15.0,1.0,1
23.0,12.0,14.0,1.0,3
1.0,2.0,1.0,2.0,184
2.0,2.0,5.0,2.0,1
4.0,9.0,33.0,3.0,163
72.0,1.0,1.0,2.0,7
1.0,3.0,15.0,19.0,1
1.0,1.0,14.0,1.0,13
15.0,20.0,4.0,52.0,47
3.0,1.0,3.0,2.0,94
1.0,1.0,2.0,2.0,53
26.0,36.0,1.0,1.0,19
15.0,8.0,2.0,10.0,1
5.0,1.0,9.0,2.0,9
1.0,1.0,49.0,1.0,73
1.0,1.0,5.0,1.0,1
1.0,1.0,5.0,2.0,1
3.0,1.0,1.0,6.0,37
9.0,2.0,1.0,8.0,3
3.0,2.0,45.0,98.0,2
1.0,1.0,1.0,1.0,1
242.0,4.0,1.0,1.0,1
11.0,1.0,2.0,2.0,8
1.0,26.0,84.0,3.0,73
3.0,2.0,1.0,26.0,2
4.0,3.0,1.0,1.0,2
1.0,10.0,1.0,3.0,33
11.0,2.0,39.0,1.0,3
1.0,2.0,17.0,2.0,1
7.0,6.0,3.0,5.0,6
32.0,17.0,6.0,2.0,1
1.0,16.0,5.0,8.0,2
1.0,9.0,5.0,1.0,2
2.0,9.0,1.0,1.0,8
30.0,2.0,15.0,7.0,17
1.0,8.0,53.0,1.0,6
1.0,1.0,34.0,1.0,1
11.0,4.0,1.0,9.0,8
1.0,11.0,20.0,8.0,4
2.0,7.0,22.0,1.0,1
1.0,5.0,23.0,1.0,1
4.0,2.0,5.0,83.0,1
9.0,100.0,24.0,1.0,31
2.0,62.0,55.0,1.0,2
27.0,1.0,37.0,2.0,14
1.0,1.0,7.0,1.0,7
3.0,2.0,8.0,1.0,6
2.0,1.0,1.0,1.0,2
47.0,1.0,15.0,1.0,1
1.0,1.0,55.0,18.0,85
36.0,1.0,1.0,1.0,1
3.0,15.0,3.0,3.0,29
3.0,2.0,10.0,3.0,2
40.0,18.0,15.0,1.0,23
24.0,17.0,6.0,1.0,2
1.0,27.0,56.0,1.0,4
3.0,1.0,1.0,1.0,1
6.0,3.0,2.0,19.0,31
20.0,17.0,2.0,1.0,1
21.0,2.0,6.0,3.0,1
1.0,2.0,2.0,1.0,1
2.0,3.0,2.0,51.0,161
5.0,2.0,6.0,1.0,1
3.0,3.0,1.0,1.0,4
4.0,40.0,14.0,1.0,6
61.0,1.0,44.0,5.0,48
12.0,10.0,10.0,16.0,2
1.0,19.0,37.0,1.0,1
2.0,6.0,1.0,2.0,1
10.0,4.0,1.0,1.0,170
10.0,1.0,2.0,10.0,66
3.0,1.0,2.0,13.0,10
22.0,2.0,1.0,2.0,3
6.0,1.0,49.0,123.0,1
22.0,1.0,1.0,14.0,33
4.0,1.0,115.0,1.0,96
1.0,2.0,36.0,2.0,15
9.0,7.0,27.0,1.0,2
10.0,3.0,3.0,1.0,3
23.0,2.0,2.0,1.0,63
2.0,8.0,5.0,2.0,9
1.0,24.0,12.0,1.0,60
39.0,5.0,3.0,23.0,2
1.0,4.0,19.0,4.0,7
15.0,4.0,77.0,1.0,1
1.0,22.0,63.0,6.0,1
3.0,2.0,24.0,4.0,1
1.0,1.0,15.0,1.0,2
98.0,3.0,13.0,9.0,1
1.0,11.0,1.0,1.0,3
17.0,6.0,10.0,1.0,266
10.0,56.0,19.0,1.0,1
2.0,51.0,68.0,4.0,123
5.0,80.0,44.0,3.0,28
1.0,12.0,2.0,1.0,3
1.0,1.0,1.0,3.0,6
1.0,3.0,1.0,13.0,1
1.0,1.0,18.0,1.0,24
1.0,18.0,13.0,1.0,187
487.0,1.0,15.0,91.0,1
1.0,3.0,1.0,1.0,1
11.0,3.0,23.0,1.0,254
4.0,11.0,42.0,1.0,5
1.0,25.0,2.0,1.0,23
3.0,1.0,3.0,1.0,100
27.0,4.0,3.0,1.0,175
1.0,1.0,25.0,3.0,70
1.0,7.0,3.0,1.0,8
1.0,4.0,3.0,1.0,2
22.0,1.0,8.0,1.0,27
36.0,1.0,46.0,1.0,78
28.0,1.0,5.0,1.0,1
1.0,169.0,5.0,25.0,6
1.0,62.0,3.0,2.0,34
10.0,1.0,15.0,2.0,1
1.0,19.0,1.0,2.0,2
2.0,3.0,2.0,1.0,1
2.0,2.0,9.0,2.0,1
2.0,3.0,1.0,3.0,1
1.0,3.0,12.0,6.0,2
12.0,1.0,69.0,1.0,1
1.0,2.0,3.0,2.0,4
12.0,3.0,32.0,1.0,2
1.0,1.0,1.0,7.0,12
2.0,4.0,1.0,1.0,1
1.0,47.0,1.0,16.0,20
2.0,37.0,1.0,1.0,2
2.0,2.0,1.0,3.0,25
68.0,26.0,1.0,1.0,118
5.0,1.0,1.0,10.0,2
88.0,42.0,1.0,4.0,7
2.0,1.0,1.0,50.0,1
3.0,4.0,40.0,2.0,2
1.0,21.0,1.0,1.0,12
32.0,1.0,112.0,4.0,1
70.0,1.0,5.0,1.0,2
27.0,10.0,46.0,1.0,8
1.0,51.0,6.0,1.0,24
3.0,1.0,7.0,1.0,4
6.0,9.0,15.0,2.0,2
13.0,4.0,2.0,30.0,24
2.0,1.0,5.0,10.0,4
5.0,1.0,50.0,2.0,1
63.0,23.0,46.0,3.0,13
2.0,4.0,7.0,1.0,1
1.0,4.0,8.0,43.0,1
15.0,37.0,32.0,20.0,1
18.0,2.0,1.0,4.0,13
5.0,53.0,8.0,102.0,2
35.0,37.0,24.0,56.0,9
11.0,3.0,51.0,2.0,17
17.0,7.0,60.0,2.0,19
7.0,2.0,13.0,1.0,1
1.0,1.0,13.0,3.0,2
10.0,1.0,62.0,1.0,3
7.0,1.0,1.0,2.0,1
6.0,1.0,15.0,3.0,38
6.0,8.0,50.0,15.0,1
1.0,2.0,2.0,4.0,3
3.0,1.0,3.0,3.0,30
38.0,1.0,3.0,4.0,1
13.0,1.0,28.0,2.0,1
1.0,2.0,3.0,7.0,84
2.0,11.0,1.0,2.0,7
1.0,3.0,10.0,7.0,46
4.0,15.0,57.0,1.0,7
2.0,67.0,1.0,1.0,13
77.0,1.0,2.0,1.0,1
1.0,11.0,16.0,15.0,1
1.0,1.0,5.0,4.0,2
11.0,1.0,7.0,20.0,6
41.0,2.0,1.0,3.0,167
1.0,19.0,14.0,4.0,1
2.0,1.0,61.0,6.0,62
7.0,4.0,2.0,6.0,4
2.0,6.0,18.0,1.0,1
4.0,85.0,1.0,1.0,35
11.0,2.0,1.0,1.0,1
6.0,41.0,1.0,2.0,5
5.0,1.0,1.0,57.0,1
2.0,85.0,1.0,1.0,24
14.0,2.0,1.0,2.0,1
444.0,4.0,1.0,1.0,1
1.0,1.0,4.0,1.0,2
6.0,5.0,55.0,6.0,1
1.0,15.0,1.0,9.0,1
1.0,3.0,10.0,5.0,198
1.0,6.0,99.0,1.0,14
1.0,5.0,7.0,2.0,1
1.0,1.0,47.0,4.0,1
4.0,2.0,2.0,1.0,45
37.0,9.0,4.0,1.0,16
1.0,9.0,12.0,1.0,133
2.0,6.0,1.0,3.0,118
19.0,51.0,3.0,1.0,1
40.0,2.0,104.0,2.0,1
71.0,2.0,75.0,1.0,1
1.0,7.0,5.0,4.0,2
2.0,2.0,17.0,1.0,31
1.0,3.0,24.0,2.0,217
7.0,4.0,45.0,1.0,71
6.0,183.0,69.0,1.0,78
5.0,97.0,70.0,1.0,5
1.0,39.0,1.0,17.0,10
1.0,1.0,7.0,41.0,55
2.0,1.0,16.0,3.0,1
1.0,3.0,86.0,3.0,128
28.0,1.0,1.0,1.0,21
2.0,2.0,9.0,9.0,1
1.0,1.0,66.0,1.0,2
1.0,1.0,1.0,1.0,43
1.0,2.0,28.0,81.0,21
5.0,3.0,1.0,1.0,18
15.0,4.0,4.0,1.0,1
8.0,2.0,14.0,1.0,5
31.0,9.0,2.0,1.0,1
3.0,1.0,63.0,2.0,15
4.0,53.0,1.0,26.0,5
1.0,2.0,1.0,24.0,1
2.0,2.0,7.0,1.0,1
87.0,2.0,2.0,7.0,1
7.0,1.0,2.0,4.0,4
5.0,14.0,7.0,1.0,264
36.0,7.0,1.0,1.0,169
33.0,2.0,3.0,1.0,1
88.0,1.0,6.0,114.0,66
60.0,1.0,1.0,6.0,2
1.0,20.0,24.0,2.0,10
2.0,2.0,48.0,535.0,1
1.0,23.0,10.0,52.0,17
6.0,3.0,10.0,1.0,193
53.0,18.0,1.0,6.0,1
1.0,38.0,1.0,2.0,4
1.0,1.0,1.0,3.0,6
6.0,1.0,1.0,1.0,2
5.0,1.0,1.0,11.0,200
16.0,7.0,3.0,3.0,16
2.0,12.0,63.0,96.0,2
2.0,1.0,1.0,1.0,1
76.0,1.0,4.0,1.0,36
5.0,58.0,1.0,1.0,129
2.0,36.0,133.0,2.0,114
1.0,10.0,1.0,6.0,84
1.0,4.0,1.0,14.0,4
45.0,65.0,2.0,1.0,1
12.0,1.0,3.0,2.0,20
6.0,3.0,34.0,1.0,1
48.0,15.0,1.0,61.0,53
