CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,3.0,1.0,1
3.0,31.0,37.0,2.0,25
2.0,2.0,1.0,1.0,2
2.0,1.0,23.0,1.0,38
23.0,1.0,25.0,2.0,2
4.0,1.0,5.0,1.0,24
1.0,6.0,14.0,6.0,18
22.0,9.0,1.0,9.0,1
18.0,5.0,17.0,1.0,5
2.0,5.0,29.0,3.0,1
4.0,7.0,8.0,1.0,30
1.0,5.0,22.0,1.0,180
7.0,22.0,1.0,1.0,2
1.0,25.0,9.0,4.0,1
1.0,1.0,46.0,6.0,197
1.0,1.0,60.0,1.0,2
17.0,103.0,40.0,1.0,274
6.0,60.0,19.0,7.0,1
5.0,3.0,1.0,7.0,2
25.0,2.0,1.0,5.0,1
1.0,8.0,29.0,3.0,24
30.0,5.0,44.0,1.0,21
1.0,3.0,3.0,5.0,3
3.0,30.0,4.0,1.0,1
1.0,29.0,28.0,1.0,25
5.0,7.0,3.0,1.0,1
6.0,2.0,27.0,4.0,22
2.0,3.0,2.0,1.0,2
1.0,6.0,48.0,1.0,1
2.0,1.0,1.0,2.0,57
1.0,45.0,15.0,7.0,8
42.0,11.0,2.0,4.0,2
15.0,1.0,7.0,3.0,2
3.0,2.0,1.0,1.0,1
8.0,1.0,21.0,4.0,1
6.0,6.0,30.0,8.0,12
2.0,1.0,5.0,3.0,6
3.0,9.0,1.0,2.0,1
6.0,21.0,32.0,1.0,2
9.0,4.0,20.0,18.0,2
5.0,1.0,1.0,1.0,2
1.0,10.0,1.0,4.0,9
10.0,4.0,3.0,5.0,2
20.0,5.0,3.0,1.0,1
31.0,4.0,22.0,2.0,1
15.0,6.0,6.0,3.0,19
24.0,3.0,2.0,3.0,1
3.0,1.0,7.0,1.0,100
4.0,12.0,66.0,3.0,1
1.0,2.0,3.0,1.0,2
4.0,1.0,31.0,3.0,20
1.0,7.0,26.0,26.0,1
13.0,1.0,11.0,1.0,4
6.0,41.0,22.0,1.0,3
1.0,5.0,4.0,2.0,1
1.0,4.0,10.0,2.0,1
1.0,86.0,44.0,2.0,2
4.0,52.0,11.0,2.0,106
29.0,1.0,3.0,4.0,101
22.0,4.0,46.0,1.0,1
1.0,1.0,2.0,1.0,2
83.0,1.0,1.0,1.0,152
1.0,4.0,9.0,2.0,249
14.0,24.0,35.0,2.0,2
5.0,8.0,86.0,10.0,1
36.0,14.0,59.0,81.0,9
7.0,1.0,13.0,2.0,56
3.0,10.0,6.0,1.0,28
1.0,1.0,50.0,1.0,11
1.0,4.0,98.0,8.0,10
5.0,8.0,1.0,2.0,54
1.0,1.0,12.0,5.0,3
1.0,8.0,46.0,21.0,27
1.0,17.0,2.0,8.0,4
7.0,22.0,2.0,1.0,2
2.0,1.0,6.0,1.0,73
154.0,1.0,80.0,1.0,12
8.0,2.0,1.0,1.0,2
1.0,1.0,58.0,1.0,1
1.0,3.0,18.0,9.0,1
2.0,1.0,12.0,2.0,1
2.0,15.0,31.0,1.0,1
108.0,4.0,28.0,8.0,5
1.0,6.0,1.0,89.0,1
1.0,1.0,26.0,1.0,1
3.0,1.0,34.0,1.0,4
39.0,5.0,1.0,2.0,7
3.0,4.0,1.0,5.0,1
5.0,3.0,95.0,8.0,5
6.0,3.0,10.0,1.0,1
1.0,5.0,3.0,8.0,1
2.0,2.0,42.0,1.0,10
3.0,1.0,1.0,12.0,2
1.0,1.0,38.0,11.0,2
5.0,2.0,8.0,4.0,5
3.0,1.0,4.0,1.0,5
28.0,9.0,2.0,1.0,1
2.0,2.0,18.0,1.0,1
33.0,2.0,3.0,1.0,90
