CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,2.0,1.0,3
4.0,30.0,35.0,2.0,23
2.0,2.0,3.0,1.0,3
2.0,1.0,23.0,1.0,1
21.0,1.0,25.0,2.0,36
6.0,1.0,1.0,1.0,1
1.0,1.0,7.0,1.0,2
1.0,1.0,14.0,6.0,13
24.0,5.0,3.0,1.0,18
16.0,9.0,18.0,9.0,3
2.0,5.0,31.0,1.0,4
4.0,1.0,10.0,1.0,3
1.0,5.0,19.0,2.0,5
8.0,12.0,1.0,1.0,1
2.0,5.0,9.0,1.0,1
1.0,14.0,46.0,3.0,34
1.0,24.0,52.0,1.0,147
16.0,1.0,36.0,3.0,3
6.0,2.0,16.0,1.0,5
4.0,102.0,5.0,1.0,190
25.0,57.0,2.0,1.0,2
1.0,3.0,27.0,1.0,255
29.0,2.0,46.0,7.0,3
1.0,7.0,7.0,1.0,3
2.0,5.0,6.0,5.0,1
1.0,4.0,25.0,3.0,26
6.0,33.0,4.0,1.0,23
1.0,26.0,24.0,1.0,4
2.0,7.0,3.0,3.0,1
3.0,3.0,45.0,2.0,26
1.0,8.0,1.0,1.0,1
2.0,6.0,18.0,4.0,2
2.0,1.0,2.0,1.0,22
39.0,41.0,9.0,1.0,1
15.0,1.0,1.0,1.0,2
3.0,13.0,16.0,1.0,2
24.0,1.0,29.0,3.0,6
6.0,2.0,8.0,1.0,2
3.0,1.0,1.0,1.0,2
3.0,5.0,25.0,1.0,54
9.0,1.0,19.0,2.0,15
8.0,9.0,1.0,3.0,6
4.0,17.0,1.0,4.0,2
6.0,4.0,3.0,3.0,4
1.0,1.0,7.0,1.0,1
10.0,10.0,25.0,1.0,1
17.0,1.0,7.0,1.0,14
26.0,2.0,4.0,3.0,4
15.0,1.0,13.0,1.0,1
18.0,5.0,61.0,7.0,3
3.0,4.0,4.0,1.0,2
4.0,7.0,37.0,2.0,3
1.0,3.0,28.0,1.0,4
5.0,1.0,4.0,1.0,9
1.0,1.0,10.0,2.0,3
15.0,16.0,16.0,1.0,1
5.0,3.0,10.0,17.0,2
1.0,1.0,14.0,1.0,17
1.0,5.0,44.0,4.0,3
1.0,3.0,10.0,3.0,1
5.0,36.0,3.0,1.0,3
27.0,5.0,40.0,2.0,1
23.0,4.0,4.0,3.0,91
1.0,80.0,10.0,3.0,1
3.0,49.0,3.0,1.0,2
81.0,1.0,35.0,3.0,22
1.0,1.0,63.0,1.0,1
1.0,1.0,57.0,1.0,2
12.0,6.0,14.0,1.0,5
5.0,1.0,12.0,1.0,2
33.0,4.0,49.0,25.0,6
7.0,1.0,93.0,2.0,2
3.0,5.0,2.0,1.0,2
