CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,2.0,1.0,1
3.0,18.0,31.0,2.0,26
2.0,2.0,1.0,1.0,2
2.0,1.0,15.0,1.0,39
49.0,1.0,22.0,2.0,2
1.0,5.0,2.0,1.0,30
24.0,9.0,10.0,7.0,10
16.0,5.0,12.0,7.0,1
4.0,5.0,28.0,5.0,5
1.0,6.0,5.0,1.0,1
7.0,2.0,19.0,1.0,29
1.0,14.0,6.0,1.0,194
1.0,11.0,45.0,4.0,2
1.0,1.0,43.0,8.0,196
15.0,1.0,32.0,1.0,2
2.0,111.0,15.0,1.0,290
25.0,58.0,1.0,6.0,1
1.0,3.0,1.0,5.0,1
29.0,2.0,21.0,3.0,1
1.0,2.0,40.0,3.0,22
5.0,27.0,1.0,1.0,17
1.0,92.0,35.0,8.0,3
5.0,6.0,2.0,1.0,1
2.0,1.0,20.0,1.0,25
1.0,2.0,2.0,12.0,1
2.0,5.0,36.0,1.0,19
1.0,1.0,1.0,1.0,1
38.0,38.0,13.0,2.0,1
12.0,11.0,7.0,2.0,49
2.0,1.0,1.0,4.0,6
6.0,2.0,14.0,3.0,2
6.0,1.0,26.0,3.0,2
2.0,4.0,3.0,6.0,1
3.0,9.0,1.0,2.0,1
34.0,15.0,159.0,3.0,11
2.0,1.0,18.0,2.0,2
1.0,1.0,1.0,1.0,1
10.0,10.0,1.0,17.0,1
16.0,2.0,3.0,1.0,1
25.0,1.0,1.0,4.0,9
11.0,4.0,18.0,18.0,1
12.0,6.0,4.0,2.0,1
3.0,2.0,2.0,3.0,1
4.0,1.0,3.0,3.0,17
1.0,1.0,56.0,1.0,114
4.0,2.0,28.0,3.0,1
1.0,3.0,21.0,25.0,2
8.0,33.0,3.0,1.0,16
2.0,5.0,13.0,1.0,1
1.0,4.0,2.0,2.0,3
1.0,107.0,6.0,2.0,1
1.0,57.0,32.0,2.0,1
4.0,1.0,5.0,1.0,2
22.0,4.0,3.0,2.0,98
10.0,1.0,33.0,2.0,123
80.0,4.0,1.0,2.0,1
1.0,25.0,6.0,10.0,2
11.0,8.0,32.0,76.0,143
5.0,44.0,57.0,2.0,304
42.0,1.0,49.0,1.0,2
5.0,7.0,10.0,1.0,1
3.0,1.0,4.0,61.0,8
1.0,4.0,42.0,3.0,56
1.0,8.0,89.0,18.0,26
5.0,1.0,1.0,9.0,8
1.0,8.0,11.0,1.0,10
1.0,13.0,51.0,1.0,50
7.0,14.0,2.0,1.0,3
2.0,1.0,2.0,1.0,18
173.0,1.0,5.0,6.0,4
8.0,2.0,67.0,2.0,67
1.0,1.0,1.0,1.0,6
1.0,3.0,47.0,79.0,2
2.0,1.0,17.0,1.0,1
2.0,14.0,10.0,1.0,1
133.0,4.0,22.0,2.0,1
1.0,2.0,26.0,5.0,1
1.0,1.0,221.0,1.0,5
2.0,1.0,27.0,6.0,1
25.0,3.0,1.0,1.0,4
3.0,2.0,1.0,7.0,5
4.0,3.0,92.0,6.0,1
4.0,3.0,8.0,3.0,5
1.0,4.0,2.0,1.0,1
2.0,2.0,39.0,2.0,8
2.0,1.0,32.0,1.0,2
1.0,2.0,7.0,1.0,2
3.0,1.0,3.0,1.0,3
3.0,4.0,2.0,15.0,4
15.0,2.0,17.0,1.0,1
1.0,2.0,1.0,126.0,76
30.0,13.0,13.0,2.0,1
23.0,7.0,40.0,4.0,7
1.0,1.0,21.0,3.0,7
3.0,93.0,8.0,1.0,6
4.0,41.0,21.0,54.0,1
2.0,3.0,1.0,1.0,1
1.0,1.0,35.0,2.0,8
18.0,1.0,1.0,13.0,4
16.0,2.0,22.0,11.0,45
1.0,4.0,60.0,7.0,3
6.0,1.0,31.0,3.0,1
6.0,1.0,1.0,3.0,244
5.0,3.0,3.0,37.0,1
2.0,8.0,5.0,1.0,209
15.0,30.0,28.0,106.0,1
12.0,3.0,45.0,1.0,3
5.0,4.0,2.0,1.0,1
1.0,2.0,12.0,15.0,3
1.0,2.0,5.0,2.0,157
67.0,5.0,1.0,1.0,1
9.0,1.0,1.0,1.0,239
1.0,1.0,33.0,2.0,6
1.0,20.0,8.0,2.0,1
23.0,1.0,10.0,3.0,9
6.0,1.0,4.0,2.0,47
4.0,33.0,2.0,19.0,92
1.0,8.0,2.0,1.0,53
1.0,1.0,2.0,9.0,18
1.0,1.0,3.0,2.0,1
3.0,1.0,122.0,2.0,8
