CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,5.0,1.0,1
3.0,36.0,36.0,2.0,24
2.0,2.0,1.0,1.0,2
2.0,1.0,23.0,1.0,36
26.0,1.0,23.0,2.0,2
4.0,5.0,5.0,1.0,32
1.0,9.0,13.0,6.0,13
23.0,5.0,18.0,11.0,1
20.0,5.0,31.0,4.0,5
1.0,6.0,7.0,1.0,1
4.0,3.0,22.0,1.0,29
1.0,63.0,7.0,3.0,188
9.0,12.0,42.0,5.0,2
1.0,1.0,64.0,1.0,200
1.0,1.0,40.0,1.0,2
1.0,105.0,15.0,9.0,279
15.0,56.0,1.0,9.0,1
2.0,3.0,1.0,3.0,1
1.0,2.0,25.0,3.0,1
33.0,2.0,70.0,1.0,22
1.0,3.0,1.0,4.0,17
35.0,1.0,4.0,1.0,3
1.0,28.0,24.0,1.0,1
1.0,28.0,2.0,4.0,25
5.0,6.0,21.0,1.0,1
2.0,1.0,2.0,1.0,19
1.0,3.0,64.0,2.0,1
2.0,5.0,1.0,8.0,1
1.0,1.0,13.0,4.0,85
42.0,38.0,2.0,3.0,5
13.0,11.0,7.0,8.0,2
2.0,1.0,1.0,6.0,2
10.0,2.0,15.0,2.0,1
6.0,1.0,27.0,2.0,1
2.0,4.0,3.0,1.0,11
3.0,9.0,1.0,17.0,2
11.0,17.0,36.0,1.0,1
13.0,15.0,18.0,4.0,1
3.0,1.0,1.0,2.0,1
1.0,10.0,1.0,2.0,9
9.0,4.0,3.0,3.0,1
17.0,4.0,1.0,3.0,1
33.0,4.0,20.0,1.0,1
12.0,6.0,4.0,3.0,17
14.0,2.0,3.0,16.0,93
3.0,1.0,5.0,25.0,1
4.0,2.0,64.0,1.0,2
1.0,2.0,3.0,1.0,16
4.0,1.0,32.0,2.0,1
1.0,3.0,22.0,2.0,3
12.0,25.0,7.0,2.0,1
2.0,32.0,16.0,1.0,1
1.0,5.0,4.0,1.0,2
1.0,4.0,12.0,1.0,104
1.0,87.0,39.0,2.0,131
4.0,48.0,6.0,2.0,1
26.0,1.0,3.0,10.0,2
21.0,4.0,52.0,72.0,148
84.0,1.0,2.0,2.0,268
1.0,1.0,7.0,1.0,2
11.0,4.0,36.0,1.0,1
5.0,23.0,92.0,8.0,9
62.0,8.0,57.0,3.0,56
5.0,18.0,10.0,18.0,26
3.0,1.0,4.0,5.0,8
1.0,8.0,45.0,1.0,10
1.0,1.0,123.0,1.0,50
5.0,4.0,1.0,1.0,3
1.0,8.0,11.0,1.0,18
1.0,1.0,31.0,6.0,4
7.0,7.0,2.0,2.0,2
2.0,18.0,2.0,1.0,75
150.0,18.0,5.0,60.0,10
8.0,1.0,70.0,81.0,2
1.0,1.0,1.0,1.0,1
1.0,2.0,94.0,1.0,1
2.0,1.0,18.0,2.0,1
2.0,3.0,10.0,5.0,1
106.0,1.0,24.0,1.0,5
1.0,15.0,27.0,6.0,1
1.0,4.0,38.0,1.0,4
2.0,10.0,28.0,7.0,5
39.0,1.0,1.0,6.0,1
3.0,1.0,1.0,3.0,5
5.0,3.0,94.0,1.0,1
4.0,2.0,8.0,1.0,1
1.0,3.0,2.0,1.0,8
1.0,3.0,42.0,1.0,2
2.0,4.0,1.0,1.0,2
1.0,2.0,34.0,15.0,3
4.0,1.0,7.0,1.0,4
3.0,2.0,3.0,97.0,1
20.0,1.0,2.0,2.0,77
1.0,5.0,18.0,4.0,1
43.0,2.0,1.0,3.0,7
24.0,20.0,17.0,1.0,7
1.0,12.0,41.0,13.0,6
4.0,7.0,23.0,1.0,1
4.0,1.0,8.0,2.0,1
2.0,87.0,28.0,13.0,1
1.0,29.0,1.0,11.0,8
18.0,3.0,35.0,7.0,4
16.0,1.0,1.0,3.0,46
1.0,2.0,16.0,3.0,6
1.0,2.0,79.0,37.0,1
6.0,4.0,32.0,1.0,258
7.0,1.0,1.0,67.0,1
5.0,1.0,3.0,114.0,144
5.0,3.0,5.0,1.0,1
15.0,11.0,29.0,1.0,3
16.0,15.0,81.0,15.0,1
15.0,3.0,2.0,2.0,3
1.0,4.0,13.0,1.0,182
