CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,2.0,1.0,1
3.0,19.0,37.0,2.0,26
2.0,2.0,1.0,1.0,2
2.0,1.0,21.0,1.0,38
46.0,1.0,22.0,2.0,2
1.0,5.0,2.0,1.0,23
25.0,9.0,10.0,7.0,15
16.0,5.0,11.0,9.0,2
4.0,5.0,30.0,4.0,1
1.0,6.0,5.0,1.0,6
7.0,1.0,19.0,1.0,1
1.0,11.0,6.0,1.0,29
1.0,13.0,54.0,3.0,189
1.0,1.0,42.0,8.0,2
15.0,1.0,31.0,1.0,198
1.0,111.0,15.0,1.0,2
25.0,61.0,1.0,6.0,288
1.0,3.0,1.0,6.0,1
30.0,2.0,21.0,4.0,1
1.0,2.0,40.0,3.0,1
7.0,28.0,1.0,1.0,22
1.0,88.0,57.0,6.0,17
5.0,6.0,2.0,1.0,3
2.0,1.0,24.0,1.0,1
1.0,2.0,2.0,12.0,25
2.0,5.0,37.0,1.0,1
1.0,1.0,1.0,1.0,19
38.0,38.0,13.0,2.0,1
12.0,12.0,7.0,1.0,51
2.0,1.0,1.0,2.0,8
7.0,2.0,14.0,4.0,2
6.0,1.0,28.0,3.0,2
2.0,4.0,3.0,3.0,1
3.0,9.0,1.0,6.0,1
23.0,15.0,111.0,2.0,11
2.0,1.0,18.0,2.0,2
1.0,1.0,1.0,2.0,1
10.0,10.0,1.0,1.0,1
16.0,1.0,3.0,17.0,9
25.0,4.0,18.0,1.0,1
11.0,6.0,4.0,4.0,1
12.0,2.0,2.0,17.0,1
3.0,1.0,3.0,2.0,17
4.0,1.0,57.0,3.0,117
1.0,2.0,36.0,3.0,1
4.0,3.0,21.0,1.0,2
1.0,36.0,3.0,3.0,16
8.0,5.0,13.0,25.0,1
3.0,4.0,2.0,1.0,3
1.0,99.0,6.0,1.0,1
1.0,60.0,38.0,2.0,1
1.0,1.0,5.0,2.0,2
4.0,4.0,3.0,2.0,98
24.0,1.0,33.0,1.0,125
9.0,4.0,1.0,3.0,1
83.0,26.0,6.0,2.0,2
1.0,8.0,55.0,2.0,151
11.0,46.0,59.0,10.0,281
5.0,1.0,49.0,73.0,2
48.0,7.0,10.0,2.0,1
5.0,1.0,4.0,1.0,8
3.0,4.0,42.0,1.0,59
1.0,8.0,89.0,51.0,26
1.0,1.0,1.0,3.0,8
5.0,8.0,11.0,18.0,10
1.0,13.0,80.0,15.0,50
1.0,15.0,2.0,1.0,3
7.0,1.0,2.0,1.0,18
2.0,1.0,7.0,1.0,4
176.0,2.0,72.0,2.0,72
8.0,1.0,1.0,1.0,6
1.0,3.0,48.0,6.0,2
1.0,1.0,17.0,2.0,1
2.0,14.0,10.0,1.0,1
2.0,4.0,22.0,79.0,1
129.0,2.0,26.0,1.0,1
1.0,1.0,142.0,1.0,5
1.0,1.0,27.0,1.0,1
2.0,3.0,1.0,2.0,4
26.0,2.0,1.0,5.0,5
3.0,3.0,94.0,1.0,1
4.0,3.0,8.0,6.0,5
4.0,4.0,2.0,1.0,1
1.0,2.0,41.0,7.0,8
2.0,1.0,43.0,8.0,2
2.0,2.0,7.0,3.0,2
1.0,1.0,3.0,1.0,3
3.0,4.0,2.0,4.0,4
3.0,2.0,17.0,1.0,1
15.0,2.0,1.0,1.0,81
1.0,15.0,13.0,1.0,1
29.0,7.0,44.0,15.0,7
24.0,1.0,28.0,1.0,7
1.0,85.0,8.0,116.0,6
3.0,43.0,21.0,2.0,1
4.0,3.0,1.0,4.0,1
2.0,1.0,35.0,3.0,8
1.0,1.0,1.0,1.0,4
18.0,2.0,29.0,39.0,45
16.0,4.0,58.0,1.0,3
1.0,1.0,31.0,2.0,1
6.0,1.0,1.0,13.0,245
7.0,3.0,3.0,21.0,1
5.0,10.0,5.0,7.0,197
2.0,31.0,28.0,5.0,1
15.0,3.0,45.0,3.0,3
14.0,4.0,2.0,37.0,1
5.0,2.0,12.0,1.0,3
1.0,2.0,25.0,113.0,174
76.0,5.0,1.0,1.0,1
9.0,1.0,1.0,1.0,213
1.0,1.0,35.0,15.0,6
1.0,20.0,8.0,2.0,1
35.0,1.0,10.0,1.0,9
6.0,1.0,4.0,1.0,47
4.0,34.0,2.0,3.0,95
1.0,8.0,2.0,2.0,53
1.0,1.0,2.0,3.0,18
1.0,1.0,3.0,2.0,1
3.0,1.0,70.0,19.0,8
9.0,1.0,4.0,1.0,69
3.0,1.0,5.0,13.0,1
1.0,2.0,1.0,2.0,1
251.0,2.0,1.0,2.0,36
11.0,1.0,45.0,1.0,3
1.0,4.0,2.0,11.0,2
1.0,1.0,87.0,2.0,1
4.0,20.0,1.0,1.0,1
1.0,2.0,1.0,1.0,8
11.0,3.0,38.0,2.0,70
7.0,7.0,17.0,6.0,2
107.0,2.0,2.0,8.0,20
1.0,2.0,5.0,121.0,2
1.0,6.0,4.0,1.0,1
2.0,14.0,1.0,1.0,6
25.0,14.0,13.0,2.0,1
1.0,8.0,44.0,3.0,2
1.0,1.0,45.0,30.0,1
1.0,1.0,1.0,1.0,8
2.0,5.0,20.0,3.0,17
26.0,1.0,18.0,1.0,6
1.0,3.0,24.0,2.0,1
3.0,11.0,5.0,6.0,7
2.0,1.0,25.0,2.0,2
47.0,5.0,61.0,12.0,1
1.0,1.0,37.0,1.0,1
33.0,149.0,7.0,1.0,31
3.0,68.0,5.0,7.0,2
3.0,1.0,1.0,1.0,14
44.0,1.0,15.0,1.0,5
13.0,1.0,55.0,12.0,6
20.0,1.0,1.0,8.0,2
1.0,1.0,3.0,1.0,1
2.0,11.0,10.0,91.0,84
5.0,2.0,18.0,1.0,1
3.0,16.0,6.0,1.0,29
4.0,33.0,52.0,2.0,2
55.0,9.0,1.0,1.0,23
9.0,1.0,2.0,1.0,1
1.0,3.0,2.0,1.0,3
2.0,16.0,5.0,1.0,1
7.0,1.0,2.0,21.0,26
3.0,3.0,1.0,2.0,1
20.0,40.0,6.0,3.0,160
6.0,1.0,1.0,3.0,1
22.0,10.0,2.0,1.0,4
2.0,21.0,68.0,1.0,6
1.0,4.0,8.0,1.0,48
8.0,4.0,37.0,12.0,2
5.0,1.0,1.0,1.0,1
13.0,1.0,1.0,3.0,1
1.0,2.0,2.0,1.0,167
42.0,1.0,2.0,11.0,66
11.0,1.0,1.0,1.0,10
1.0,1.0,49.0,1.0,3
1.0,2.0,1.0,1.0,33
136.0,7.0,115.0,5.0,91
1.0,3.0,42.0,18.0,13
6.0,2.0,26.0,1.0,2
8.0,8.0,1.0,2.0,2
1.0,19.0,2.0,1.0,63
5.0,4.0,12.0,9.0,9
1.0,4.0,2.0,13.0,58
1.0,4.0,15.0,2.0,2
501.0,13.0,73.0,151.0,5
11.0,2.0,130.0,14.0,1
2.0,1.0,24.0,1.0,1
1.0,3.0,15.0,2.0,1
3.0,9.0,16.0,1.0,2
27.0,5.0,1.0,1.0,2
1.0,53.0,9.0,1.0,265
1.0,51.0,11.0,2.0,1
1.0,79.0,74.0,1.0,208
18.0,11.0,46.0,13.0,25
35.0,1.0,1.0,4.0,2
126.0,1.0,1.0,1.0,4
1.0,16.0,1.0,7.0,1
1.0,1.0,16.0,4.0,24
8.0,2.0,9.0,1.0,182
1.0,3.0,15.0,9.0,1
2.0,8.0,1.0,1.0,1
2.0,24.0,22.0,1.0,304
2.0,1.0,42.0,1.0,5
1.0,4.0,2.0,3.0,20
1.0,1.0,2.0,3.0,100
2.0,7.0,3.0,1.0,183
1.0,2.0,15.0,2.0,69
2.0,1.0,3.0,13.0,6
62.0,1.0,3.0,1.0,2
5.0,239.0,7.0,109.0,19
87.0,78.0,46.0,1.0,74
2.0,1.0,5.0,1.0,6
5.0,19.0,1.0,1.0,34
1.0,2.0,3.0,1.0,1
20.0,2.0,15.0,1.0,2
69.0,1.0,1.0,1.0,1
19.0,3.0,1.0,3.0,1
1.0,1.0,9.0,1.0,2
8.0,1.0,1.0,1.0,4
2.0,3.0,4.0,1.0,2
5.0,1.0,50.0,1.0,12
68.0,43.0,31.0,1.0,1
1.0,21.0,1.0,26.0,9
1.0,2.0,1.0,2.0,2
9.0,29.0,1.0,2.0,25
5.0,1.0,1.0,2.0,110
32.0,40.0,1.0,1.0,2
11.0,1.0,1.0,2.0,7
17.0,3.0,1.0,3.0,2
1.0,13.0,1.0,6.0,4
10.0,1.0,1.0,1.0,1
3.0,1.0,38.0,2.0,2
6.0,10.0,1.0,1.0,8
3.0,47.0,123.0,7.0,22
1.0,1.0,6.0,1.0,4
3.0,9.0,54.0,11.0,2
51.0,4.0,1.0,1.0,23
5.0,21.0,6.0,3.0,4
1.0,2.0,11.0,1.0,1
2.0,2.0,2.0,10.0,13
1.0,37.0,3.0,4.0,1
4.0,2.0,46.0,19.0,1
2.0,51.0,89.0,2.0,1
115.0,38.0,12.0,1.0,13
1.0,3.0,6.0,4.0,1
1.0,7.0,26.0,1.0,9
5.0,1.0,1.0,1.0,17
31.0,1.0,7.0,1.0,15
