CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1.0,3.0,4.0,1.0,1
3.0,32.0,33.0,2.0,25
2.0,2.0,4.0,1.0,2
2.0,1.0,20.0,1.0,38
21.0,1.0,21.0,2.0,2
1.0,5.0,4.0,1.0,16
1.0,9.0,13.0,7.0,21
23.0,5.0,2.0,9.0,1
19.0,5.0,20.0,2.0,7
1.0,7.0,31.0,3.0,3
4.0,4.0,6.0,1.0,1
1.0,11.0,22.0,1.0,29
8.0,33.0,1.0,3.0,153
1.0,1.0,9.0,8.0,2
1.0,1.0,51.0,1.0,187
1.0,100.0,51.0,2.0,2
17.0,64.0,37.0,1.0,2
14.0,3.0,17.0,7.0,259
1.0,1.0,1.0,6.0,1
26.0,10.0,1.0,3.0,3
1.0,3.0,30.0,3.0,1
30.0,1.0,40.0,1.0,28
1.0,34.0,4.0,4.0,23
1.0,26.0,30.0,1.0,3
1.0,15.0,10.0,1.0,1
5.0,6.0,21.0,8.0,25
2.0,2.0,2.0,1.0,1
3.0,6.0,42.0,1.0,2
1.0,1.0,1.0,2.0,19
2.0,39.0,14.0,1.0,2
1.0,11.0,2.0,3.0,2
45.0,1.0,7.0,4.0,53
12.0,2.0,1.0,3.0,10
2.0,1.0,15.0,3.0,2
6.0,5.0,27.0,11.0,4
6.0,2.0,4.0,2.0,1
2.0,9.0,1.0,2.0,1
3.0,15.0,47.0,1.0,21
7.0,4.0,19.0,17.0,15
3.0,1.0,1.0,1.0,1
1.0,10.0,1.0,4.0,2
9.0,15.0,3.0,5.0,1
19.0,2.0,10.0,2.0,2
32.0,8.0,26.0,3.0,9
26.0,4.0,12.0,4.0,2
1.0,6.0,3.0,1.0,2
1.0,2.0,8.0,3.0,1
12.0,1.0,62.0,1.0,1
3.0,2.0,42.0,25.0,2
4.0,2.0,22.0,1.0,18
1.0,1.0,1.0,1.0,1
4.0,4.0,11.0,2.0,97
1.0,42.0,16.0,2.0,1
16.0,5.0,6.0,2.0,2
7.0,4.0,16.0,3.0,25
1.0,79.0,41.0,9.0,7
1.0,58.0,16.0,1.0,3
2.0,1.0,1.0,2.0,2
4.0,4.0,3.0,1.0,18
25.0,1.0,38.0,2.0,1
44.0,1.0,2.0,10.0,1
1.0,1.0,1.0,70.0,3
80.0,6.0,13.0,2.0,4
2.0,22.0,43.0,1.0,98
4.0,8.0,58.0,1.0,97
13.0,13.0,48.0,24.0,1
5.0,1.0,16.0,3.0,2
39.0,21.0,9.0,18.0,134
7.0,1.0,46.0,11.0,2
3.0,4.0,91.0,1.0,229
1.0,8.0,1.0,1.0,2
1.0,1.0,13.0,1.0,2
7.0,9.0,41.0,1.0,9
1.0,14.0,2.0,6.0,68
1.0,18.0,2.0,2.0,39
1.0,1.0,16.0,1.0,15
1.0,1.0,72.0,6.0,14
7.0,2.0,1.0,79.0,51
2.0,1.0,2.0,1.0,6
147.0,3.0,53.0,1.0,2
8.0,1.0,19.0,1.0,19
1.0,15.0,10.0,2.0,4
1.0,4.0,26.0,5.0,2
2.0,5.0,29.0,1.0,9
2.0,1.0,3.0,6.0,3
97.0,1.0,2.0,1.0,75
1.0,4.0,61.0,18.0,12
1.0,2.0,31.0,26.0,2
2.0,3.0,1.0,3.0,1
34.0,3.0,1.0,1.0,4
3.0,4.0,93.0,4.0,2
4.0,2.0,16.0,1.0,1
7.0,1.0,2.0,1.0,7
2.0,1.0,1.0,1.0,1
2.0,2.0,39.0,1.0,3
2.0,2.0,35.0,15.0,4
1.0,7.0,7.0,1.0,5
3.0,2.0,6.0,96.0,1
3.0,2.0,4.0,2.0,6
19.0,17.0,18.0,4.0,2
1.0,7.0,7.0,3.0,1
34.0,1.0,18.0,2.0,8
33.0,1.0,50.0,31.0,2
1.0,69.0,22.0,1.0,1
4.0,33.0,8.0,2.0,2
3.0,5.0,24.0,13.0,11
4.0,1.0,1.0,15.0,6
2.0,1.0,38.0,7.0,1
1.0,4.0,1.0,4.0,75
18.0,6.0,17.0,3.0,1
16.0,1.0,50.0,37.0,8
3.0,1.0,31.0,1.0,1
1.0,2.0,1.0,12.0,7
2.0,6.0,3.0,106.0,9
6.0,8.0,5.0,1.0,3
8.0,14.0,37.0,1.0,1
5.0,3.0,45.0,1.0,1
12.0,19.0,2.0,15.0,4
17.0,2.0,13.0,2.0,8
15.0,2.0,14.0,1.0,4
27.0,9.0,1.0,1.0,49
1.0,1.0,10.0,3.0,4
2.0,2.0,36.0,2.0,3
6.0,2.0,1.0,3.0,245
71.0,20.0,11.0,2.0,1
1.0,1.0,15.0,23.0,119
2.0,1.0,4.0,1.0,1
12.0,32.0,5.0,38.0,3
3.0,1.0,2.0,2.0,1
1.0,8.0,1.0,2.0,3
25.0,1.0,3.0,1.0,155
13.0,1.0,16.0,10.0,1
5.0,1.0,37.0,2.0,131
1.0,1.0,7.0,1.0,8
1.0,1.0,5.0,1.0,1
2.0,2.0,1.0,2.0,37
3.0,2.0,1.0,6.0,48
1.0,1.0,45.0,9.0,109
9.0,4.0,2.0,93.0,58
2.0,1.0,85.0,1.0,23
3.0,22.0,1.0,1.0,1
1.0,4.0,1.0,2.0,9
234.0,3.0,38.0,4.0,70
12.0,1.0,19.0,32.0,3
1.0,11.0,7.0,1.0,3
3.0,2.0,6.0,3.0,39
4.0,2.0,6.0,1.0,3
1.0,7.0,4.0,2.0,5
11.0,16.0,1.0,6.0,1
7.0,1.0,15.0,2.0,2
33.0,17.0,51.0,9.0,8
1.0,8.0,30.0,1.0,76
1.0,3.0,1.0,1.0,2
2.0,1.0,20.0,7.0,3
27.0,8.0,22.0,1.0,2
1.0,1.0,23.0,1.0,43
1.0,3.0,5.0,9.0,6
10.0,11.0,24.0,8.0,1
1.0,13.0,51.0,1.0,8
2.0,5.0,36.0,9.0,1
2.0,1.0,8.0,81.0,3
2.0,101.0,7.0,1.0,3
3.0,67.0,1.0,1.0,9
2.0,1.0,18.0,2.0,20
28.0,1.0,55.0,1.0,10
1.0,3.0,1.0,1.0,1
3.0,2.0,3.0,1.0,6
2.0,1.0,10.0,1.0,1
47.0,1.0,25.0,18.0,10
1.0,1.0,13.0,1.0,5
34.0,15.0,52.0,3.0,1
4.0,2.0,1.0,4.0,1
4.0,17.0,1.0,1.0,1
43.0,19.0,2.0,1.0,32
23.0,21.0,3.0,1.0,2
2.0,1.0,6.0,24.0,17
8.0,3.0,2.0,1.0,5
21.0,25.0,3.0,3.0,6
26.0,1.0,6.0,1.0,1
1.0,3.0,1.0,35.0,2
2.0,2.0,10.0,1.0,1
5.0,1.0,35.0,1.0,1
3.0,40.0,10.0,1.0,84
4.0,1.0,37.0,5.0,1
64.0,10.0,1.0,16.0,30
11.0,15.0,1.0,1.0,2
1.0,6.0,2.0,2.0,30
2.0,4.0,2.0,1.0,3
18.0,1.0,1.0,9.0,12
14.0,1.0,50.0,13.0,1
5.0,2.0,1.0,2.0,33
29.0,1.0,112.0,111.0,1
6.0,1.0,39.0,14.0,1
22.0,1.0,23.0,1.0,1
7.0,2.0,3.0,2.0,152
1.0,7.0,7.0,1.0,1
10.0,3.0,5.0,1.0,4
8.0,2.0,13.0,1.0,6
20.0,8.0,6.0,2.0,48
3.0,20.0,18.0,2.0,2
1.0,5.0,73.0,23.0,1
31.0,4.0,59.0,4.0,1
1.0,4.0,24.0,1.0,167
16.0,1.0,18.0,6.0,68
1.0,22.0,17.0,4.0,14
1.0,2.0,1.0,1.0,3
93.0,1.0,13.0,11.0,1
1.0,3.0,23.0,1.0,34
21.0,10.0,65.0,1.0,93
11.0,5.0,44.0,1.0,15
4.0,60.0,1.0,12.0,2
6.0,51.0,1.0,3.0,2
1.0,82.0,1.0,1.0,63
1.0,11.0,18.0,4.0,10
1.0,1.0,13.0,13.0,60
1.0,7.0,15.0,6.0,3
1.0,1.0,1.0,1.0,8
2.0,18.0,23.0,90.0,1
473.0,1.0,43.0,1.0,1
1.0,5.0,2.0,1.0,1
11.0,3.0,2.0,1.0,2
4.0,10.0,5.0,1.0,1
1.0,24.0,36.0,1.0,3
3.0,1.0,3.0,1.0,262
27.0,7.0,3.0,3.0,1
1.0,1.0,11.0,1.0,79
1.0,7.0,47.0,1.0,27
1.0,4.0,5.0,1.0,2
19.0,1.0,2.0,1.0,6
35.0,1.0,3.0,1.0,1
30.0,164.0,15.0,25.0,24
1.0,67.0,1.0,2.0,146
1.0,1.0,2.0,2.0,1
6.0,19.0,9.0,3.0,2
1.0,3.0,1.0,1.0,237
2.0,2.0,15.0,3.0,6
2.0,2.0,42.0,3.0,35
2.0,3.0,4.0,6.0,100
1.0,1.0,32.0,1.0,181
10.0,2.0,1.0,2.0,69
1.0,4.0,1.0,1.0,10
11.0,4.0,1.0,7.0,2
1.0,44.0,1.0,1.0,1
1.0,1.0,1.0,25.0,25
2.0,35.0,1.0,1.0,72
5.0,2.0,1.0,3.0,7
2.0,25.0,1.0,1.0,12
63.0,1.0,2.0,10.0,43
5.0,39.0,42.0,4.0,1
86.0,1.0,1.0,36.0,2
2.0,3.0,109.0,2.0,1
5.0,26.0,13.0,1.0,1
1.0,1.0,44.0,4.0,2
33.0,1.0,12.0,1.0,11
72.0,10.0,8.0,1.0,4
25.0,62.0,13.0,1.0,2
7.0,1.0,4.0,1.0,12
10.0,9.0,8.0,2.0,1
2.0,4.0,49.0,30.0,13
14.0,1.0,39.0,10.0,2
1.0,1.0,6.0,2.0,27
2.0,21.0,8.0,3.0,118
5.0,5.0,33.0,1.0,2
59.0,2.0,1.0,42.0,7
5.0,37.0,10.0,20.0,2
1.0,2.0,29.0,4.0,2
27.0,51.0,54.0,88.0,2
24.0,30.0,59.0,56.0,23
5.0,1.0,15.0,2.0,1
41.0,3.0,12.0,2.0,2
11.0,7.0,62.0,1.0,8
17.0,1.0,1.0,3.0,22
12.0,1.0,16.0,1.0,4
1.0,1.0,50.0,2.0,2
1.0,1.0,2.0,6.0,26
10.0,1.0,3.0,40.0,4
6.0,8.0,3.0,5.0,1
6.0,2.0,26.0,3.0,13
12.0,1.0,3.0,4.0,1
1.0,1.0,1.0,2.0,1
5.0,1.0,8.0,7.0,1
39.0,2.0,52.0,2.0,13
9.0,11.0,1.0,8.0,2
1.0,3.0,2.0,1.0,10
2.0,15.0,17.0,1.0,17
1.0,63.0,8.0,1.0,1
4.0,1.0,7.0,15.0,18
2.0,9.0,1.0,4.0,1
55.0,1.0,16.0,23.0,17
1.0,1.0,42.0,3.0,2
1.0,2.0,2.0,6.0,2
16.0,39.0,19.0,7.0,1
43.0,4.0,1.0,7.0,39
1.0,7.0,1.0,1.0,1
2.0,87.0,1.0,10.0,3
5.0,1.0,1.0,1.0,29
1.0,38.0,1.0,2.0,2
5.0,1.0,1.0,55.0,2
11.0,84.0,1.0,1.0,1
6.0,2.0,8.0,5.0,87
6.0,8.0,56.0,1.0,8
3.0,1.0,1.0,1.0,44
5.0,5.0,10.0,6.0,6
433.0,22.0,81.0,9.0,21
1.0,3.0,12.0,5.0,1
6.0,6.0,45.0,1.0,2
1.0,5.0,9.0,2.0,2
1.0,2.0,5.0,4.0,1
1.0,2.0,18.0,1.0,2
1.0,9.0,5.0,1.0,6
1.0,9.0,1.0,5.0,167
4.0,6.0,16.0,1.0,5
37.0,49.0,102.0,2.0,65
1.0,4.0,68.0,1.0,9
2.0,2.0,6.0,4.0,37
19.0,7.0,15.0,1.0,5
40.0,2.0,24.0,1.0,13
70.0,3.0,3.0,1.0,1
1.0,6.0,39.0,1.0,28
2.0,167.0,62.0,1.0,1
1.0,97.0,62.0,16.0,1
6.0,38.0,4.0,42.0,1
1.0,3.0,12.0,3.0,2
6.0,1.0,15.0,3.0,1
5.0,2.0,86.0,1.0,1
1.0,1.0,1.0,9.0,180
1.0,2.0,11.0,1.0,14
6.0,1.0,65.0,1.0,1
1.0,2.0,1.0,48.0,1
1.0,2.0,26.0,1.0,45
27.0,3.0,1.0,1.0,16
2.0,4.0,1.0,1.0,133
1.0,3.0,4.0,1.0,118
2.0,9.0,13.0,2.0,1
1.0,1.0,2.0,26.0,1
2.0,51.0,62.0,25.0,1
5.0,3.0,1.0,1.0,2
12.0,3.0,2.0,7.0,31
12.0,2.0,7.0,4.0,201
31.0,1.0,1.0,1.0,69
3.0,11.0,2.0,1.0,1
5.0,7.0,12.0,1.0,81
1.0,2.0,1.0,113.0,7
2.0,1.0,4.0,6.0,28
86.0,1.0,6.0,2.0,63
7.0,19.0,1.0,479.0,1
9.0,2.0,24.0,52.0,123
36.0,16.0,36.0,1.0,21
33.0,4.0,11.0,6.0,2
89.0,18.0,11.0,2.0,2
